Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,023",+/-131,(X),(X),"3,002",+/-112,(X),(X),"2,021",+/-98,(X),(X)
Less than high school graduate,564,+/-154,11.2%,+/-3.1,379,+/-139,12.6%,+/-4.7,185,+/-72,9.2%,+/-3.6
High school graduate (includes equivalency),"1,516",+/-319,30.2%,+/-6.2,976,+/-236,32.5%,+/-7.5,540,+/-163,26.7%,+/-8.0
Some college or associate's degree,"2,813",+/-330,56.0%,+/-6.6,"1,556",+/-241,51.8%,+/-7.9,"1,257",+/-191,62.2%,+/-8.8
Bachelor's degree or higher,130,+/-86,2.6%,+/-1.7,91,+/-79,3.0%,+/-2.6,39,+/-29,1.9%,+/-1.4
Population 25 years and over,"24,882",+/-147,(X),(X),"12,008",+/-108,(X),(X),"12,874",+/-125,(X),(X)
Less than 9th grade,615,+/-170,2.5%,+/-0.7,252,+/-99,2.1%,+/-0.8,363,+/-122,2.8%,+/-0.9
"9th to 12th grade, no diploma","2,383",+/-303,9.6%,+/-1.2,"1,110",+/-217,9.2%,+/-1.8,"1,273",+/-218,9.9%,+/-1.7
High school graduate (includes equivalency),"9,400",+/-563,37.8%,+/-2.3,"4,911",+/-351,40.9%,+/-2.9,"4,489",+/-351,34.9%,+/-2.7
"Some college, no degree","4,750",+/-394,19.1%,+/-1.6,"2,146",+/-237,17.9%,+/-1.9,"2,604",+/-306,20.2%,+/-2.4
Associate's degree,"3,942",+/-359,15.8%,+/-1.5,"1,854",+/-227,15.4%,+/-1.9,"2,088",+/-256,16.2%,+/-2.0
Bachelor's degree,"2,422",+/-302,9.7%,+/-1.2,"1,142",+/-205,9.5%,+/-1.7,"1,280",+/-184,9.9%,+/-1.4
Graduate or professional degree,"1,370",+/-240,5.5%,+/-1.0,593,+/-149,4.9%,+/-1.2,777,+/-177,6.0%,+/-1.4
Percent high school graduate or higher,(X),(X),88.0%,+/-1.4,(X),(X),88.7%,+/-1.9,(X),(X),87.3%,+/-1.9
Percent bachelor's degree or higher,(X),(X),15.2%,+/-1.6,(X),(X),14.4%,+/-2.0,(X),(X),16.0%,+/-2.0
Population 25 to 34 years,"4,345",+/-110,(X),(X),"2,325",+/-85,(X),(X),"2,020",+/-87,(X),(X)
High school graduate or higher,"3,973",+/-148,91.4%,+/-2.6,"2,156",+/-97,92.7%,+/-2.8,"1,817",+/-113,90.0%,+/-4.0
Bachelor's degree or higher,746,+/-176,17.2%,+/-4.1,336,+/-113,14.5%,+/-4.9,410,+/-111,20.3%,+/-5.5
Population 35 to 44 years,"4,148",+/-122,(X),(X),"2,073",+/-70,(X),(X),"2,075",+/-108,(X),(X)
High school graduate or higher,"3,723",+/-160,89.8%,+/-3.0,"1,786",+/-125,86.2%,+/-5.0,"1,937",+/-116,93.3%,+/-3.0
Bachelor's degree or higher,592,+/-125,14.3%,+/-3.1,189,+/-62,9.1%,+/-3.0,403,+/-112,19.4%,+/-5.6
Population 45 to 64 years,"10,127",+/-129,(X),(X),"5,037",+/-75,(X),(X),"5,090",+/-100,(X),(X)
High school graduate or higher,"8,947",+/-273,88.3%,+/-2.4,"4,434",+/-166,88.0%,+/-2.9,"4,513",+/-196,88.7%,+/-3.3
Bachelor's degree or higher,"1,579",+/-226,15.6%,+/-2.2,774,+/-144,15.4%,+/-2.8,805,+/-156,15.8%,+/-3.0
Population 65 years and over,"6,262",+/-79,(X),(X),"2,573",+/-32,(X),(X),"3,689",+/-70,(X),(X)
High school graduate or higher,"5,241",+/-196,83.7%,+/-2.9,"2,270",+/-94,88.2%,+/-3.3,"2,971",+/-151,80.5%,+/-3.7
Bachelor's degree or higher,875,+/-180,14.0%,+/-2.9,436,+/-110,16.9%,+/-4.3,439,+/-113,11.9%,+/-3.1
