Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,003",+/-148,(X),(X),"3,043",+/-131,(X),(X),"1,960",+/-80,(X),(X)
Less than high school graduate,482,+/-141,9.6%,+/-2.8,310,+/-114,10.2%,+/-3.8,172,+/-80,8.8%,+/-4.1
High school graduate (includes equivalency),"1,672",+/-370,33.4%,+/-7.1,"1,040",+/-281,34.2%,+/-8.8,632,+/-196,32.2%,+/-9.7
Some college or associate's degree,"2,652",+/-364,53.0%,+/-7.5,"1,601",+/-267,52.6%,+/-8.8,"1,051",+/-195,53.6%,+/-9.9
Bachelor's degree or higher,197,+/-123,3.9%,+/-2.5,92,+/-84,3.0%,+/-2.8,105,+/-69,5.4%,+/-3.5
Population 25 years and over,"24,759",+/-149,(X),(X),"11,969",+/-129,(X),(X),"12,790",+/-106,(X),(X)
Less than 9th grade,688,+/-185,2.8%,+/-0.7,296,+/-105,2.5%,+/-0.9,392,+/-118,3.1%,+/-0.9
"9th to 12th grade, no diploma","2,235",+/-335,9.0%,+/-1.3,"1,031",+/-203,8.6%,+/-1.7,"1,204",+/-242,9.4%,+/-1.9
High school graduate (includes equivalency),"8,758",+/-582,35.4%,+/-2.3,"4,539",+/-338,37.9%,+/-2.8,"4,219",+/-403,33.0%,+/-3.1
"Some college, no degree","4,898",+/-504,19.8%,+/-2.0,"2,372",+/-321,19.8%,+/-2.7,"2,526",+/-325,19.7%,+/-2.6
Associate's degree,"4,205",+/-360,17.0%,+/-1.5,"1,952",+/-256,16.3%,+/-2.1,"2,253",+/-239,17.6%,+/-1.9
Bachelor's degree,"2,532",+/-343,10.2%,+/-1.4,"1,192",+/-217,10.0%,+/-1.8,"1,340",+/-221,10.5%,+/-1.7
Graduate or professional degree,"1,443",+/-283,5.8%,+/-1.1,587,+/-166,4.9%,+/-1.4,856,+/-183,6.7%,+/-1.4
Percent high school graduate or higher,(X),(X),88.2%,+/-1.5,(X),(X),88.9%,+/-1.9,(X),(X),87.5%,+/-2.0
Percent bachelor's degree or higher,(X),(X),16.1%,+/-2.1,(X),(X),14.9%,+/-2.4,(X),(X),17.2%,+/-2.5
Population 25 to 34 years,"4,409",+/-107,(X),(X),"2,288",+/-80,(X),(X),"2,121",+/-95,(X),(X)
High school graduate or higher,"3,956",+/-197,89.7%,+/-3.7,"2,091",+/-109,91.4%,+/-4.2,"1,865",+/-159,87.9%,+/-5.9
Bachelor's degree or higher,902,+/-216,20.5%,+/-4.9,420,+/-137,18.4%,+/-6.1,482,+/-139,22.7%,+/-6.4
Population 35 to 44 years,"4,128",+/-122,(X),(X),"2,119",+/-90,(X),(X),"2,009",+/-115,(X),(X)
High school graduate or higher,"3,754",+/-180,90.9%,+/-3.1,"1,905",+/-110,89.9%,+/-4.0,"1,849",+/-144,92.0%,+/-4.3
Bachelor's degree or higher,628,+/-164,15.2%,+/-4.0,163,+/-73,7.7%,+/-3.4,465,+/-143,23.1%,+/-7.2
Population 45 to 64 years,"9,853",+/-133,(X),(X),"4,902",+/-111,(X),(X),"4,951",+/-87,(X),(X)
High school graduate or higher,"8,691",+/-270,88.2%,+/-2.6,"4,279",+/-183,87.3%,+/-3.6,"4,412",+/-158,89.1%,+/-2.7
Bachelor's degree or higher,"1,472",+/-274,14.9%,+/-2.8,709,+/-172,14.5%,+/-3.5,763,+/-161,15.4%,+/-3.2
Population 65 years and over,"6,369",+/-61,(X),(X),"2,660",+/-26,(X),(X),"3,709",+/-61,(X),(X)
High school graduate or higher,"5,435",+/-222,85.3%,+/-3.5,"2,367",+/-103,89.0%,+/-3.7,"3,068",+/-160,82.7%,+/-4.3
Bachelor's degree or higher,973,+/-193,15.3%,+/-3.1,487,+/-141,18.3%,+/-5.3,486,+/-117,13.1%,+/-3.2
