RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"24,116",+/-79,(X),(X),"11,721",+/-68,(X),(X),"12,395",+/-33,(X),(X)
High school graduate or higher,"21,919",+/-281,90.9%,+/-1.1,"10,579",+/-188,90.3%,+/-1.4,"11,340",+/-183,91.5%,+/-1.4
Bachelor's degree or higher,"4,430",+/-384,18.4%,+/-1.6,"2,021",+/-251,17.2%,+/-2.1,"2,409",+/-231,19.4%,+/-1.9
"White alone, not Hispanic or Latino","23,882",+/-24,(X),(X),"11,585",+/-24,(X),(X),"12,297",+/-24,(X),(X)
High school graduate or higher,"21,700",+/-268,90.9%,+/-1.1,"10,458",+/-169,90.3%,+/-1.5,"11,242",+/-176,91.4%,+/-1.4
Bachelor's degree or higher,"4,403",+/-384,18.4%,+/-1.6,"1,997",+/-251,17.2%,+/-2.2,"2,406",+/-231,19.6%,+/-1.9
Black alone,134,+/-38,(X),(X),53,+/-37,(X),(X),81,+/-42,(X),(X)
High school graduate or higher,108,+/-39,80.6%,+/-21.6,41,+/-33,77.4%,+/-24.2,67,+/-37,82.7%,+/-32.7
Bachelor's degree or higher,16,+/-19,11.9%,+/-13.9,0,+/-24,0.0%,+/-39.1,16,+/-19,19.8%,+/-24.2
American Indian or Alaska Native alone,82,+/-40,(X),(X),13,+/-15,(X),(X),69,+/-40,(X),(X)
High school graduate or higher,66,+/-43,80.5%,+/-20.5,7,+/-12,53.8%,+/-53.8,59,+/-42,85.5%,+/-18.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-29.7,0,+/-24,0.0%,+/-79.0,0,+/-24,0.0%,+/-33.6
Asian alone,192,+/-31,(X),(X),65,+/-17,(X),(X),127,+/-28,(X),(X)
High school graduate or higher,133,+/-43,69.3%,+/-24.7,65,+/-17,100.0%,+/-34.9,68,+/-44,53.5%,+/-36.8
Bachelor's degree or higher,43,+/-40,22.4%,+/-20.6,14,+/-20,21.5%,+/-24.5,29,+/-27,22.8%,+/-23.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,183,+/-84,(X),(X),84,+/-71,(X),(X),99,+/-48,(X),(X)
High school graduate or higher,118,+/-82,64.5%,+/-30.5,84,+/-71,100.0%,+/-29.2,34,+/-32,34.3%,+/-38.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-15.1,0,+/-24,0.0%,+/-29.2,0,+/-24,0.0%,+/-25.7
Two or more races,180,+/-62,(X),(X),118,+/-44,(X),(X),62,+/-38,(X),(X)
High school graduate or higher,180,+/-62,100.0%,+/-15.3,118,+/-44,100.0%,+/-22.2,62,+/-38,100.0%,+/-36.0
Bachelor's degree or higher,24,+/-23,13.3%,+/-12.9,7,+/-13,5.9%,+/-11.7,17,+/-17,27.4%,+/-28.6
Hispanic or Latino Origin,433,+/-39,(X),(X),220,+/-35,(X),(X),213,+/-36,(X),(X)
High school graduate or higher,342,+/-54,79.0%,+/-9.5,205,+/-32,93.2%,+/-6.4,137,+/-39,64.3%,+/-20.6
Bachelor's degree or higher,32,+/-27,7.4%,+/-6.2,24,+/-21,10.9%,+/-9.9,8,+/-9,3.8%,+/-4.3
