RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"24,206",+/-71,(X),(X),"11,737",+/-54,(X),(X),"12,469",+/-43,(X),(X)
High school graduate or higher,"21,787",+/-297,90.0%,+/-1.2,"10,502",+/-197,89.5%,+/-1.7,"11,285",+/-149,90.5%,+/-1.2
Bachelor's degree or higher,"4,448",+/-383,18.4%,+/-1.6,"2,171",+/-237,18.5%,+/-2.0,"2,277",+/-227,18.3%,+/-1.8
"White alone, not Hispanic or Latino","24,013",+/-24,(X),(X),"11,622",+/-24,(X),(X),"12,391",+/-24,(X),(X)
High school graduate or higher,"21,660",+/-290,90.2%,+/-1.2,"10,437",+/-193,89.8%,+/-1.7,"11,223",+/-146,90.6%,+/-1.2
Bachelor's degree or higher,"4,423",+/-384,18.4%,+/-1.6,"2,157",+/-238,18.6%,+/-2.0,"2,266",+/-227,18.3%,+/-1.8
Black alone,136,+/-41,(X),(X),94,+/-39,(X),(X),42,+/-32,(X),(X)
High school graduate or higher,123,+/-40,90.4%,+/-10.8,81,+/-37,86.2%,+/-15.3,42,+/-32,100.0%,+/-44.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-19.7,0,+/-24,0.0%,+/-26.8,0,+/-24,0.0%,+/-44.0
American Indian or Alaska Native alone,94,+/-42,(X),(X),32,+/-23,(X),(X),62,+/-37,(X),(X)
High school graduate or higher,76,+/-43,80.9%,+/-19.9,18,+/-15,56.3%,+/-35.1,58,+/-37,93.5%,+/-11.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-26.8,0,+/-24,0.0%,+/-50.4,0,+/-24,0.0%,+/-36.0
Asian alone,140,+/-33,(X),(X),64,+/-17,(X),(X),76,+/-28,(X),(X)
High school graduate or higher,106,+/-30,75.7%,+/-22.6,64,+/-17,100.0%,+/-35.3,42,+/-31,55.3%,+/-40.1
Bachelor's degree or higher,16,+/-25,11.4%,+/-17.2,6,+/-11,9.4%,+/-17.1,10,+/-18,13.2%,+/-21.9
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,135,+/-77,(X),(X),76,+/-57,(X),(X),59,+/-55,(X),(X)
High school graduate or higher,73,+/-58,54.1%,+/-38.4,63,+/-56,82.9%,+/-26.1,10,+/-12,16.9%,+/-34.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-19.8,0,+/-24,0.0%,+/-31.4,0,+/-24,0.0%,+/-37.0
Two or more races,110,+/-61,(X),(X),55,+/-36,(X),(X),55,+/-36,(X),(X)
High school graduate or higher,110,+/-61,100.0%,+/-23.6,55,+/-36,100.0%,+/-38.4,55,+/-36,100.0%,+/-38.4
Bachelor's degree or higher,5,+/-7,4.5%,+/-6.4,3,+/-6,5.5%,+/-12.2,2,+/-3,3.6%,+/-6.6
Hispanic or Latino Origin,343,+/-41,(X),(X),191,+/-33,(X),(X),152,+/-42,(X),(X)
High school graduate or higher,204,+/-77,59.5%,+/-19.7,128,+/-54,67.0%,+/-23.2,76,+/-43,50.0%,+/-28.0
Bachelor's degree or higher,25,+/-22,7.3%,+/-6.4,14,+/-16,7.3%,+/-8.0,11,+/-14,7.2%,+/-9.0
