RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"16,970",+/-117,(X),(X),"8,178",+/-73,(X),(X),"8,792",+/-56,(X),(X)
High school graduate or higher,"14,673",+/-214,86.5%,+/-1.3,"6,936",+/-163,84.8%,+/-2.1,"7,737",+/-128,88.0%,+/-1.5
Bachelor's degree or higher,"2,219",+/-218,13.1%,+/-1.3,814,+/-131,10.0%,+/-1.6,"1,405",+/-171,16.0%,+/-1.9
"White alone, not Hispanic or Latino","16,733",+/-90,(X),(X),"8,055",+/-48,(X),(X),"8,678",+/-42,(X),(X)
High school graduate or higher,"14,596",+/-206,87.2%,+/-1.2,"6,886",+/-159,85.5%,+/-2.0,"7,710",+/-123,88.8%,+/-1.4
Bachelor's degree or higher,"2,219",+/-218,13.3%,+/-1.3,814,+/-131,10.1%,+/-1.6,"1,405",+/-171,16.2%,+/-2.0
Black alone,123,+/-39,(X),(X),61,+/-33,(X),(X),62,+/-29,(X),(X)
High school graduate or higher,114,+/-38,92.7%,+/-11.5,61,+/-33,100.0%,+/-36.3,53,+/-32,85.5%,+/-24.6
Bachelor's degree or higher,18,+/-22,14.6%,+/-20.1,0,+/-21,0.0%,+/-36.3,18,+/-22,29.0%,+/-38.2
American Indian or Alaska Native alone,12,+/-16,(X),(X),1,+/-2,(X),(X),11,+/-16,(X),(X)
High school graduate or higher,11,+/-16,91.7%,+/-21.5,0,+/-21,0.0%,+/-100.0,11,+/-16,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-82.3,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-85.9
Asian alone,34,+/-29,(X),(X),4,+/-7,(X),(X),30,+/-26,(X),(X)
High school graduate or higher,34,+/-29,100.0%,+/-48.9,4,+/-7,100.0%,+/-100.0,30,+/-26,100.0%,+/-52.0
Bachelor's degree or higher,30,+/-26,88.2%,+/-18.1,4,+/-7,100.0%,+/-100.0,26,+/-25,86.7%,+/-25.0
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,150,+/-99,(X),(X),74,+/-52,(X),(X),76,+/-51,(X),(X)
High school graduate or higher,116,+/-97,77.3%,+/-20.2,49,+/-51,66.2%,+/-30.1,67,+/-50,88.2%,+/-16.0
Bachelor's degree or higher,11,+/-15,7.3%,+/-11.3,5,+/-8,6.8%,+/-12.0,6,+/-8,7.9%,+/-11.4
Two or more races,140,+/-61,(X),(X),72,+/-52,(X),(X),68,+/-29,(X),(X)
High school graduate or higher,110,+/-42,78.6%,+/-28.2,42,+/-30,58.3%,+/-46.2,68,+/-29,100.0%,+/-33.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-19.2,0,+/-21,0.0%,+/-32.7,0,+/-21,0.0%,+/-33.9
Hispanic or Latino Origin,352,+/-56,(X),(X),188,+/-54,(X),(X),164,+/-24,(X),(X)
High school graduate or higher,137,+/-52,38.9%,+/-13.0,69,+/-36,36.7%,+/-14.7,68,+/-35,41.5%,+/-20.5
Bachelor's degree or higher,0,+/-21,0.0%,+/-8.2,0,+/-21,0.0%,+/-14.7,0,+/-21,0.0%,+/-16.6
