Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,919",+/-64,(X),(X),996,+/-57,(X),(X),923,+/-22,(X),(X)
Less than high school graduate,398,+/-80,20.7%,+/-4.1,206,+/-71,20.7%,+/-7.1,192,+/-52,20.8%,+/-5.6
High school graduate (includes equivalency),786,+/-108,41.0%,+/-5.4,462,+/-71,46.4%,+/-7.1,324,+/-70,35.1%,+/-7.3
Some college or associate's degree,642,+/-115,33.5%,+/-5.8,286,+/-79,28.7%,+/-7.3,356,+/-72,38.6%,+/-7.8
Bachelor's degree or higher,93,+/-42,4.8%,+/-2.2,42,+/-28,4.2%,+/-2.8,51,+/-30,5.5%,+/-3.3
Population 25 years and over,"17,583",+/-64,(X),(X),"8,486",+/-60,(X),(X),"9,097",+/-35,(X),(X)
Less than 9th grade,939,+/-167,5.3%,+/-0.9,548,+/-108,6.5%,+/-1.3,391,+/-101,4.3%,+/-1.1
"9th to 12th grade, no diploma","1,608",+/-174,9.1%,+/-1.0,797,+/-129,9.4%,+/-1.5,811,+/-118,8.9%,+/-1.3
High school graduate (includes equivalency),"7,745",+/-324,44.0%,+/-1.8,"3,975",+/-224,46.8%,+/-2.6,"3,770",+/-207,41.4%,+/-2.3
"Some college, no degree","3,551",+/-307,20.2%,+/-1.7,"1,755",+/-218,20.7%,+/-2.6,"1,796",+/-191,19.7%,+/-2.1
Associate's degree,"1,573",+/-200,8.9%,+/-1.1,577,+/-111,6.8%,+/-1.3,996,+/-139,10.9%,+/-1.5
Bachelor's degree,"1,290",+/-163,7.3%,+/-0.9,502,+/-98,5.9%,+/-1.2,788,+/-130,8.7%,+/-1.4
Graduate or professional degree,877,+/-160,5.0%,+/-0.9,332,+/-90,3.9%,+/-1.1,545,+/-123,6.0%,+/-1.4
Percent high school graduate or higher,(X),(X),85.5%,+/-1.3,(X),(X),84.2%,+/-1.9,(X),(X),86.8%,+/-1.5
Percent bachelor's degree or higher,(X),(X),12.3%,+/-1.3,(X),(X),9.8%,+/-1.7,(X),(X),14.7%,+/-1.7
Population 25 to 34 years,"2,673",+/-54,(X),(X),"1,329",+/-53,(X),(X),"1,344",+/-44,(X),(X)
High school graduate or higher,"2,272",+/-111,85.0%,+/-4.1,"1,095",+/-82,82.4%,+/-5.5,"1,177",+/-65,87.6%,+/-5.4
Bachelor's degree or higher,481,+/-105,18.0%,+/-3.9,161,+/-72,12.1%,+/-5.5,320,+/-75,23.8%,+/-5.8
Population 35 to 44 years,"3,144",+/-61,(X),(X),"1,599",+/-42,(X),(X),"1,545",+/-38,(X),(X)
High school graduate or higher,"2,832",+/-96,90.1%,+/-3.0,"1,370",+/-78,85.7%,+/-5.0,"1,462",+/-52,94.6%,+/-2.5
Bachelor's degree or higher,536,+/-127,17.0%,+/-4.0,168,+/-60,10.5%,+/-3.7,368,+/-101,23.8%,+/-6.5
Population 45 to 64 years,"7,127",+/-59,(X),(X),"3,518",+/-41,(X),(X),"3,609",+/-60,(X),(X)
High school graduate or higher,"6,350",+/-121,89.1%,+/-1.6,"3,132",+/-83,89.0%,+/-2.1,"3,218",+/-91,89.2%,+/-2.3
Bachelor's degree or higher,752,+/-126,10.6%,+/-1.8,305,+/-83,8.7%,+/-2.3,447,+/-89,12.4%,+/-2.5
Population 65 years and over,"4,639",+/-33,(X),(X),"2,040",+/-12,(X),(X),"2,599",+/-33,(X),(X)
High school graduate or higher,"3,582",+/-169,77.2%,+/-3.5,"1,544",+/-99,75.7%,+/-4.8,"2,038",+/-113,78.4%,+/-4.2
Bachelor's degree or higher,398,+/-99,8.6%,+/-2.1,200,+/-61,9.8%,+/-3.0,198,+/-60,7.6%,+/-2.3
