RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,053",+/-53,(X),(X),"10,767",+/-24,(X),(X),"11,286",+/-42,(X),(X)
High school graduate or higher,"20,099",+/-251,91.1%,+/-1.1,"9,738",+/-173,90.4%,+/-1.6,"10,361",+/-137,91.8%,+/-1.2
Bachelor's degree or higher,"3,750",+/-328,17.0%,+/-1.5,"1,807",+/-184,16.8%,+/-1.7,"1,943",+/-252,17.2%,+/-2.2
"White alone, not Hispanic or Latino","21,913",+/-8,(X),(X),"10,737",+/-24,(X),(X),"11,176",+/-8,(X),(X)
High school graduate or higher,"19,999",+/-244,91.3%,+/-1.1,"9,716",+/-170,90.5%,+/-1.6,"10,283",+/-129,92.0%,+/-1.2
Bachelor's degree or higher,"3,750",+/-328,17.1%,+/-1.5,"1,807",+/-184,16.8%,+/-1.7,"1,943",+/-252,17.4%,+/-2.3
Black alone,370,+/-40,(X),(X),268,+/-65,(X),(X),102,+/-46,(X),(X)
High school graduate or higher,299,+/-52,80.8%,+/-12.9,236,+/-62,88.1%,+/-11.6,63,+/-41,61.8%,+/-27.1
Bachelor's degree or higher,31,+/-28,8.4%,+/-7.7,14,+/-18,5.2%,+/-6.9,17,+/-27,16.7%,+/-24.1
American Indian or Alaska Native alone,29,+/-23,(X),(X),21,+/-15,(X),(X),8,+/-14,(X),(X)
High school graduate or higher,21,+/-15,72.4%,+/-31.5,21,+/-15,100.0%,+/-62.2,0,+/-24,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-52.9,0,+/-24,0.0%,+/-62.2,0,+/-24,0.0%,+/-100.0
Asian alone,86,+/-26,(X),(X),22,+/-22,(X),(X),64,+/-31,(X),(X)
High school graduate or higher,82,+/-26,95.3%,+/-7.3,22,+/-22,100.0%,+/-60.7,60,+/-31,93.8%,+/-9.9
Bachelor's degree or higher,21,+/-16,24.4%,+/-20.4,10,+/-12,45.5%,+/-54.5,11,+/-13,17.2%,+/-19.8
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,130,+/-64,(X),(X),66,+/-33,(X),(X),64,+/-45,(X),(X)
High school graduate or higher,95,+/-52,73.1%,+/-15.7,49,+/-26,74.2%,+/-20.2,46,+/-37,71.9%,+/-29.4
Bachelor's degree or higher,27,+/-24,20.8%,+/-12.7,27,+/-24,40.9%,+/-25.9,0,+/-24,0.0%,+/-35.3
Two or more races,159,+/-57,(X),(X),84,+/-53,(X),(X),75,+/-30,(X),(X)
High school graduate or higher,126,+/-52,79.2%,+/-19.0,51,+/-39,60.7%,+/-29.5,75,+/-30,100.0%,+/-31.7
Bachelor's degree or higher,0,+/-24,0.0%,+/-17.1,0,+/-24,0.0%,+/-29.2,0,+/-24,0.0%,+/-31.7
Hispanic or Latino Origin,254,+/-31,(X),(X),96,+/-26,(X),(X),158,+/-16,(X),(X)
High school graduate or higher,190,+/-41,74.8%,+/-11.7,71,+/-25,74.0%,+/-16.6,119,+/-32,75.3%,+/-18.0
Bachelor's degree or higher,27,+/-24,10.6%,+/-8.8,27,+/-24,28.1%,+/-21.7,0,+/-24,0.0%,+/-17.2
