RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,117",+/-61,(X),(X),"10,789",+/-28,(X),(X),"11,328",+/-43,(X),(X)
High school graduate or higher,"19,966",+/-253,90.3%,+/-1.1,"9,677",+/-167,89.7%,+/-1.5,"10,289",+/-156,90.8%,+/-1.3
Bachelor's degree or higher,"3,463",+/-347,15.7%,+/-1.6,"1,593",+/-225,14.8%,+/-2.1,"1,870",+/-216,16.5%,+/-1.9
"White alone, not Hispanic or Latino","21,974",+/-10,(X),(X),"10,756",+/-3,(X),(X),"11,218",+/-8,(X),(X)
High school graduate or higher,"19,862",+/-239,90.4%,+/-1.1,"9,654",+/-163,89.8%,+/-1.5,"10,208",+/-145,91.0%,+/-1.3
Bachelor's degree or higher,"3,463",+/-347,15.8%,+/-1.6,"1,593",+/-225,14.8%,+/-2.1,"1,870",+/-216,16.7%,+/-1.9
Black alone,346,+/-49,(X),(X),247,+/-59,(X),(X),99,+/-57,(X),(X)
High school graduate or higher,316,+/-55,91.3%,+/-9.5,224,+/-60,90.7%,+/-11.3,92,+/-54,92.9%,+/-13.4
Bachelor's degree or higher,51,+/-51,14.7%,+/-14.5,8,+/-15,3.2%,+/-5.8,43,+/-54,43.4%,+/-41.7
American Indian or Alaska Native alone,33,+/-36,(X),(X),25,+/-27,(X),(X),8,+/-11,(X),(X)
High school graduate or higher,25,+/-27,75.8%,+/-15.2,25,+/-27,100.0%,+/-57.0,0,+/-24,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-49.6,0,+/-24,0.0%,+/-57.0,0,+/-24,0.0%,+/-100.0
Asian alone,71,+/-35,(X),(X),11,+/-13,(X),(X),60,+/-34,(X),(X)
High school graduate or higher,68,+/-34,95.8%,+/-8.5,11,+/-13,100.0%,+/-85.9,57,+/-33,95.0%,+/-9.8
Bachelor's degree or higher,24,+/-20,33.8%,+/-24.7,11,+/-13,100.0%,+/-85.9,13,+/-15,21.7%,+/-23.7
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,130,+/-69,(X),(X),73,+/-37,(X),(X),57,+/-44,(X),(X)
High school graduate or higher,99,+/-73,76.2%,+/-24.1,55,+/-41,75.3%,+/-29.8,44,+/-41,77.2%,+/-31.1
Bachelor's degree or higher,33,+/-39,25.4%,+/-22.3,33,+/-39,45.2%,+/-43.6,0,+/-24,0.0%,+/-37.7
Two or more races,148,+/-61,(X),(X),94,+/-52,(X),(X),54,+/-30,(X),(X)
High school graduate or higher,120,+/-55,81.1%,+/-18.1,66,+/-47,70.2%,+/-28.4,54,+/-30,100.0%,+/-38.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-18.2,0,+/-24,0.0%,+/-26.8,0,+/-24,0.0%,+/-38.8
Hispanic or Latino Origin,256,+/-34,(X),(X),106,+/-31,(X),(X),150,+/-17,(X),(X)
High school graduate or higher,199,+/-51,77.7%,+/-15.0,78,+/-36,73.6%,+/-22.8,121,+/-30,80.7%,+/-17.9
Bachelor's degree or higher,33,+/-39,12.9%,+/-14.8,33,+/-39,31.1%,+/-34.9,0,+/-24,0.0%,+/-18.0
