Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,881",+/-60,(X),(X),"1,440",+/-56,(X),(X),"1,441",+/-39,(X),(X)
Less than high school graduate,434,+/-96,15.1%,+/-3.3,287,+/-84,19.9%,+/-5.9,147,+/-66,10.2%,+/-4.6
High school graduate (includes equivalency),967,+/-178,33.6%,+/-6.2,526,+/-104,36.5%,+/-7.3,441,+/-140,30.6%,+/-9.6
Some college or associate's degree,"1,369",+/-196,47.5%,+/-6.7,585,+/-123,40.6%,+/-8.0,784,+/-153,54.4%,+/-10.7
Bachelor's degree or higher,111,+/-48,3.9%,+/-1.7,42,+/-31,2.9%,+/-2.1,69,+/-43,4.8%,+/-3.0
Population 25 years and over,"22,827",+/-67,(X),(X),"11,228",+/-86,(X),(X),"11,599",+/-61,(X),(X)
Less than 9th grade,693,+/-143,3.0%,+/-0.6,325,+/-86,2.9%,+/-0.8,368,+/-108,3.2%,+/-0.9
"9th to 12th grade, no diploma","1,412",+/-230,6.2%,+/-1.0,786,+/-161,7.0%,+/-1.4,626,+/-119,5.4%,+/-1.0
High school graduate (includes equivalency),"9,256",+/-538,40.5%,+/-2.4,"4,613",+/-373,41.1%,+/-3.3,"4,643",+/-280,40.0%,+/-2.4
"Some college, no degree","4,759",+/-299,20.8%,+/-1.3,"2,349",+/-237,20.9%,+/-2.1,"2,410",+/-244,20.8%,+/-2.1
Associate's degree,"2,878",+/-276,12.6%,+/-1.2,"1,297",+/-192,11.6%,+/-1.7,"1,581",+/-158,13.6%,+/-1.4
Bachelor's degree,"2,568",+/-305,11.2%,+/-1.3,"1,296",+/-174,11.5%,+/-1.5,"1,272",+/-214,11.0%,+/-1.9
Graduate or professional degree,"1,261",+/-219,5.5%,+/-1.0,562,+/-126,5.0%,+/-1.1,699,+/-165,6.0%,+/-1.4
Percent high school graduate or higher,(X),(X),90.8%,+/-1.1,(X),(X),90.1%,+/-1.5,(X),(X),91.4%,+/-1.2
Percent bachelor's degree or higher,(X),(X),16.8%,+/-1.5,(X),(X),16.5%,+/-1.7,(X),(X),17.0%,+/-2.2
Population 25 to 34 years,"3,887",+/-57,(X),(X),"2,013",+/-46,(X),(X),"1,874",+/-42,(X),(X)
High school graduate or higher,"3,679",+/-85,94.6%,+/-1.9,"1,844",+/-77,91.6%,+/-3.4,"1,835",+/-48,97.9%,+/-1.2
Bachelor's degree or higher,683,+/-157,17.6%,+/-4.0,353,+/-89,17.5%,+/-4.4,330,+/-94,17.6%,+/-5.0
Population 35 to 44 years,"4,005",+/-76,(X),(X),"2,049",+/-45,(X),(X),"1,956",+/-47,(X),(X)
High school graduate or higher,"3,805",+/-94,95.0%,+/-1.8,"1,928",+/-68,94.1%,+/-2.8,"1,877",+/-57,96.0%,+/-2.2
Bachelor's degree or higher,767,+/-160,19.2%,+/-4.0,345,+/-97,16.8%,+/-4.7,422,+/-103,21.6%,+/-5.3
Population 45 to 64 years,"9,415",+/-80,(X),(X),"4,749",+/-68,(X),(X),"4,666",+/-57,(X),(X)
High school graduate or higher,"8,670",+/-133,92.1%,+/-1.4,"4,320",+/-110,91.0%,+/-2.1,"4,350",+/-90,93.2%,+/-1.7
Bachelor's degree or higher,"1,627",+/-221,17.3%,+/-2.4,747,+/-137,15.7%,+/-2.9,880,+/-161,18.9%,+/-3.5
Population 65 years and over,"5,520",+/-56,(X),(X),"2,417",+/-40,(X),(X),"3,103",+/-31,(X),(X)
High school graduate or higher,"4,568",+/-170,82.8%,+/-3.0,"2,025",+/-102,83.8%,+/-4.0,"2,543",+/-107,82.0%,+/-3.3
Bachelor's degree or higher,752,+/-148,13.6%,+/-2.7,413,+/-105,17.1%,+/-4.4,339,+/-91,10.9%,+/-2.9
