Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,909",+/-63,(X),(X),"1,463",+/-62,(X),(X),"1,446",+/-54,(X),(X)
Less than high school graduate,467,+/-112,16.1%,+/-3.8,295,+/-83,20.2%,+/-5.6,172,+/-77,11.9%,+/-5.3
High school graduate (includes equivalency),984,+/-144,33.8%,+/-4.9,599,+/-119,40.9%,+/-8.1,385,+/-95,26.6%,+/-6.6
Some college or associate's degree,"1,311",+/-148,45.1%,+/-4.9,509,+/-103,34.8%,+/-6.7,802,+/-146,55.5%,+/-9.6
Bachelor's degree or higher,147,+/-65,5.1%,+/-2.3,60,+/-36,4.1%,+/-2.5,87,+/-60,6.0%,+/-4.1
Population 25 years and over,"22,845",+/-62,(X),(X),"11,239",+/-79,(X),(X),"11,606",+/-64,(X),(X)
Less than 9th grade,678,+/-150,3.0%,+/-0.7,309,+/-83,2.7%,+/-0.7,369,+/-113,3.2%,+/-1.0
"9th to 12th grade, no diploma","1,573",+/-196,6.9%,+/-0.9,872,+/-147,7.8%,+/-1.3,701,+/-125,6.0%,+/-1.1
High school graduate (includes equivalency),"9,059",+/-394,39.7%,+/-1.7,"4,481",+/-277,39.9%,+/-2.5,"4,578",+/-302,39.4%,+/-2.6
"Some college, no degree","4,996",+/-322,21.9%,+/-1.4,"2,535",+/-217,22.6%,+/-1.9,"2,461",+/-235,21.2%,+/-2.0
Associate's degree,"2,968",+/-346,13.0%,+/-1.5,"1,397",+/-220,12.4%,+/-1.9,"1,571",+/-229,13.5%,+/-2.0
Bachelor's degree,"2,429",+/-285,10.6%,+/-1.3,"1,220",+/-198,10.9%,+/-1.8,"1,209",+/-175,10.4%,+/-1.5
Graduate or professional degree,"1,142",+/-221,5.0%,+/-1.0,425,+/-109,3.8%,+/-1.0,717,+/-159,6.2%,+/-1.4
Percent high school graduate or higher,(X),(X),90.1%,+/-1.1,(X),(X),89.5%,+/-1.5,(X),(X),90.8%,+/-1.3
Percent bachelor's degree or higher,(X),(X),15.6%,+/-1.5,(X),(X),14.6%,+/-2.0,(X),(X),16.6%,+/-1.9
Population 25 to 34 years,"3,932",+/-69,(X),(X),"2,019",+/-53,(X),(X),"1,913",+/-62,(X),(X)
High school graduate or higher,"3,709",+/-91,94.3%,+/-1.8,"1,843",+/-72,91.3%,+/-3.4,"1,866",+/-64,97.5%,+/-1.3
Bachelor's degree or higher,662,+/-134,16.8%,+/-3.4,344,+/-95,17.0%,+/-4.7,318,+/-90,16.6%,+/-4.5
Population 35 to 44 years,"4,024",+/-87,(X),(X),"2,071",+/-56,(X),(X),"1,953",+/-48,(X),(X)
High school graduate or higher,"3,814",+/-115,94.8%,+/-1.9,"1,940",+/-81,93.7%,+/-2.9,"1,874",+/-68,96.0%,+/-2.2
Bachelor's degree or higher,770,+/-166,19.1%,+/-4.2,290,+/-88,14.0%,+/-4.3,480,+/-115,24.6%,+/-6.0
Population 45 to 64 years,"9,378",+/-84,(X),(X),"4,737",+/-69,(X),(X),"4,641",+/-52,(X),(X)
High school graduate or higher,"8,623",+/-155,91.9%,+/-1.6,"4,329",+/-105,91.4%,+/-1.9,"4,294",+/-113,92.5%,+/-2.1
Bachelor's degree or higher,"1,466",+/-221,15.6%,+/-2.4,661,+/-132,14.0%,+/-2.8,805,+/-149,17.3%,+/-3.2
Population 65 years and over,"5,511",+/-70,(X),(X),"2,412",+/-38,(X),(X),"3,099",+/-44,(X),(X)
High school graduate or higher,"4,448",+/-162,80.7%,+/-2.8,"1,946",+/-100,80.7%,+/-4.1,"2,502",+/-102,80.7%,+/-3.3
Bachelor's degree or higher,673,+/-151,12.2%,+/-2.7,350,+/-109,14.5%,+/-4.5,323,+/-75,10.4%,+/-2.4
