RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"217,149","+/-1,129",(X),(X),"105,182",+/-704,(X),(X),"111,967",+/-586,(X),(X)
High school graduate or higher,"192,871","+/-1,383",88.8%,+/-0.5,"93,690",+/-909,89.1%,+/-0.7,"99,181",+/-760,88.6%,+/-0.6
Bachelor's degree or higher,"49,209","+/-1,500",22.7%,+/-0.7,"23,513",+/-889,22.4%,+/-0.9,"25,696",+/-983,22.9%,+/-0.9
"White alone, not Hispanic or Latino","196,573",+/-106,(X),(X),"94,615",+/-85,(X),(X),"101,958",+/-57,(X),(X)
High school graduate or higher,"177,329",+/-923,90.2%,+/-0.5,"85,735",+/-596,90.6%,+/-0.6,"91,594",+/-609,89.8%,+/-0.6
Bachelor's degree or higher,"46,176","+/-1,441",23.5%,+/-0.7,"22,136",+/-878,23.4%,+/-0.9,"24,040",+/-981,23.6%,+/-1.0
Black alone,"74,387",+/-337,(X),(X),"31,425",+/-203,(X),(X),"42,962",+/-256,(X),(X)
High school graduate or higher,"65,688",+/-643,88.3%,+/-0.7,"27,366",+/-436,87.1%,+/-1.2,"38,322",+/-474,89.2%,+/-0.9
Bachelor's degree or higher,"11,327",+/-686,15.2%,+/-0.9,"3,805",+/-453,12.1%,+/-1.4,"7,522",+/-485,17.5%,+/-1.1
American Indian or Alaska Native alone,"1,021",+/-220,(X),(X),536,+/-139,(X),(X),485,+/-140,(X),(X)
High school graduate or higher,756,+/-186,74.0%,+/-10.5,408,+/-126,76.1%,+/-12.5,348,+/-109,71.8%,+/-16.0
Bachelor's degree or higher,112,+/-70,11.0%,+/-7.0,78,+/-63,14.6%,+/-11.4,34,+/-28,7.0%,+/-5.6
Asian alone,"4,356",+/-172,(X),(X),"1,993",+/-88,(X),(X),"2,363",+/-129,(X),(X)
High school graduate or higher,"3,850",+/-237,88.4%,+/-4.3,"1,759",+/-141,88.3%,+/-6.3,"2,091",+/-152,88.5%,+/-4.1
Bachelor's degree or higher,"2,397",+/-265,55.0%,+/-6.2,"1,215",+/-157,61.0%,+/-7.7,"1,182",+/-173,50.0%,+/-7.3
Native Hawaiian and Other Pacific Islander alone,53,+/-41,(X),(X),19,+/-31,(X),(X),34,+/-17,(X),(X)
High school graduate or higher,40,+/-28,75.5%,+/-27.3,10,+/-17,52.6%,+/-49.1,30,+/-15,88.2%,+/-19.8
Bachelor's degree or higher,10,+/-18,18.9%,+/-22.8,2,+/-4,10.5%,+/-21.6,8,+/-16,23.5%,+/-33.3
Some other race alone,"24,060","+/-1,216",(X),(X),"11,969",+/-742,(X),(X),"12,091",+/-655,(X),(X)
High school graduate or higher,"16,957",+/-968,70.5%,+/-2.2,"8,322",+/-655,69.5%,+/-3.0,"8,635",+/-519,71.4%,+/-2.7
Bachelor's degree or higher,"2,381",+/-440,9.9%,+/-1.8,"1,031",+/-284,8.6%,+/-2.4,"1,350",+/-268,11.2%,+/-2.2
Two or more races,"4,751",+/-541,(X),(X),"2,066",+/-346,(X),(X),"2,685",+/-332,(X),(X)
High school graduate or higher,"3,939",+/-494,82.9%,+/-4.5,"1,674",+/-309,81.0%,+/-6.3,"2,265",+/-320,84.4%,+/-4.5
Bachelor's degree or higher,"1,063",+/-237,22.4%,+/-4.3,385,+/-113,18.6%,+/-4.8,678,+/-189,25.3%,+/-6.1
Hispanic or Latino Origin,"48,005",*****,(X),(X),"24,113",*****,(X),(X),"23,892",*****,(X),(X)
High school graduate or higher,"35,124",+/-722,73.2%,+/-1.5,"17,491",+/-523,72.5%,+/-2.2,"17,633",+/-395,73.8%,+/-1.7
Bachelor's degree or higher,"5,963",+/-472,12.4%,+/-1.0,"2,647",+/-342,11.0%,+/-1.4,"3,316",+/-291,13.9%,+/-1.2
