RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"216,784","+/-1,062",(X),(X),"104,928",+/-639,(X),(X),"111,856",+/-586,(X),(X)
High school graduate or higher,"193,419","+/-1,291",89.2%,+/-0.4,"93,516",+/-756,89.1%,+/-0.5,"99,903",+/-903,89.3%,+/-0.6
Bachelor's degree or higher,"50,551","+/-1,325",23.3%,+/-0.6,"23,679",+/-800,22.6%,+/-0.8,"26,872",+/-935,24.0%,+/-0.8
"White alone, not Hispanic or Latino","195,687",+/-174,(X),(X),"94,279",+/-96,(X),(X),"101,408",+/-90,(X),(X)
High school graduate or higher,"177,390",+/-919,90.6%,+/-0.4,"85,557",+/-549,90.7%,+/-0.6,"91,833",+/-641,90.6%,+/-0.6
Bachelor's degree or higher,"47,324","+/-1,219",24.2%,+/-0.6,"22,250",+/-785,23.6%,+/-0.8,"25,074",+/-879,24.7%,+/-0.9
Black alone,"73,884",+/-308,(X),(X),"31,312",+/-139,(X),(X),"42,572",+/-233,(X),(X)
High school graduate or higher,"65,302",+/-600,88.4%,+/-0.8,"27,292",+/-282,87.2%,+/-0.8,"38,010",+/-490,89.3%,+/-1.0
Bachelor's degree or higher,"11,060",+/-683,15.0%,+/-0.9,"3,612",+/-451,11.5%,+/-1.4,"7,448",+/-522,17.5%,+/-1.2
American Indian or Alaska Native alone,"1,050",+/-218,(X),(X),547,+/-157,(X),(X),503,+/-121,(X),(X)
High school graduate or higher,793,+/-183,75.5%,+/-9.9,404,+/-141,73.9%,+/-14.4,389,+/-100,77.3%,+/-12.4
Bachelor's degree or higher,220,+/-117,21.0%,+/-9.8,148,+/-79,27.1%,+/-11.8,72,+/-64,14.3%,+/-11.9
Asian alone,"4,485",+/-182,(X),(X),"2,065",+/-98,(X),(X),"2,420",+/-136,(X),(X)
High school graduate or higher,"4,100",+/-208,91.4%,+/-3.1,"1,888",+/-127,91.4%,+/-4.3,"2,212",+/-142,91.4%,+/-3.4
Bachelor's degree or higher,"2,428",+/-345,54.1%,+/-7.2,"1,235",+/-190,59.8%,+/-9.2,"1,193",+/-218,49.3%,+/-8.1
Native Hawaiian and Other Pacific Islander alone,61,+/-38,(X),(X),3,+/-8,(X),(X),58,+/-35,(X),(X)
High school graduate or higher,58,+/-39,95.1%,+/-13.8,3,+/-8,100.0%,+/-100.0,55,+/-36,94.8%,+/-15.0
Bachelor's degree or higher,8,+/-16,13.1%,+/-21.7,1,+/-4,33.3%,+/-66.7,7,+/-15,12.1%,+/-21.2
Some other race alone,"24,643","+/-1,155",(X),(X),"12,476",+/-701,(X),(X),"12,167",+/-631,(X),(X)
High school graduate or higher,"17,576","+/-1,074",71.3%,+/-2.9,"8,776",+/-645,70.3%,+/-3.5,"8,800",+/-615,72.3%,+/-3.3
Bachelor's degree or higher,"2,653",+/-505,10.8%,+/-1.9,"1,274",+/-294,10.2%,+/-2.2,"1,379",+/-320,11.3%,+/-2.5
Two or more races,"4,526",+/-525,(X),(X),"1,889",+/-290,(X),(X),"2,637",+/-355,(X),(X)
High school graduate or higher,"3,793",+/-474,83.8%,+/-4.2,"1,515",+/-266,80.2%,+/-5.8,"2,278",+/-318,86.4%,+/-4.2
Bachelor's degree or higher,"1,056",+/-217,23.3%,+/-4.3,361,+/-118,19.1%,+/-5.6,695,+/-175,26.4%,+/-6.0
Hispanic or Latino Origin,"48,944",*****,(X),(X),"24,625",*****,(X),(X),"24,319",*****,(X),(X)
High school graduate or higher,"36,159",+/-820,73.9%,+/-1.7,"17,882",+/-527,72.6%,+/-2.1,"18,277",+/-476,75.2%,+/-2.0
Bachelor's degree or higher,"6,351",+/-594,13.0%,+/-1.2,"2,915",+/-358,11.8%,+/-1.5,"3,436",+/-427,14.1%,+/-1.8
