Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"44,139",+/-81,(X),(X),"22,357",+/-57,(X),(X),"21,782",+/-46,(X),(X)
Less than high school graduate,"8,759",+/-552,19.8%,+/-1.3,"4,924",+/-380,22.0%,+/-1.7,"3,835",+/-357,17.6%,+/-1.6
High school graduate (includes equivalency),"15,367",+/-736,34.8%,+/-1.7,"8,201",+/-518,36.7%,+/-2.3,"7,166",+/-482,32.9%,+/-2.2
Some college or associate's degree,"17,209",+/-759,39.0%,+/-1.7,"8,122",+/-547,36.3%,+/-2.4,"9,087",+/-484,41.7%,+/-2.2
Bachelor's degree or higher,"2,804",+/-302,6.4%,+/-0.7,"1,110",+/-229,5.0%,+/-1.0,"1,694",+/-226,7.8%,+/-1.0
Population 25 years and over,"325,777",+/-97,(X),(X),"153,190",+/-67,(X),(X),"172,587",+/-54,(X),(X)
Less than 9th grade,"15,660",+/-755,4.8%,+/-0.2,"7,391",+/-560,4.8%,+/-0.4,"8,269",+/-470,4.8%,+/-0.3
"9th to 12th grade, no diploma","26,016","+/-1,132",8.0%,+/-0.3,"12,570",+/-761,8.2%,+/-0.5,"13,446",+/-748,7.8%,+/-0.4
High school graduate (includes equivalency),"115,279","+/-1,846",35.4%,+/-0.6,"57,567","+/-1,197",37.6%,+/-0.8,"57,712","+/-1,259",33.4%,+/-0.7
"Some college, no degree","75,856","+/-1,872",23.3%,+/-0.6,"35,524","+/-1,115",23.2%,+/-0.7,"40,332","+/-1,223",23.4%,+/-0.7
Associate's degree,"26,467","+/-1,086",8.1%,+/-0.3,"10,109",+/-662,6.6%,+/-0.4,"16,358",+/-777,9.5%,+/-0.5
Bachelor's degree,"45,035","+/-1,442",13.8%,+/-0.4,"20,832","+/-1,016",13.6%,+/-0.7,"24,203",+/-887,14.0%,+/-0.5
Graduate or professional degree,"21,464",+/-964,6.6%,+/-0.3,"9,197",+/-544,6.0%,+/-0.4,"12,267",+/-744,7.1%,+/-0.4
Percent high school graduate or higher,(X),(X),87.2%,+/-0.4,(X),(X),87.0%,+/-0.6,(X),(X),87.4%,+/-0.5
Percent bachelor's degree or higher,(X),(X),20.4%,+/-0.6,(X),(X),19.6%,+/-0.7,(X),(X),21.1%,+/-0.6
Population 25 to 34 years,"61,096",+/-81,(X),(X),"29,585",+/-58,(X),(X),"31,511",+/-47,(X),(X)
High school graduate or higher,"54,630",+/-591,89.4%,+/-1.0,"26,302",+/-478,88.9%,+/-1.6,"28,328",+/-391,89.9%,+/-1.2
Bachelor's degree or higher,"14,157",+/-718,23.2%,+/-1.2,"5,638",+/-476,19.1%,+/-1.6,"8,519",+/-475,27.0%,+/-1.5
Population 35 to 44 years,"61,575",+/-91,(X),(X),"29,789",+/-63,(X),(X),"31,786",+/-62,(X),(X)
High school graduate or higher,"55,792",+/-452,90.6%,+/-0.7,"26,496",+/-352,88.9%,+/-1.2,"29,296",+/-276,92.2%,+/-0.9
Bachelor's degree or higher,"15,073",+/-847,24.5%,+/-1.4,"6,228",+/-502,20.9%,+/-1.7,"8,845",+/-558,27.8%,+/-1.8
Population 45 to 64 years,"133,364",+/-111,(X),(X),"64,271",+/-97,(X),(X),"69,093",+/-64,(X),(X)
High school graduate or higher,"118,363",+/-761,88.8%,+/-0.6,"56,441",+/-553,87.8%,+/-0.9,"61,922",+/-477,89.6%,+/-0.7
Bachelor's degree or higher,"27,466","+/-1,065",20.6%,+/-0.8,"12,997",+/-660,20.2%,+/-1.0,"14,469",+/-697,20.9%,+/-1.0
Population 65 years and over,"69,742",+/-69,(X),(X),"29,545",+/-66,(X),(X),"40,197",+/-11,(X),(X)
High school graduate or higher,"55,316",+/-654,79.3%,+/-0.9,"23,990",+/-387,81.2%,+/-1.3,"31,326",+/-473,77.9%,+/-1.2
Bachelor's degree or higher,"9,803",+/-587,14.1%,+/-0.8,"5,166",+/-405,17.5%,+/-1.4,"4,637",+/-415,11.5%,+/-1.0
