Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"44,044",+/-64,(X),(X),"22,337",+/-48,(X),(X),"21,707",+/-53,(X),(X)
Less than high school graduate,"8,350",+/-657,19.0%,+/-1.5,"4,510",+/-442,20.2%,+/-2.0,"3,840",+/-383,17.7%,+/-1.8
High school graduate (includes equivalency),"15,783",+/-727,35.8%,+/-1.6,"8,228",+/-448,36.8%,+/-2.0,"7,555",+/-519,34.8%,+/-2.4
Some college or associate's degree,"16,630",+/-698,37.8%,+/-1.6,"8,068",+/-484,36.1%,+/-2.1,"8,562",+/-468,39.4%,+/-2.2
Bachelor's degree or higher,"3,281",+/-413,7.4%,+/-0.9,"1,531",+/-286,6.9%,+/-1.3,"1,750",+/-302,8.1%,+/-1.4
Population 25 years and over,"326,499",+/-90,(X),(X),"153,778",+/-53,(X),(X),"172,721",+/-69,(X),(X)
Less than 9th grade,"13,928",+/-787,4.3%,+/-0.2,"7,027",+/-513,4.6%,+/-0.3,"6,901",+/-476,4.0%,+/-0.3
"9th to 12th grade, no diploma","25,075",+/-962,7.7%,+/-0.3,"12,010",+/-757,7.8%,+/-0.5,"13,065",+/-681,7.6%,+/-0.4
High school graduate (includes equivalency),"113,733","+/-1,874",34.8%,+/-0.6,"57,417","+/-1,395",37.3%,+/-0.9,"56,316","+/-1,303",32.6%,+/-0.8
"Some college, no degree","76,318","+/-1,634",23.4%,+/-0.5,"35,264","+/-1,246",22.9%,+/-0.8,"41,054","+/-1,137",23.8%,+/-0.7
Associate's degree,"27,476","+/-1,113",8.4%,+/-0.3,"10,864",+/-671,7.1%,+/-0.4,"16,612",+/-761,9.6%,+/-0.4
Bachelor's degree,"47,030","+/-1,312",14.4%,+/-0.4,"21,686",+/-968,14.1%,+/-0.6,"25,344",+/-854,14.7%,+/-0.5
Graduate or professional degree,"22,939","+/-1,164",7.0%,+/-0.4,"9,510",+/-610,6.2%,+/-0.4,"13,429",+/-847,7.8%,+/-0.5
Percent high school graduate or higher,(X),(X),88.1%,+/-0.4,(X),(X),87.6%,+/-0.6,(X),(X),88.4%,+/-0.4
Percent bachelor's degree or higher,(X),(X),21.4%,+/-0.6,(X),(X),20.3%,+/-0.8,(X),(X),22.4%,+/-0.6
Population 25 to 34 years,"59,745",+/-110,(X),(X),"29,169",+/-72,(X),(X),"30,576",+/-76,(X),(X)
High school graduate or higher,"53,557",+/-528,89.6%,+/-0.9,"26,015",+/-405,89.2%,+/-1.4,"27,542",+/-382,90.1%,+/-1.2
Bachelor's degree or higher,"15,191",+/-774,25.4%,+/-1.3,"6,388",+/-471,21.9%,+/-1.6,"8,803",+/-551,28.8%,+/-1.8
Population 35 to 44 years,"61,076",+/-95,(X),(X),"29,625",+/-77,(X),(X),"31,451",+/-62,(X),(X)
High school graduate or higher,"55,207",+/-621,90.4%,+/-1.0,"26,340",+/-441,88.9%,+/-1.5,"28,867",+/-308,91.8%,+/-0.9
Bachelor's degree or higher,"14,849",+/-881,24.3%,+/-1.4,"6,290",+/-585,21.2%,+/-2.0,"8,559",+/-510,27.2%,+/-1.6
Population 45 to 64 years,"131,416",+/-81,(X),(X),"63,274",+/-44,(X),(X),"68,142",+/-68,(X),(X)
High school graduate or higher,"118,155",+/-738,89.9%,+/-0.6,"56,321",+/-489,89.0%,+/-0.8,"61,834",+/-440,90.7%,+/-0.6
Bachelor's degree or higher,"28,002","+/-1,083",21.3%,+/-0.8,"12,561",+/-702,19.9%,+/-1.1,"15,441",+/-650,22.7%,+/-1.0
Population 65 years and over,"74,262",+/-46,(X),(X),"31,710",+/-44,(X),(X),"42,552",+/-8,(X),(X)
High school graduate or higher,"60,577",+/-794,81.6%,+/-1.1,"26,065",+/-469,82.2%,+/-1.5,"34,512",+/-496,81.1%,+/-1.2
Bachelor's degree or higher,"11,927",+/-679,16.1%,+/-0.9,"5,957",+/-366,18.8%,+/-1.2,"5,970",+/-490,14.0%,+/-1.2
