RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,507",+/-102,(X),(X),"10,517",+/-73,(X),(X),"10,990",+/-79,(X),(X)
High school graduate or higher,"18,940",+/-335,88.1%,+/-1.5,"8,980",+/-214,85.4%,+/-2.1,"9,960",+/-203,90.6%,+/-1.7
Bachelor's degree or higher,"3,301",+/-362,15.3%,+/-1.7,"1,574",+/-228,15.0%,+/-2.2,"1,727",+/-241,15.7%,+/-2.2
"White alone, not Hispanic or Latino","20,723",+/-24,(X),(X),"10,086",+/-24,(X),(X),"10,637",+/-24,(X),(X)
High school graduate or higher,"18,481",+/-307,89.2%,+/-1.5,"8,796",+/-203,87.2%,+/-2.0,"9,685",+/-169,91.1%,+/-1.6
Bachelor's degree or higher,"3,136",+/-334,15.1%,+/-1.6,"1,493",+/-209,14.8%,+/-2.1,"1,643",+/-237,15.4%,+/-2.2
Black alone,104,+/-48,(X),(X),52,+/-28,(X),(X),52,+/-32,(X),(X)
High school graduate or higher,97,+/-49,93.3%,+/-10.3,45,+/-26,86.5%,+/-18.6,52,+/-32,100.0%,+/-39.5
Bachelor's degree or higher,45,+/-50,43.3%,+/-42.1,24,+/-25,46.2%,+/-41.3,21,+/-26,40.4%,+/-48.4
American Indian or Alaska Native alone,56,+/-66,(X),(X),16,+/-28,(X),(X),40,+/-56,(X),(X)
High school graduate or higher,56,+/-66,100.0%,+/-38.1,16,+/-28,100.0%,+/-71.2,40,+/-56,100.0%,+/-45.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-38.1,0,+/-24,0.0%,+/-71.2,0,+/-24,0.0%,+/-45.1
Asian alone,47,+/-24,(X),(X),9,+/-14,(X),(X),38,+/-21,(X),(X)
High school graduate or higher,33,+/-30,70.2%,+/-39.9,9,+/-14,100.0%,+/-95.0,24,+/-27,63.2%,+/-46.9
Bachelor's degree or higher,10,+/-14,21.3%,+/-29.8,0,+/-24,0.0%,+/-95.0,10,+/-14,26.3%,+/-34.3
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,97,+/-66,(X),(X),45,+/-37,(X),(X),52,+/-42,(X),(X)
High school graduate or higher,48,+/-40,49.5%,+/-35.6,33,+/-30,73.3%,+/-36.4,15,+/-15,28.8%,+/-37.5
Bachelor's degree or higher,0,+/-24,0.0%,+/-26.1,0,+/-24,0.0%,+/-42.5,0,+/-24,0.0%,+/-39.5
Two or more races,218,+/-94,(X),(X),99,+/-42,(X),(X),119,+/-72,(X),(X)
High school graduate or higher,195,+/-81,89.4%,+/-10.4,98,+/-42,99.0%,+/-3.7,97,+/-61,81.5%,+/-18.9
Bachelor's degree or higher,23,+/-24,10.6%,+/-12.2,23,+/-24,23.2%,+/-23.9,0,+/-24,0.0%,+/-22.0
Hispanic or Latino Origin,964,+/-78,(X),(X),506,+/-79,(X),(X),458,+/-58,(X),(X)
High school graduate or higher,590,+/-149,61.2%,+/-14.1,247,+/-100,48.8%,+/-18.1,343,+/-80,74.9%,+/-15.8
Bachelor's degree or higher,165,+/-140,17.1%,+/-14.5,81,+/-80,16.0%,+/-15.9,84,+/-72,18.3%,+/-15.6
