Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,089",+/-88,(X),(X),"1,649",+/-70,(X),(X),"1,440",+/-53,(X),(X)
Less than high school graduate,474,+/-134,15.3%,+/-4.2,348,+/-108,21.1%,+/-6.3,126,+/-66,8.8%,+/-4.6
High school graduate (includes equivalency),992,+/-149,32.1%,+/-4.7,477,+/-124,28.9%,+/-7.4,515,+/-136,35.8%,+/-9.5
Some college or associate's degree,"1,385",+/-187,44.8%,+/-6.1,736,+/-139,44.6%,+/-8.4,649,+/-125,45.1%,+/-8.4
Bachelor's degree or higher,238,+/-81,7.7%,+/-2.6,88,+/-48,5.3%,+/-2.8,150,+/-76,10.4%,+/-5.2
Population 25 years and over,"22,198",+/-98,(X),(X),"10,795",+/-70,(X),(X),"11,403",+/-76,(X),(X)
Less than 9th grade,672,+/-164,3.0%,+/-0.7,374,+/-103,3.5%,+/-0.9,298,+/-100,2.6%,+/-0.9
"9th to 12th grade, no diploma","2,214",+/-362,10.0%,+/-1.6,"1,307",+/-264,12.1%,+/-2.4,907,+/-180,8.0%,+/-1.6
High school graduate (includes equivalency),"9,168",+/-506,41.3%,+/-2.3,"4,522",+/-315,41.9%,+/-2.9,"4,646",+/-312,40.7%,+/-2.8
"Some college, no degree","4,657",+/-437,21.0%,+/-2.0,"2,174",+/-265,20.1%,+/-2.5,"2,483",+/-310,21.8%,+/-2.7
Associate's degree,"1,815",+/-245,8.2%,+/-1.1,696,+/-129,6.4%,+/-1.2,"1,119",+/-201,9.8%,+/-1.8
Bachelor's degree,"2,339",+/-290,10.5%,+/-1.3,"1,038",+/-174,9.6%,+/-1.6,"1,301",+/-197,11.4%,+/-1.7
Graduate or professional degree,"1,333",+/-229,6.0%,+/-1.0,684,+/-131,6.3%,+/-1.2,649,+/-140,5.7%,+/-1.2
Percent high school graduate or higher,(X),(X),87.0%,+/-1.9,(X),(X),84.4%,+/-2.8,(X),(X),89.4%,+/-1.9
Percent bachelor's degree or higher,(X),(X),16.5%,+/-1.6,(X),(X),16.0%,+/-2.0,(X),(X),17.1%,+/-1.9
Population 25 to 34 years,"3,844",+/-192,(X),(X),"1,902",+/-103,(X),(X),"1,942",+/-114,(X),(X)
High school graduate or higher,"3,370",+/-229,87.7%,+/-4.0,"1,561",+/-138,82.1%,+/-6.7,"1,809",+/-123,93.2%,+/-3.4
Bachelor's degree or higher,965,+/-195,25.1%,+/-4.6,378,+/-113,19.9%,+/-5.5,587,+/-125,30.2%,+/-6.1
Population 35 to 44 years,"4,090",+/-140,(X),(X),"2,056",+/-79,(X),(X),"2,034",+/-79,(X),(X)
High school graduate or higher,"3,582",+/-180,87.6%,+/-3.7,"1,725",+/-122,83.9%,+/-5.5,"1,857",+/-94,91.3%,+/-3.5
Bachelor's degree or higher,"1,019",+/-182,24.9%,+/-4.1,433,+/-133,21.1%,+/-6.4,586,+/-109,28.8%,+/-5.1
Population 45 to 64 years,"9,044",+/-164,(X),(X),"4,478",+/-88,(X),(X),"4,566",+/-109,(X),(X)
High school graduate or higher,"8,201",+/-204,90.7%,+/-2.3,"4,005",+/-123,89.4%,+/-2.7,"4,196",+/-139,91.9%,+/-2.6
Bachelor's degree or higher,"1,168",+/-189,12.9%,+/-2.1,587,+/-102,13.1%,+/-2.3,581,+/-137,12.7%,+/-2.9
Population 65 years and over,"5,220",+/-63,(X),(X),"2,359",+/-30,(X),(X),"2,861",+/-49,(X),(X)
High school graduate or higher,"4,159",+/-209,79.7%,+/-3.9,"1,823",+/-152,77.3%,+/-6.2,"2,336",+/-121,81.6%,+/-4.1
Bachelor's degree or higher,520,+/-134,10.0%,+/-2.6,324,+/-103,13.7%,+/-4.4,196,+/-85,6.9%,+/-3.0
