Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,113",+/-44,(X),(X),527,+/-23,(X),(X),586,+/-44,(X),(X)
Less than high school graduate,217,+/-75,19.5%,+/-6.5,133,+/-59,25.2%,+/-11.1,84,+/-49,14.3%,+/-8.4
High school graduate (includes equivalency),281,+/-82,25.2%,+/-7.3,125,+/-47,23.7%,+/-8.9,156,+/-60,26.6%,+/-10.1
Some college or associate's degree,609,+/-78,54.7%,+/-7.2,267,+/-65,50.7%,+/-11.9,342,+/-69,58.4%,+/-10.5
Bachelor's degree or higher,6,+/-7,0.5%,+/-0.7,2,+/-3,0.4%,+/-0.6,4,+/-5,0.7%,+/-0.9
Population 25 years and over,"9,657",+/-44,(X),(X),"4,732",+/-43,(X),(X),"4,925",+/-31,(X),(X)
Less than 9th grade,930,+/-172,9.6%,+/-1.8,534,+/-127,11.3%,+/-2.7,396,+/-103,8.0%,+/-2.1
"9th to 12th grade, no diploma","1,260",+/-186,13.0%,+/-1.9,695,+/-118,14.7%,+/-2.5,565,+/-143,11.5%,+/-2.9
High school graduate (includes equivalency),"3,780",+/-267,39.1%,+/-2.8,"2,016",+/-169,42.6%,+/-3.6,"1,764",+/-219,35.8%,+/-4.5
"Some college, no degree","2,042",+/-267,21.1%,+/-2.7,916,+/-166,19.4%,+/-3.5,"1,126",+/-171,22.9%,+/-3.4
Associate's degree,575,+/-147,6.0%,+/-1.5,165,+/-71,3.5%,+/-1.5,410,+/-127,8.3%,+/-2.6
Bachelor's degree,611,+/-125,6.3%,+/-1.3,304,+/-80,6.4%,+/-1.7,307,+/-92,6.2%,+/-1.9
Graduate or professional degree,459,+/-120,4.8%,+/-1.2,102,+/-42,2.2%,+/-0.9,357,+/-105,7.2%,+/-2.1
Percent high school graduate or higher,(X),(X),77.3%,+/-2.8,(X),(X),74.0%,+/-3.4,(X),(X),80.5%,+/-3.8
Percent bachelor's degree or higher,(X),(X),11.1%,+/-1.7,(X),(X),8.6%,+/-1.8,(X),(X),13.5%,+/-2.5
Population 25 to 34 years,"1,492",+/-32,(X),(X),739,+/-17,(X),(X),753,+/-18,(X),(X)
High school graduate or higher,"1,210",+/-102,81.1%,+/-6.5,589,+/-63,79.7%,+/-8.0,621,+/-68,82.5%,+/-8.9
Bachelor's degree or higher,232,+/-94,15.5%,+/-6.3,75,+/-50,10.1%,+/-6.8,157,+/-79,20.8%,+/-10.5
Population 35 to 44 years,"1,666",+/-43,(X),(X),876,+/-37,(X),(X),790,+/-18,(X),(X)
High school graduate or higher,"1,362",+/-92,81.8%,+/-5.3,718,+/-76,82.0%,+/-8.0,644,+/-69,81.5%,+/-8.3
Bachelor's degree or higher,171,+/-58,10.3%,+/-3.5,57,+/-30,6.5%,+/-3.5,114,+/-49,14.4%,+/-6.1
Population 45 to 64 years,"3,838",+/-41,(X),(X),"1,867",+/-32,(X),(X),"1,971",+/-29,(X),(X)
High school graduate or higher,"3,103",+/-143,80.8%,+/-3.5,"1,428",+/-91,76.5%,+/-4.8,"1,675",+/-95,85.0%,+/-4.5
Bachelor's degree or higher,462,+/-118,12.0%,+/-3.1,159,+/-65,8.5%,+/-3.5,303,+/-83,15.4%,+/-4.1
Population 65 years and over,"2,661",+/-25,(X),(X),"1,250",+/-19,(X),(X),"1,411",+/-16,(X),(X)
High school graduate or higher,"1,792",+/-145,67.3%,+/-5.5,768,+/-100,61.4%,+/-8.0,"1,024",+/-89,72.6%,+/-6.3
Bachelor's degree or higher,205,+/-99,7.7%,+/-3.7,115,+/-54,9.2%,+/-4.4,90,+/-52,6.4%,+/-3.7
