Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,044",+/-33,(X),(X),502,+/-7,(X),(X),542,+/-32,(X),(X)
Less than high school graduate,223,+/-90,21.4%,+/-8.8,130,+/-70,25.9%,+/-13.9,93,+/-57,17.2%,+/-11.0
High school graduate (includes equivalency),304,+/-101,29.1%,+/-9.5,147,+/-69,29.3%,+/-13.7,157,+/-74,29.0%,+/-12.9
Some college or associate's degree,509,+/-94,48.8%,+/-8.7,223,+/-68,44.4%,+/-13.6,286,+/-72,52.8%,+/-13.2
Bachelor's degree or higher,8,+/-8,0.8%,+/-0.8,2,+/-4,0.4%,+/-0.8,6,+/-6,1.1%,+/-1.2
Population 25 years and over,"9,650",+/-60,(X),(X),"4,703",+/-58,(X),(X),"4,947",+/-47,(X),(X)
Less than 9th grade,839,+/-158,8.7%,+/-1.6,460,+/-122,9.8%,+/-2.6,379,+/-99,7.7%,+/-2.0
"9th to 12th grade, no diploma","1,262",+/-211,13.1%,+/-2.2,677,+/-136,14.4%,+/-2.9,585,+/-133,11.8%,+/-2.7
High school graduate (includes equivalency),"3,868",+/-237,40.1%,+/-2.5,"2,094",+/-214,44.5%,+/-4.5,"1,774",+/-200,35.9%,+/-4.0
"Some college, no degree","2,058",+/-232,21.3%,+/-2.4,941,+/-169,20.0%,+/-3.6,"1,117",+/-173,22.6%,+/-3.5
Associate's degree,532,+/-135,5.5%,+/-1.4,138,+/-59,2.9%,+/-1.3,394,+/-114,8.0%,+/-2.3
Bachelor's degree,672,+/-150,7.0%,+/-1.6,299,+/-92,6.4%,+/-2.0,373,+/-103,7.5%,+/-2.1
Graduate or professional degree,419,+/-95,4.3%,+/-1.0,94,+/-41,2.0%,+/-0.9,325,+/-89,6.6%,+/-1.8
Percent high school graduate or higher,(X),(X),78.2%,+/-2.5,(X),(X),75.8%,+/-3.4,(X),(X),80.5%,+/-3.1
Percent bachelor's degree or higher,(X),(X),11.3%,+/-1.9,(X),(X),8.4%,+/-2.1,(X),(X),14.1%,+/-2.7
Population 25 to 34 years,"1,505",+/-38,(X),(X),744,+/-30,(X),(X),761,+/-21,(X),(X)
High school graduate or higher,"1,211",+/-122,80.5%,+/-8.1,596,+/-62,80.1%,+/-8.8,615,+/-77,80.8%,+/-9.9
Bachelor's degree or higher,223,+/-77,14.8%,+/-5.2,85,+/-41,11.4%,+/-5.4,138,+/-61,18.1%,+/-8.0
Population 35 to 44 years,"1,643",+/-43,(X),(X),861,+/-40,(X),(X),782,+/-22,(X),(X)
High school graduate or higher,"1,337",+/-111,81.4%,+/-6.0,679,+/-93,78.9%,+/-9.5,658,+/-74,84.1%,+/-8.8
Bachelor's degree or higher,193,+/-83,11.7%,+/-5.1,51,+/-30,5.9%,+/-3.5,142,+/-69,18.2%,+/-8.8
Population 45 to 64 years,"3,799",+/-48,(X),(X),"1,830",+/-31,(X),(X),"1,969",+/-32,(X),(X)
High school graduate or higher,"3,115",+/-156,82.0%,+/-3.8,"1,471",+/-94,80.4%,+/-5.0,"1,644",+/-117,83.5%,+/-5.7
Bachelor's degree or higher,482,+/-99,12.7%,+/-2.6,165,+/-68,9.0%,+/-3.7,317,+/-71,16.1%,+/-3.7
Population 65 years and over,"2,703",+/-21,(X),(X),"1,268",+/-26,(X),(X),"1,435",+/-20,(X),(X)
High school graduate or higher,"1,886",+/-131,69.8%,+/-4.8,820,+/-90,64.7%,+/-7.0,"1,066",+/-83,74.3%,+/-5.7
Bachelor's degree or higher,193,+/-94,7.1%,+/-3.5,92,+/-54,7.3%,+/-4.3,101,+/-51,7.0%,+/-3.6
