RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"9,307",+/-45,(X),(X),"4,532",+/-26,(X),(X),"4,775",+/-36,(X),(X)
High school graduate or higher,"7,414",+/-263,79.7%,+/-2.8,"3,506",+/-185,77.4%,+/-4.1,"3,908",+/-162,81.8%,+/-3.3
Bachelor's degree or higher,"1,137",+/-210,12.2%,+/-2.3,398,+/-118,8.8%,+/-2.6,739,+/-143,15.5%,+/-3.0
"White alone, not Hispanic or Latino","9,256",+/-26,(X),(X),"4,500",+/-7,(X),(X),"4,756",+/-24,(X),(X)
High school graduate or higher,"7,379",+/-262,79.7%,+/-2.8,"3,490",+/-186,77.6%,+/-4.1,"3,889",+/-157,81.8%,+/-3.3
Bachelor's degree or higher,"1,137",+/-210,12.3%,+/-2.3,398,+/-118,8.8%,+/-2.6,739,+/-143,15.5%,+/-3.0
Black alone,32,+/-33,(X),(X),29,+/-32,(X),(X),3,+/-8,(X),(X)
High school graduate or higher,24,+/-29,75.0%,+/-45.3,21,+/-28,72.4%,+/-50.5,3,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-17,0.0%,+/-48.2,0,+/-17,0.0%,+/-50.7,0,+/-17,0.0%,+/-100.0
American Indian or Alaska Native alone,40,+/-42,(X),(X),40,+/-42,(X),(X),0,+/-17,(X),(X)
High school graduate or higher,0,+/-17,0.0%,+/-43.1,0,+/-17,0.0%,+/-43.1,0,+/-17,-,**
Bachelor's degree or higher,0,+/-17,0.0%,+/-43.1,0,+/-17,0.0%,+/-43.1,0,+/-17,-,**
Asian alone,6,+/-10,(X),(X),0,+/-17,(X),(X),6,+/-10,(X),(X)
High school graduate or higher,6,+/-10,100.0%,+/-100.0,0,+/-17,-,**,6,+/-10,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-17,0.0%,+/-100.0,0,+/-17,-,**,0,+/-17,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,53,+/-66,(X),(X),53,+/-66,(X),(X),0,+/-17,(X),(X)
High school graduate or higher,0,+/-17,0.0%,+/-37.4,0,+/-17,0.0%,+/-37.4,0,+/-17,-,**
Bachelor's degree or higher,0,+/-17,0.0%,+/-37.4,0,+/-17,0.0%,+/-37.4,0,+/-17,-,**
Some other race alone,25,+/-34,(X),(X),14,+/-26,(X),(X),11,+/-19,(X),(X)
High school graduate or higher,25,+/-34,100.0%,+/-54.6,14,+/-26,100.0%,+/-72.9,11,+/-19,100.0%,+/-82.2
Bachelor's degree or higher,7,+/-12,28.0%,+/-36.1,0,+/-17,0.0%,+/-72.9,7,+/-12,63.6%,+/-18.2
Two or more races,166,+/-49,(X),(X),88,+/-37,(X),(X),78,+/-35,(X),(X)
High school graduate or higher,105,+/-40,63.3%,+/-16.0,52,+/-31,59.1%,+/-26.2,53,+/-35,67.9%,+/-27.4
Bachelor's degree or higher,4,+/-6,2.4%,+/-3.6,4,+/-6,4.5%,+/-6.9,0,+/-17,0.0%,+/-28.9
Hispanic or Latino Origin,65,+/-49,(X),(X),46,+/-34,(X),(X),19,+/-28,(X),(X)
High school graduate or higher,49,+/-38,75.4%,+/-32.0,30,+/-25,65.2%,+/-44.1,19,+/-28,100.0%,+/-62.6
Bachelor's degree or higher,0,+/-17,0.0%,+/-33.0,0,+/-17,0.0%,+/-40.2,0,+/-17,0.0%,+/-62.6
