RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"9,381",+/-32,(X),(X),"4,581",+/-22,(X),(X),"4,800",+/-22,(X),(X)
High school graduate or higher,"7,270",+/-262,77.5%,+/-2.8,"3,412",+/-157,74.5%,+/-3.4,"3,858",+/-189,80.4%,+/-3.9
Bachelor's degree or higher,"1,040",+/-163,11.1%,+/-1.7,397,+/-85,8.7%,+/-1.9,643,+/-121,13.4%,+/-2.5
"White alone, not Hispanic or Latino","9,321",+/-19,(X),(X),"4,539",+/-7,(X),(X),"4,782",+/-13,(X),(X)
High school graduate or higher,"7,227",+/-265,77.5%,+/-2.8,"3,381",+/-158,74.5%,+/-3.5,"3,846",+/-189,80.4%,+/-3.9
Bachelor's degree or higher,"1,040",+/-163,11.2%,+/-1.7,397,+/-85,8.7%,+/-1.9,643,+/-121,13.4%,+/-2.5
Black alone,27,+/-36,(X),(X),15,+/-18,(X),(X),12,+/-18,(X),(X)
High school graduate or higher,27,+/-36,100.0%,+/-52.5,15,+/-18,100.0%,+/-70.4,12,+/-18,100.0%,+/-78.7
Bachelor's degree or higher,0,+/-17,0.0%,+/-52.5,0,+/-17,0.0%,+/-70.4,0,+/-17,0.0%,+/-78.7
American Indian or Alaska Native alone,22,+/-25,(X),(X),7,+/-12,(X),(X),15,+/-23,(X),(X)
High school graduate or higher,15,+/-23,68.2%,+/-53.7,0,+/-17,0.0%,+/-100.0,15,+/-23,100.0%,+/-70.4
Bachelor's degree or higher,15,+/-23,68.2%,+/-53.7,0,+/-17,0.0%,+/-100.0,15,+/-23,100.0%,+/-70.4
Asian alone,8,+/-14,(X),(X),0,+/-17,(X),(X),8,+/-14,(X),(X)
High school graduate or higher,8,+/-14,100.0%,+/-96.4,0,+/-17,-,**,8,+/-14,100.0%,+/-96.4
Bachelor's degree or higher,0,+/-17,0.0%,+/-96.4,0,+/-17,-,**,0,+/-17,0.0%,+/-96.4
Native Hawaiian and Other Pacific Islander alone,0,+/-17,(X),(X),0,+/-17,(X),(X),0,+/-17,(X),(X)
High school graduate or higher,0,+/-17,-,**,0,+/-17,-,**,0,+/-17,-,**
Bachelor's degree or higher,0,+/-17,-,**,0,+/-17,-,**,0,+/-17,-,**
Some other race alone,20,+/-23,(X),(X),14,+/-18,(X),(X),6,+/-9,(X),(X)
High school graduate or higher,20,+/-23,100.0%,+/-61.0,14,+/-18,100.0%,+/-72.9,6,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,11,+/-17,55.0%,+/-55.0,5,+/-8,35.7%,+/-58.8,6,+/-9,100.0%,+/-100.0
Two or more races,199,+/-41,(X),(X),115,+/-46,(X),(X),84,+/-33,(X),(X)
High school graduate or higher,127,+/-50,63.8%,+/-19.3,62,+/-46,53.9%,+/-31.1,65,+/-33,77.4%,+/-19.4
Bachelor's degree or higher,4,+/-6,2.0%,+/-3.0,4,+/-6,3.5%,+/-5.3,0,+/-17,0.0%,+/-27.3
Hispanic or Latino Origin,69,+/-27,(X),(X),51,+/-22,(X),(X),18,+/-17,(X),(X)
High school graduate or higher,52,+/-24,75.4%,+/-25.4,40,+/-20,78.4%,+/-29.9,12,+/-15,66.7%,+/-41.4
Bachelor's degree or higher,0,+/-17,0.0%,+/-31.7,0,+/-17,0.0%,+/-38.2,0,+/-17,0.0%,+/-64.3
