RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,846",+/-13,(X),(X),"5,178",+/-6,(X),(X),"5,668",+/-10,(X),(X)
High school graduate or higher,"9,662",+/-203,89.1%,+/-1.9,"4,634",+/-128,89.5%,+/-2.5,"5,028",+/-147,88.7%,+/-2.6
Bachelor's degree or higher,"1,382",+/-208,12.7%,+/-1.9,587,+/-125,11.3%,+/-2.4,795,+/-152,14.0%,+/-2.7
"White alone, not Hispanic or Latino","10,786",+/-18,(X),(X),"5,173",+/-18,(X),(X),"5,613",+/-18,(X),(X)
High school graduate or higher,"9,603",+/-202,89.0%,+/-1.9,"4,629",+/-128,89.5%,+/-2.5,"4,974",+/-145,88.6%,+/-2.6
Bachelor's degree or higher,"1,382",+/-208,12.8%,+/-1.9,587,+/-125,11.3%,+/-2.4,795,+/-152,14.2%,+/-2.7
Black alone,54,+/-34,(X),(X),46,+/-34,(X),(X),8,+/-12,(X),(X)
High school graduate or higher,51,+/-31,94.4%,+/-10.4,43,+/-31,93.5%,+/-12.3,8,+/-12,100.0%,+/-100.0
Bachelor's degree or higher,29,+/-23,53.7%,+/-49.2,24,+/-26,52.2%,+/-52.2,5,+/-10,62.5%,+/-62.5
American Indian or Alaska Native alone,45,+/-18,(X),(X),27,+/-19,(X),(X),18,+/-14,(X),(X)
High school graduate or higher,41,+/-15,91.1%,+/-10.8,27,+/-19,100.0%,+/-54.8,14,+/-15,77.8%,+/-43.7
Bachelor's degree or higher,0,+/-18,0.0%,+/-42.5,0,+/-18,0.0%,+/-54.8,0,+/-18,0.0%,+/-67.2
Asian alone,16,+/-22,(X),(X),0,+/-18,(X),(X),16,+/-22,(X),(X)
High school graduate or higher,16,+/-22,100.0%,+/-71.2,0,+/-18,-,**,16,+/-22,100.0%,+/-71.2
Bachelor's degree or higher,2,+/-4,12.5%,+/-31.0,0,+/-18,-,**,2,+/-4,12.5%,+/-31.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Two or more races,69,+/-43,(X),(X),10,+/-9,(X),(X),59,+/-45,(X),(X)
High school graduate or higher,45,+/-29,65.2%,+/-29.6,7,+/-7,70.0%,+/-46.5,38,+/-28,64.4%,+/-33.8
Bachelor's degree or higher,19,+/-17,27.5%,+/-22.1,0,+/-18,0.0%,+/-90.1,19,+/-17,32.2%,+/-26.0
Hispanic or Latino Origin,60,+/-13,(X),(X),5,+/-6,(X),(X),55,+/-10,(X),(X)
High school graduate or higher,59,+/-12,98.3%,+/-3.1,5,+/-6,100.0%,+/-100.0,54,+/-10,98.2%,+/-3.4
Bachelor's degree or higher,0,+/-18,0.0%,+/-36.7,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-38.4
