Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,202",+/-18,(X),(X),607,+/-14,(X),(X),595,+/-23,(X),(X)
Less than high school graduate,219,+/-74,18.2%,+/-6.2,129,+/-54,21.3%,+/-8.9,90,+/-49,15.1%,+/-8.3
High school graduate (includes equivalency),407,+/-112,33.9%,+/-9.4,251,+/-76,41.4%,+/-12.4,156,+/-70,26.2%,+/-12.0
Some college or associate's degree,517,+/-99,43.0%,+/-8.1,205,+/-61,33.8%,+/-10.0,312,+/-82,52.4%,+/-12.9
Bachelor's degree or higher,59,+/-54,4.9%,+/-4.5,22,+/-22,3.6%,+/-3.6,37,+/-49,6.2%,+/-8.3
Population 25 years and over,"11,097",+/-38,(X),(X),"5,310",+/-34,(X),(X),"5,787",+/-27,(X),(X)
Less than 9th grade,287,+/-98,2.6%,+/-0.9,173,+/-82,3.3%,+/-1.5,114,+/-53,2.0%,+/-0.9
"9th to 12th grade, no diploma",947,+/-171,8.5%,+/-1.5,395,+/-107,7.4%,+/-2.0,552,+/-123,9.5%,+/-2.1
High school graduate (includes equivalency),"4,869",+/-252,43.9%,+/-2.3,"2,289",+/-185,43.1%,+/-3.5,"2,580",+/-166,44.6%,+/-2.9
"Some college, no degree","2,460",+/-263,22.2%,+/-2.4,"1,356",+/-199,25.5%,+/-3.7,"1,104",+/-131,19.1%,+/-2.3
Associate's degree,"1,033",+/-149,9.3%,+/-1.3,387,+/-87,7.3%,+/-1.6,646,+/-116,11.2%,+/-2.0
Bachelor's degree,"1,072",+/-208,9.7%,+/-1.9,467,+/-145,8.8%,+/-2.7,605,+/-134,10.5%,+/-2.3
Graduate or professional degree,429,+/-94,3.9%,+/-0.8,243,+/-67,4.6%,+/-1.3,186,+/-60,3.2%,+/-1.0
Percent high school graduate or higher,(X),(X),88.9%,+/-1.7,(X),(X),89.3%,+/-2.6,(X),(X),88.5%,+/-2.3
Percent bachelor's degree or higher,(X),(X),13.5%,+/-2.0,(X),(X),13.4%,+/-3.0,(X),(X),13.7%,+/-2.4
Population 25 to 34 years,"1,630",+/-13,(X),(X),814,+/-8,(X),(X),816,+/-12,(X),(X)
High school graduate or higher,"1,502",+/-77,92.1%,+/-4.8,768,+/-29,94.3%,+/-3.7,734,+/-69,90.0%,+/-8.5
Bachelor's degree or higher,323,+/-100,19.8%,+/-6.1,101,+/-60,12.4%,+/-7.4,222,+/-95,27.2%,+/-11.6
Population 35 to 44 years,"2,006",+/-23,(X),(X),994,+/-20,(X),(X),"1,012",+/-20,(X),(X)
High school graduate or higher,"1,910",+/-59,95.2%,+/-2.7,939,+/-38,94.5%,+/-3.2,971,+/-41,95.9%,+/-3.4
Bachelor's degree or higher,355,+/-124,17.7%,+/-6.2,196,+/-107,19.7%,+/-10.7,159,+/-53,15.7%,+/-5.2
Population 45 to 64 years,"4,578",+/-45,(X),(X),"2,249",+/-39,(X),(X),"2,329",+/-18,(X),(X)
High school graduate or higher,"4,044",+/-146,88.3%,+/-3.3,"1,977",+/-105,87.9%,+/-4.8,"2,067",+/-92,88.8%,+/-3.9
Bachelor's degree or higher,539,+/-106,11.8%,+/-2.3,259,+/-74,11.5%,+/-3.3,280,+/-68,12.0%,+/-2.9
Population 65 years and over,"2,883",+/-26,(X),(X),"1,253",+/-16,(X),(X),"1,630",+/-21,(X),(X)
High school graduate or higher,"2,407",+/-100,83.5%,+/-3.3,"1,058",+/-56,84.4%,+/-4.3,"1,349",+/-73,82.8%,+/-4.5
Bachelor's degree or higher,284,+/-86,9.9%,+/-3.0,154,+/-57,12.3%,+/-4.6,130,+/-52,8.0%,+/-3.2
