RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,908",+/-16,(X),(X),"5,205",+/-9,(X),(X),"5,703",+/-11,(X),(X)
High school graduate or higher,"9,709",+/-184,89.0%,+/-1.7,"4,644",+/-132,89.2%,+/-2.6,"5,065",+/-130,88.8%,+/-2.3
Bachelor's degree or higher,"1,441",+/-221,13.2%,+/-2.0,675,+/-159,13.0%,+/-3.1,766,+/-137,13.4%,+/-2.4
"White alone, not Hispanic or Latino","10,850",+/-18,(X),(X),"5,197",+/-18,(X),(X),"5,653",+/-18,(X),(X)
High school graduate or higher,"9,651",+/-190,88.9%,+/-1.8,"4,636",+/-136,89.2%,+/-2.6,"5,015",+/-131,88.7%,+/-2.3
Bachelor's degree or higher,"1,441",+/-221,13.3%,+/-2.0,675,+/-159,13.0%,+/-3.1,766,+/-137,13.6%,+/-2.4
Black alone,46,+/-28,(X),(X),41,+/-25,(X),(X),5,+/-8,(X),(X)
High school graduate or higher,44,+/-27,95.7%,+/-12.7,39,+/-25,95.1%,+/-14.4,5,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,24,+/-14,52.2%,+/-45.8,21,+/-16,51.2%,+/-51.2,3,+/-6,60.0%,+/-60.0
American Indian or Alaska Native alone,56,+/-19,(X),(X),39,+/-18,(X),(X),17,+/-10,(X),(X)
High school graduate or higher,49,+/-15,87.5%,+/-14.2,39,+/-18,100.0%,+/-45.6,10,+/-10,58.8%,+/-52.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-38.1,0,+/-18,0.0%,+/-45.6,0,+/-18,0.0%,+/-69.1
Asian alone,47,+/-19,(X),(X),14,+/-13,(X),(X),33,+/-14,(X),(X)
High school graduate or higher,41,+/-23,87.2%,+/-27.0,14,+/-13,100.0%,+/-76.1,27,+/-14,81.8%,+/-32.7
Bachelor's degree or higher,33,+/-25,70.2%,+/-35.9,14,+/-13,100.0%,+/-76.1,19,+/-15,57.6%,+/-41.1
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Two or more races,40,+/-29,(X),(X),11,+/-10,(X),(X),29,+/-27,(X),(X)
High school graduate or higher,20,+/-21,50.0%,+/-31.3,6,+/-7,54.5%,+/-51.6,14,+/-19,48.3%,+/-37.2
Bachelor's degree or higher,3,+/-6,7.5%,+/-12.4,0,+/-18,0.0%,+/-85.9,3,+/-6,10.3%,+/-18.3
Hispanic or Latino Origin,58,+/-16,(X),(X),8,+/-9,(X),(X),50,+/-11,(X),(X)
High school graduate or higher,58,+/-16,100.0%,+/-37.4,8,+/-9,100.0%,+/-100.0,50,+/-11,100.0%,+/-40.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-37.4,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-40.3
