Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,205",+/-21,(X),(X),609,+/-13,(X),(X),596,+/-19,(X),(X)
Less than high school graduate,224,+/-68,18.6%,+/-5.6,136,+/-50,22.3%,+/-8.1,88,+/-44,14.8%,+/-7.3
High school graduate (includes equivalency),491,+/-126,40.7%,+/-10.5,280,+/-78,46.0%,+/-12.9,211,+/-83,35.4%,+/-13.8
Some college or associate's degree,454,+/-100,37.7%,+/-8.1,193,+/-72,31.7%,+/-11.8,261,+/-77,43.8%,+/-12.8
Bachelor's degree or higher,36,+/-51,3.0%,+/-4.3,0,+/-18,0.0%,+/-4.8,36,+/-51,6.0%,+/-8.7
Population 25 years and over,"11,030",+/-50,(X),(X),"5,261",+/-44,(X),(X),"5,769",+/-59,(X),(X)
Less than 9th grade,322,+/-103,2.9%,+/-0.9,195,+/-85,3.7%,+/-1.6,127,+/-51,2.2%,+/-0.9
"9th to 12th grade, no diploma",893,+/-170,8.1%,+/-1.5,355,+/-99,6.7%,+/-1.9,538,+/-135,9.3%,+/-2.3
High school graduate (includes equivalency),"4,992",+/-289,45.3%,+/-2.6,"2,434",+/-200,46.3%,+/-3.9,"2,558",+/-205,44.3%,+/-3.5
"Some college, no degree","2,218",+/-227,20.1%,+/-2.0,"1,181",+/-177,22.4%,+/-3.3,"1,037",+/-114,18.0%,+/-1.9
Associate's degree,"1,173",+/-180,10.6%,+/-1.6,485,+/-106,9.2%,+/-2.0,688,+/-123,11.9%,+/-2.2
Bachelor's degree,"1,043",+/-205,9.5%,+/-1.9,419,+/-105,8.0%,+/-2.0,624,+/-152,10.8%,+/-2.6
Graduate or professional degree,389,+/-86,3.5%,+/-0.8,192,+/-60,3.6%,+/-1.1,197,+/-64,3.4%,+/-1.1
Percent high school graduate or higher,(X),(X),89.0%,+/-1.8,(X),(X),89.5%,+/-2.4,(X),(X),88.5%,+/-2.6
Percent bachelor's degree or higher,(X),(X),13.0%,+/-1.9,(X),(X),11.6%,+/-2.4,(X),(X),14.2%,+/-2.7
Population 25 to 34 years,"1,633",+/-15,(X),(X),814,+/-7,(X),(X),819,+/-16,(X),(X)
High school graduate or higher,"1,490",+/-97,91.2%,+/-5.7,763,+/-32,93.7%,+/-4.0,727,+/-85,88.8%,+/-9.7
Bachelor's degree or higher,279,+/-107,17.1%,+/-6.6,84,+/-49,10.3%,+/-6.0,195,+/-96,23.8%,+/-11.6
Population 35 to 44 years,"1,952",+/-31,(X),(X),969,+/-31,(X),(X),983,+/-25,(X),(X)
High school graduate or higher,"1,854",+/-59,95.0%,+/-2.8,909,+/-46,93.8%,+/-3.7,945,+/-44,96.1%,+/-3.7
Bachelor's degree or higher,346,+/-100,17.7%,+/-5.1,169,+/-79,17.4%,+/-8.0,177,+/-58,18.0%,+/-5.9
Population 45 to 64 years,"4,502",+/-42,(X),(X),"2,191",+/-37,(X),(X),"2,311",+/-27,(X),(X)
High school graduate or higher,"3,992",+/-127,88.7%,+/-2.8,"1,915",+/-92,87.4%,+/-4.2,"2,077",+/-95,89.9%,+/-4.0
Bachelor's degree or higher,551,+/-119,12.2%,+/-2.6,212,+/-71,9.7%,+/-3.2,339,+/-77,14.7%,+/-3.3
Population 65 years and over,"2,943",+/-32,(X),(X),"1,287",+/-12,(X),(X),"1,656",+/-32,(X),(X)
High school graduate or higher,"2,479",+/-110,84.2%,+/-3.8,"1,124",+/-57,87.3%,+/-4.5,"1,355",+/-90,81.8%,+/-5.6
Bachelor's degree or higher,256,+/-73,8.7%,+/-2.5,146,+/-51,11.3%,+/-3.9,110,+/-48,6.6%,+/-2.9
