Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"15,687",+/-96,(X),(X),"7,972",+/-74,(X),(X),"7,715",+/-67,(X),(X)
Less than high school graduate,"2,045",+/-311,13.0%,+/-2.0,"1,226",+/-232,15.4%,+/-2.9,819,+/-216,10.6%,+/-2.8
High school graduate (includes equivalency),"5,297",+/-427,33.8%,+/-2.7,"2,883",+/-365,36.2%,+/-4.6,"2,414",+/-296,31.3%,+/-3.8
Some college or associate's degree,"6,578",+/-421,41.9%,+/-2.7,"3,016",+/-339,37.8%,+/-4.3,"3,562",+/-317,46.2%,+/-4.1
Bachelor's degree or higher,"1,767",+/-325,11.3%,+/-2.1,847,+/-234,10.6%,+/-2.9,920,+/-201,11.9%,+/-2.6
Population 25 years and over,"112,289",+/-97,(X),(X),"54,294",+/-88,(X),(X),"57,995",+/-84,(X),(X)
Less than 9th grade,"2,312",+/-384,2.1%,+/-0.3,"1,010",+/-228,1.9%,+/-0.4,"1,302",+/-249,2.2%,+/-0.4
"9th to 12th grade, no diploma","6,741",+/-703,6.0%,+/-0.6,"3,295",+/-422,6.1%,+/-0.8,"3,446",+/-449,5.9%,+/-0.8
High school graduate (includes equivalency),"39,503","+/-1,209",35.2%,+/-1.1,"19,627",+/-799,36.1%,+/-1.5,"19,876",+/-722,34.3%,+/-1.2
"Some college, no degree","23,547","+/-1,029",21.0%,+/-0.9,"11,268",+/-644,20.8%,+/-1.2,"12,279",+/-734,21.2%,+/-1.3
Associate's degree,"10,557",+/-699,9.4%,+/-0.6,"4,796",+/-496,8.8%,+/-0.9,"5,761",+/-591,9.9%,+/-1.0
Bachelor's degree,"18,608",+/-953,16.6%,+/-0.8,"9,070",+/-612,16.7%,+/-1.1,"9,538",+/-580,16.4%,+/-1.0
Graduate or professional degree,"11,021",+/-757,9.8%,+/-0.7,"5,228",+/-432,9.6%,+/-0.8,"5,793",+/-551,10.0%,+/-0.9
Percent high school graduate or higher,(X),(X),91.9%,+/-0.7,(X),(X),92.1%,+/-0.9,(X),(X),91.8%,+/-0.9
Percent bachelor's degree or higher,(X),(X),26.4%,+/-1.0,(X),(X),26.3%,+/-1.3,(X),(X),26.4%,+/-1.1
Population 25 to 34 years,"20,376",+/-145,(X),(X),"10,208",+/-85,(X),(X),"10,168",+/-84,(X),(X)
High school graduate or higher,"18,747",+/-370,92.0%,+/-1.7,"9,390",+/-253,92.0%,+/-2.3,"9,357",+/-217,92.0%,+/-2.0
Bachelor's degree or higher,"5,961",+/-566,29.3%,+/-2.7,"2,576",+/-312,25.2%,+/-3.0,"3,385",+/-391,33.3%,+/-3.8
Population 35 to 44 years,"21,812",+/-166,(X),(X),"10,853",+/-121,(X),(X),"10,959",+/-102,(X),(X)
High school graduate or higher,"20,639",+/-284,94.6%,+/-1.1,"10,066",+/-238,92.7%,+/-1.9,"10,573",+/-134,96.5%,+/-1.1
Bachelor's degree or higher,"6,750",+/-472,30.9%,+/-2.2,"3,009",+/-316,27.7%,+/-2.9,"3,741",+/-352,34.1%,+/-3.2
Population 45 to 64 years,"47,014",+/-202,(X),(X),"22,920",+/-150,(X),(X),"24,094",+/-147,(X),(X)
High school graduate or higher,"43,833",+/-538,93.2%,+/-1.0,"21,373",+/-344,93.3%,+/-1.2,"22,460",+/-365,93.2%,+/-1.4
Bachelor's degree or higher,"12,096",+/-733,25.7%,+/-1.5,"6,018",+/-498,26.3%,+/-2.1,"6,078",+/-417,25.2%,+/-1.7
Population 65 years and over,"23,087",+/-157,(X),(X),"10,313",+/-108,(X),(X),"12,774",+/-108,(X),(X)
High school graduate or higher,"20,017",+/-364,86.7%,+/-1.6,"9,160",+/-212,88.8%,+/-1.9,"10,857",+/-273,85.0%,+/-2.1
Bachelor's degree or higher,"4,822",+/-392,20.9%,+/-1.7,"2,695",+/-233,26.1%,+/-2.2,"2,127",+/-251,16.7%,+/-2.0
