RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"105,570",+/-375,(X),(X),"51,087",+/-225,(X),(X),"54,483",+/-234,(X),(X)
High school graduate or higher,"97,088",+/-764,92.0%,+/-0.7,"47,146",+/-472,92.3%,+/-0.9,"49,942",+/-516,91.7%,+/-0.9
Bachelor's degree or higher,"27,378","+/-1,099",25.9%,+/-1.0,"12,883",+/-716,25.2%,+/-1.4,"14,495",+/-716,26.6%,+/-1.3
"White alone, not Hispanic or Latino","98,946",+/-33,(X),(X),"47,899",+/-33,(X),(X),"51,047",+/-27,(X),(X)
High school graduate or higher,"91,524",+/-671,92.5%,+/-0.7,"44,493",+/-405,92.9%,+/-0.8,"47,031",+/-457,92.1%,+/-0.9
Bachelor's degree or higher,"26,450","+/-1,069",26.7%,+/-1.1,"12,549",+/-701,26.2%,+/-1.5,"13,901",+/-690,27.2%,+/-1.4
Black alone,"3,382",+/-148,(X),(X),"1,638",+/-110,(X),(X),"1,744",+/-86,(X),(X)
High school graduate or higher,"3,204",+/-170,94.7%,+/-3.1,"1,589",+/-118,97.0%,+/-2.3,"1,615",+/-115,92.6%,+/-5.5
Bachelor's degree or higher,578,+/-178,17.1%,+/-5.2,283,+/-115,17.3%,+/-7.0,295,+/-107,16.9%,+/-6.3
American Indian or Alaska Native alone,201,+/-79,(X),(X),66,+/-44,(X),(X),135,+/-63,(X),(X)
High school graduate or higher,191,+/-78,95.0%,+/-7.9,66,+/-44,100.0%,+/-34.6,125,+/-62,92.6%,+/-11.8
Bachelor's degree or higher,57,+/-43,28.4%,+/-20.0,20,+/-33,30.3%,+/-48.6,37,+/-29,27.4%,+/-20.0
Asian alone,"1,472",+/-77,(X),(X),564,+/-47,(X),(X),908,+/-60,(X),(X)
High school graduate or higher,"1,360",+/-101,92.4%,+/-5.0,530,+/-58,94.0%,+/-6.3,830,+/-70,91.4%,+/-5.8
Bachelor's degree or higher,979,+/-206,66.5%,+/-12.2,433,+/-83,76.8%,+/-12.2,546,+/-151,60.1%,+/-15.0
Native Hawaiian and Other Pacific Islander alone,125,+/-80,(X),(X),35,+/-57,(X),(X),90,+/-68,(X),(X)
High school graduate or higher,125,+/-80,100.0%,+/-21.1,35,+/-57,100.0%,+/-48.2,90,+/-68,100.0%,+/-27.7
Bachelor's degree or higher,49,+/-43,39.2%,+/-26.6,0,+/-27,0.0%,+/-48.2,49,+/-43,54.4%,+/-33.2
Some other race alone,"1,280",+/-356,(X),(X),611,+/-184,(X),(X),669,+/-213,(X),(X)
High school graduate or higher,867,+/-258,67.7%,+/-9.1,352,+/-129,57.6%,+/-14.7,515,+/-187,77.0%,+/-11.1
Bachelor's degree or higher,198,+/-110,15.5%,+/-7.4,74,+/-57,12.1%,+/-8.4,124,+/-82,18.5%,+/-11.0
Two or more races,"1,033",+/-228,(X),(X),711,+/-187,(X),(X),322,+/-109,(X),(X)
High school graduate or higher,880,+/-216,85.2%,+/-8.2,568,+/-174,79.9%,+/-11.0,312,+/-108,96.9%,+/-5.4
Bachelor's degree or higher,300,+/-114,29.0%,+/-9.0,199,+/-87,28.0%,+/-10.4,101,+/-61,31.4%,+/-17.3
Hispanic or Latino Origin,"8,413",*****,(X),(X),"4,151",*****,(X),(X),"4,262",*****,(X),(X)
High school graduate or higher,"6,876",+/-267,81.7%,+/-3.2,"3,320",+/-211,80.0%,+/-5.1,"3,556",+/-166,83.4%,+/-3.9
Bachelor's degree or higher,"1,212",+/-245,14.4%,+/-2.9,492,+/-153,11.9%,+/-3.7,720,+/-176,16.9%,+/-4.1
