Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"15,717",+/-124,(X),(X),"8,166",+/-103,(X),(X),"7,551",+/-67,(X),(X)
Less than high school graduate,"1,676",+/-254,10.7%,+/-1.6,"1,071",+/-175,13.1%,+/-2.1,605,+/-158,8.0%,+/-2.1
High school graduate (includes equivalency),"5,763",+/-492,36.7%,+/-3.1,"2,920",+/-327,35.8%,+/-4.0,"2,843",+/-323,37.7%,+/-4.3
Some college or associate's degree,"6,593",+/-472,41.9%,+/-3.0,"3,347",+/-340,41.0%,+/-4.1,"3,246",+/-309,43.0%,+/-4.0
Bachelor's degree or higher,"1,685",+/-262,10.7%,+/-1.7,828,+/-190,10.1%,+/-2.3,857,+/-188,11.3%,+/-2.5
Population 25 years and over,"113,686",+/-123,(X),(X),"55,030",+/-106,(X),(X),"58,656",+/-81,(X),(X)
Less than 9th grade,"2,253",+/-341,2.0%,+/-0.3,"1,051",+/-248,1.9%,+/-0.5,"1,202",+/-201,2.0%,+/-0.3
"9th to 12th grade, no diploma","6,506",+/-608,5.7%,+/-0.5,"3,256",+/-421,5.9%,+/-0.8,"3,250",+/-386,5.5%,+/-0.7
High school graduate (includes equivalency),"39,046","+/-1,211",34.3%,+/-1.1,"19,521",+/-799,35.5%,+/-1.5,"19,525",+/-735,33.3%,+/-1.3
"Some college, no degree","23,847",+/-948,21.0%,+/-0.8,"11,401",+/-756,20.7%,+/-1.4,"12,446",+/-626,21.2%,+/-1.1
Associate's degree,"10,794",+/-700,9.5%,+/-0.6,"4,827",+/-457,8.8%,+/-0.8,"5,967",+/-559,10.2%,+/-1.0
Bachelor's degree,"19,582",+/-795,17.2%,+/-0.7,"9,314",+/-574,16.9%,+/-1.0,"10,268",+/-480,17.5%,+/-0.8
Graduate or professional degree,"11,658",+/-694,10.3%,+/-0.6,"5,660",+/-446,10.3%,+/-0.8,"5,998",+/-451,10.2%,+/-0.8
Percent high school graduate or higher,(X),(X),92.3%,+/-0.6,(X),(X),92.2%,+/-0.9,(X),(X),92.4%,+/-0.7
Percent bachelor's degree or higher,(X),(X),27.5%,+/-0.9,(X),(X),27.2%,+/-1.2,(X),(X),27.7%,+/-1.0
Population 25 to 34 years,"20,305",+/-156,(X),(X),"10,168",+/-102,(X),(X),"10,137",+/-101,(X),(X)
High school graduate or higher,"18,802",+/-349,92.6%,+/-1.6,"9,426",+/-232,92.7%,+/-2.1,"9,376",+/-228,92.5%,+/-2.0
Bachelor's degree or higher,"6,513",+/-509,32.1%,+/-2.5,"2,815",+/-334,27.7%,+/-3.3,"3,698",+/-303,36.5%,+/-2.9
Population 35 to 44 years,"21,875",+/-171,(X),(X),"10,897",+/-117,(X),(X),"10,978",+/-95,(X),(X)
High school graduate or higher,"20,626",+/-305,94.3%,+/-1.2,"10,270",+/-255,94.2%,+/-2.1,"10,356",+/-199,94.3%,+/-1.5
Bachelor's degree or higher,"7,421",+/-514,33.9%,+/-2.3,"3,536",+/-379,32.4%,+/-3.4,"3,885",+/-349,35.4%,+/-3.1
Population 45 to 64 years,"46,557",+/-174,(X),(X),"22,753",+/-137,(X),(X),"23,804",+/-87,(X),(X)
High school graduate or higher,"43,608",+/-491,93.7%,+/-1.0,"21,082",+/-355,92.7%,+/-1.4,"22,526",+/-299,94.6%,+/-1.2
Bachelor's degree or higher,"11,886",+/-635,25.5%,+/-1.4,"5,607",+/-396,24.6%,+/-1.7,"6,279",+/-422,26.4%,+/-1.8
Population 65 years and over,"24,949",+/-99,(X),(X),"11,212",+/-97,(X),(X),"13,737",+/-14,(X),(X)
High school graduate or higher,"21,891",+/-377,87.7%,+/-1.4,"9,945",+/-219,88.7%,+/-1.8,"11,946",+/-268,87.0%,+/-1.9
Bachelor's degree or higher,"5,420",+/-374,21.7%,+/-1.5,"3,016",+/-256,26.9%,+/-2.2,"2,404",+/-234,17.5%,+/-1.7
