RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"106,195",+/-359,(X),(X),"51,440",+/-256,(X),(X),"54,755",+/-195,(X),(X)
High school graduate or higher,"98,271",+/-710,92.5%,+/-0.6,"47,576",+/-497,92.5%,+/-0.9,"50,695",+/-421,92.6%,+/-0.7
Bachelor's degree or higher,"28,889",+/-924,27.2%,+/-0.9,"13,835",+/-596,26.9%,+/-1.2,"15,054",+/-630,27.5%,+/-1.2
"White alone, not Hispanic or Latino","99,082",+/-44,(X),(X),"47,991",+/-44,(X),(X),"51,091",+/-27,(X),(X)
High school graduate or higher,"92,245",+/-564,93.1%,+/-0.6,"44,785",+/-423,93.3%,+/-0.9,"47,460",+/-359,92.9%,+/-0.7
Bachelor's degree or higher,"27,795",+/-918,28.1%,+/-0.9,"13,412",+/-585,27.9%,+/-1.2,"14,383",+/-606,28.2%,+/-1.2
Black alone,"3,350",+/-222,(X),(X),"1,603",+/-161,(X),(X),"1,747",+/-135,(X),(X)
High school graduate or higher,"3,189",+/-233,95.2%,+/-2.9,"1,547",+/-159,96.5%,+/-2.3,"1,642",+/-154,94.0%,+/-5.1
Bachelor's degree or higher,785,+/-201,23.4%,+/-6.2,424,+/-164,26.5%,+/-10.8,361,+/-107,20.7%,+/-6.3
American Indian or Alaska Native alone,214,+/-65,(X),(X),74,+/-50,(X),(X),140,+/-62,(X),(X)
High school graduate or higher,197,+/-67,92.1%,+/-8.9,74,+/-50,100.0%,+/-32.0,123,+/-63,87.9%,+/-14.1
Bachelor's degree or higher,57,+/-37,26.6%,+/-17.2,22,+/-32,29.7%,+/-39.5,35,+/-35,25.0%,+/-22.3
Asian alone,"1,460",+/-82,(X),(X),573,+/-45,(X),(X),887,+/-69,(X),(X)
High school graduate or higher,"1,317",+/-109,90.2%,+/-5.9,530,+/-56,92.5%,+/-6.9,787,+/-81,88.7%,+/-7.1
Bachelor's degree or higher,961,+/-141,65.8%,+/-9.2,385,+/-75,67.2%,+/-12.1,576,+/-102,64.9%,+/-11.4
Native Hawaiian and Other Pacific Islander alone,156,+/-107,(X),(X),48,+/-75,(X),(X),108,+/-79,(X),(X)
High school graduate or higher,156,+/-107,100.0%,+/-17.4,48,+/-75,100.0%,+/-41.1,108,+/-79,100.0%,+/-23.9
Bachelor's degree or higher,67,+/-57,42.9%,+/-32.5,0,+/-27,0.0%,+/-41.1,67,+/-57,62.0%,+/-30.1
Some other race alone,"1,099",+/-261,(X),(X),504,+/-161,(X),(X),595,+/-164,(X),(X)
High school graduate or higher,745,+/-203,67.8%,+/-12.6,306,+/-131,60.7%,+/-18.5,439,+/-135,73.8%,+/-11.7
Bachelor's degree or higher,157,+/-81,14.3%,+/-6.8,72,+/-56,14.3%,+/-10.5,85,+/-62,14.3%,+/-10.0
Two or more races,"1,212",+/-253,(X),(X),788,+/-186,(X),(X),424,+/-166,(X),(X)
High school graduate or higher,"1,052",+/-239,86.8%,+/-8.0,642,+/-167,81.5%,+/-10.6,410,+/-162,96.7%,+/-5.5
Bachelor's degree or higher,324,+/-137,26.7%,+/-10.4,236,+/-119,29.9%,+/-13.6,88,+/-51,20.8%,+/-12.3
Hispanic or Latino Origin,"8,776",*****,(X),(X),"4,345",*****,(X),(X),"4,431",*****,(X),(X)
High school graduate or higher,"7,277",+/-298,82.9%,+/-3.4,"3,449",+/-259,79.4%,+/-6.0,"3,828",+/-130,86.4%,+/-2.9
Bachelor's degree or higher,"1,340",+/-257,15.3%,+/-2.9,583,+/-161,13.4%,+/-3.7,757,+/-173,17.1%,+/-3.9
