RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"46,890",+/-154,(X),(X),"22,441",+/-118,(X),(X),"24,449",+/-89,(X),(X)
High school graduate or higher,"44,248",+/-385,94.4%,+/-0.8,"21,213",+/-251,94.5%,+/-1.1,"23,035",+/-279,94.2%,+/-1.1
Bachelor's degree or higher,"13,437",+/-821,28.7%,+/-1.8,"6,530",+/-598,29.1%,+/-2.7,"6,907",+/-477,28.3%,+/-2.0
"White alone, not Hispanic or Latino","46,257",+/-59,(X),(X),"22,227",+/-59,(X),(X),"24,030",+/-27,(X),(X)
High school graduate or higher,"43,645",+/-366,94.4%,+/-0.8,"21,014",+/-234,94.5%,+/-1.1,"22,631",+/-259,94.2%,+/-1.1
Bachelor's degree or higher,"13,336",+/-815,28.8%,+/-1.8,"6,508",+/-593,29.3%,+/-2.7,"6,828",+/-484,28.4%,+/-2.0
Black alone,875,+/-181,(X),(X),492,+/-74,(X),(X),383,+/-176,(X),(X)
High school graduate or higher,777,+/-187,88.8%,+/-7.8,394,+/-91,80.1%,+/-13.2,383,+/-176,100.0%,+/-7.5
Bachelor's degree or higher,285,+/-141,32.6%,+/-13.5,104,+/-69,21.1%,+/-14.7,181,+/-127,47.3%,+/-25.2
American Indian or Alaska Native alone,71,+/-50,(X),(X),14,+/-23,(X),(X),57,+/-45,(X),(X)
High school graduate or higher,31,+/-33,43.7%,+/-39.8,14,+/-23,100.0%,+/-76.1,17,+/-24,29.8%,+/-41.9
Bachelor's degree or higher,0,+/-27,0.0%,+/-33.0,0,+/-27,0.0%,+/-76.1,0,+/-27,0.0%,+/-37.7
Asian alone,305,+/-135,(X),(X),105,+/-61,(X),(X),200,+/-89,(X),(X)
High school graduate or higher,282,+/-147,92.5%,+/-13.1,105,+/-61,100.0%,+/-24.5,177,+/-105,88.5%,+/-20.0
Bachelor's degree or higher,139,+/-97,45.6%,+/-31.7,56,+/-58,53.3%,+/-53.3,83,+/-64,41.5%,+/-26.7
Native Hawaiian and Other Pacific Islander alone,15,+/-25,(X),(X),0,+/-27,(X),(X),15,+/-25,(X),(X)
High school graduate or higher,15,+/-25,100.0%,+/-73.6,0,+/-27,-,**,15,+/-25,100.0%,+/-73.6
Bachelor's degree or higher,0,+/-27,0.0%,+/-73.6,0,+/-27,-,**,0,+/-27,0.0%,+/-73.6
Some other race alone,59,+/-63,(X),(X),30,+/-32,(X),(X),29,+/-49,(X),(X)
High school graduate or higher,59,+/-63,100.0%,+/-37.0,30,+/-32,100.0%,+/-52.0,29,+/-49,100.0%,+/-52.9
Bachelor's degree or higher,43,+/-55,72.9%,+/-34.3,14,+/-23,46.7%,+/-53.3,29,+/-49,100.0%,+/-52.9
Two or more races,436,+/-197,(X),(X),188,+/-134,(X),(X),248,+/-127,(X),(X)
High school graduate or higher,394,+/-181,90.4%,+/-8.4,170,+/-127,90.4%,+/-14.7,224,+/-107,90.3%,+/-10.9
Bachelor's degree or higher,196,+/-127,45.0%,+/-18.8,91,+/-102,48.4%,+/-34.5,105,+/-77,42.3%,+/-25.3
Hispanic or Latino Origin,697,+/-145,(X),(X),244,+/-108,(X),(X),453,+/-82,(X),(X)
High school graduate or higher,667,+/-152,95.7%,+/-6.8,229,+/-104,93.9%,+/-9.4,438,+/-93,96.7%,+/-5.5
Bachelor's degree or higher,130,+/-116,18.7%,+/-16.9,22,+/-28,9.0%,+/-13.7,108,+/-117,23.8%,+/-24.8
