RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"46,429",+/-154,(X),(X),"22,260",+/-131,(X),(X),"24,169",+/-95,(X),(X)
High school graduate or higher,"43,735",+/-380,94.2%,+/-0.7,"21,072",+/-300,94.7%,+/-1.1,"22,663",+/-270,93.8%,+/-1.1
Bachelor's degree or higher,"13,006",+/-776,28.0%,+/-1.7,"6,389",+/-472,28.7%,+/-2.1,"6,617",+/-519,27.4%,+/-2.2
"White alone, not Hispanic or Latino","45,737",+/-64,(X),(X),"21,979",+/-64,(X),(X),"23,758",+/-27,(X),(X)
High school graduate or higher,"43,062",+/-346,94.2%,+/-0.7,"20,801",+/-253,94.6%,+/-1.1,"22,261",+/-268,93.7%,+/-1.1
Bachelor's degree or higher,"12,891",+/-741,28.2%,+/-1.6,"6,364",+/-464,29.0%,+/-2.1,"6,527",+/-482,27.5%,+/-2.0
Black alone,724,+/-177,(X),(X),356,+/-111,(X),(X),368,+/-174,(X),(X)
High school graduate or higher,625,+/-173,86.3%,+/-8.7,257,+/-103,72.2%,+/-16.1,368,+/-174,100.0%,+/-7.8
Bachelor's degree or higher,125,+/-97,17.3%,+/-12.3,40,+/-48,11.2%,+/-12.4,85,+/-81,23.1%,+/-22.4
American Indian or Alaska Native alone,125,+/-62,(X),(X),50,+/-52,(X),(X),75,+/-51,(X),(X)
High school graduate or higher,80,+/-57,64.0%,+/-34.2,50,+/-52,100.0%,+/-40.3,30,+/-31,40.0%,+/-42.7
Bachelor's degree or higher,0,+/-27,0.0%,+/-21.1,0,+/-27,0.0%,+/-40.3,0,+/-27,0.0%,+/-31.7
Asian alone,299,+/-100,(X),(X),74,+/-66,(X),(X),225,+/-78,(X),(X)
High school graduate or higher,278,+/-101,93.0%,+/-10.1,74,+/-66,100.0%,+/-32.0,204,+/-90,90.7%,+/-14.6
Bachelor's degree or higher,208,+/-102,69.6%,+/-16.6,74,+/-66,100.0%,+/-32.0,134,+/-77,59.6%,+/-20.7
Native Hawaiian and Other Pacific Islander alone,13,+/-20,(X),(X),0,+/-27,(X),(X),13,+/-20,(X),(X)
High school graduate or higher,13,+/-20,100.0%,+/-79.0,0,+/-27,-,**,13,+/-20,100.0%,+/-79.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-79.0,0,+/-27,-,**,0,+/-27,0.0%,+/-79.0
Some other race alone,60,+/-59,(X),(X),31,+/-32,(X),(X),29,+/-49,(X),(X)
High school graduate or higher,60,+/-59,100.0%,+/-36.7,31,+/-32,100.0%,+/-51.2,29,+/-49,100.0%,+/-52.9
Bachelor's degree or higher,44,+/-54,73.3%,+/-42.9,15,+/-23,48.4%,+/-51.6,29,+/-49,100.0%,+/-52.9
Two or more races,468,+/-174,(X),(X),166,+/-99,(X),(X),302,+/-128,(X),(X)
High school graduate or higher,443,+/-154,94.7%,+/-6.6,166,+/-99,100.0%,+/-16.5,277,+/-106,91.7%,+/-9.8
Bachelor's degree or higher,215,+/-114,45.9%,+/-19.4,73,+/-76,44.0%,+/-32.4,142,+/-81,47.0%,+/-24.9
Hispanic or Latino Origin,771,+/-111,(X),(X),316,+/-108,(X),(X),455,+/-75,(X),(X)
High school graduate or higher,752,+/-120,97.5%,+/-5.3,306,+/-107,96.8%,+/-6.3,446,+/-83,98.0%,+/-4.7
Bachelor's degree or higher,144,+/-122,18.7%,+/-15.7,25,+/-42,7.9%,+/-12.3,119,+/-125,26.2%,+/-26.4
