Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,603",+/-236,(X),(X),"2,877",+/-157,(X),(X),"2,726",+/-188,(X),(X)
Less than high school graduate,"1,025",+/-235,18.3%,+/-4.2,716,+/-191,24.9%,+/-6.4,309,+/-135,11.3%,+/-5.1
High school graduate (includes equivalency),"1,658",+/-350,29.6%,+/-6.3,838,+/-202,29.1%,+/-7.2,820,+/-246,30.1%,+/-8.8
Some college or associate's degree,"2,214",+/-345,39.5%,+/-5.5,"1,044",+/-231,36.3%,+/-7.4,"1,170",+/-293,42.9%,+/-9.4
Bachelor's degree or higher,706,+/-207,12.6%,+/-3.7,279,+/-137,9.7%,+/-4.8,427,+/-149,15.7%,+/-5.8
Population 25 years and over,"48,118",+/-241,(X),(X),"22,937",+/-161,(X),(X),"25,181",+/-218,(X),(X)
Less than 9th grade,571,+/-166,1.2%,+/-0.3,255,+/-97,1.1%,+/-0.4,316,+/-130,1.3%,+/-0.5
"9th to 12th grade, no diploma","2,313",+/-358,4.8%,+/-0.7,"1,032",+/-241,4.5%,+/-1.1,"1,281",+/-264,5.1%,+/-1.0
High school graduate (includes equivalency),"16,033",+/-748,33.3%,+/-1.6,"7,456",+/-539,32.5%,+/-2.4,"8,577",+/-532,34.1%,+/-2.1
"Some college, no degree","10,921",+/-851,22.7%,+/-1.7,"5,539",+/-554,24.1%,+/-2.4,"5,382",+/-588,21.4%,+/-2.3
Associate's degree,"4,682",+/-541,9.7%,+/-1.1,"2,064",+/-393,9.0%,+/-1.7,"2,618",+/-401,10.4%,+/-1.6
Bachelor's degree,"8,860",+/-712,18.4%,+/-1.5,"4,276",+/-421,18.6%,+/-1.8,"4,584",+/-476,18.2%,+/-1.9
Graduate or professional degree,"4,738",+/-544,9.8%,+/-1.1,"2,315",+/-331,10.1%,+/-1.4,"2,423",+/-372,9.6%,+/-1.5
Percent high school graduate or higher,(X),(X),94.0%,+/-0.7,(X),(X),94.4%,+/-1.2,(X),(X),93.7%,+/-1.0
Percent bachelor's degree or higher,(X),(X),28.3%,+/-1.6,(X),(X),28.7%,+/-2.1,(X),(X),27.8%,+/-2.1
Population 25 to 34 years,"7,861",+/-145,(X),(X),"3,863",+/-82,(X),(X),"3,998",+/-125,(X),(X)
High school graduate or higher,"7,374",+/-212,93.8%,+/-2.4,"3,617",+/-147,93.6%,+/-3.7,"3,757",+/-179,94.0%,+/-3.6
Bachelor's degree or higher,"2,832",+/-359,36.0%,+/-4.4,"1,285",+/-245,33.3%,+/-6.2,"1,547",+/-240,38.7%,+/-6.0
Population 35 to 44 years,"9,674",+/-285,(X),(X),"4,616",+/-129,(X),(X),"5,058",+/-220,(X),(X)
High school graduate or higher,"9,382",+/-294,97.0%,+/-1.1,"4,435",+/-145,96.1%,+/-1.7,"4,947",+/-219,97.8%,+/-1.3
Bachelor's degree or higher,"3,655",+/-372,37.8%,+/-3.9,"1,505",+/-217,32.6%,+/-4.9,"2,150",+/-288,42.5%,+/-5.8
Population 45 to 64 years,"20,389",+/-230,(X),(X),"9,877",+/-182,(X),(X),"10,512",+/-156,(X),(X)
High school graduate or higher,"19,366",+/-324,95.0%,+/-1.2,"9,424",+/-246,95.4%,+/-1.7,"9,942",+/-215,94.6%,+/-1.6
Bachelor's degree or higher,"5,360",+/-565,26.3%,+/-2.7,"2,754",+/-365,27.9%,+/-3.7,"2,606",+/-346,24.8%,+/-3.2
Population 65 years and over,"10,194",+/-102,(X),(X),"4,581",+/-49,(X),(X),"5,613",+/-77,(X),(X)
High school graduate or higher,"9,112",+/-201,89.4%,+/-1.8,"4,174",+/-131,91.1%,+/-2.8,"4,938",+/-170,88.0%,+/-2.8
Bachelor's degree or higher,"1,751",+/-271,17.2%,+/-2.6,"1,047",+/-186,22.9%,+/-4.0,704,+/-173,12.5%,+/-3.1
