Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,781",+/-249,(X),(X),"2,950",+/-126,(X),(X),"2,831",+/-201,(X),(X)
Less than high school graduate,"1,016",+/-223,17.6%,+/-4.0,630,+/-169,21.4%,+/-5.5,386,+/-136,13.6%,+/-5.1
High school graduate (includes equivalency),"1,862",+/-337,32.2%,+/-6.0,977,+/-212,33.1%,+/-7.6,885,+/-255,31.3%,+/-9.1
Some college or associate's degree,"2,293",+/-388,39.7%,+/-5.9,"1,084",+/-238,36.7%,+/-7.7,"1,209",+/-310,42.7%,+/-9.1
Bachelor's degree or higher,610,+/-232,10.6%,+/-4.0,259,+/-132,8.8%,+/-4.4,351,+/-186,12.4%,+/-6.7
Population 25 years and over,"48,651",+/-290,(X),(X),"23,270",+/-180,(X),(X),"25,381",+/-214,(X),(X)
Less than 9th grade,542,+/-160,1.1%,+/-0.3,274,+/-100,1.2%,+/-0.4,268,+/-113,1.1%,+/-0.4
"9th to 12th grade, no diploma","2,303",+/-346,4.7%,+/-0.7,"1,070",+/-231,4.6%,+/-1.0,"1,233",+/-226,4.9%,+/-0.9
High school graduate (includes equivalency),"16,133","+/-1,004",33.2%,+/-2.1,"7,709",+/-724,33.1%,+/-3.2,"8,424",+/-582,33.2%,+/-2.3
"Some college, no degree","10,631",+/-734,21.9%,+/-1.5,"5,381",+/-504,23.1%,+/-2.1,"5,250",+/-482,20.7%,+/-1.9
Associate's degree,"4,942",+/-506,10.2%,+/-1.0,"2,041",+/-292,8.8%,+/-1.3,"2,901",+/-385,11.4%,+/-1.5
Bachelor's degree,"9,387",+/-708,19.3%,+/-1.4,"4,459",+/-509,19.2%,+/-2.2,"4,928",+/-430,19.4%,+/-1.7
Graduate or professional degree,"4,713",+/-518,9.7%,+/-1.1,"2,336",+/-350,10.0%,+/-1.5,"2,377",+/-350,9.4%,+/-1.4
Percent high school graduate or higher,(X),(X),94.2%,+/-0.8,(X),(X),94.2%,+/-1.1,(X),(X),94.1%,+/-1.0
Percent bachelor's degree or higher,(X),(X),29.0%,+/-1.8,(X),(X),29.2%,+/-2.6,(X),(X),28.8%,+/-1.9
Population 25 to 34 years,"8,024",+/-160,(X),(X),"3,979",+/-78,(X),(X),"4,045",+/-135,(X),(X)
High school graduate or higher,"7,609",+/-219,94.8%,+/-2.1,"3,725",+/-144,93.6%,+/-3.5,"3,884",+/-161,96.0%,+/-2.5
Bachelor's degree or higher,"2,918",+/-448,36.4%,+/-5.7,"1,280",+/-255,32.2%,+/-6.4,"1,638",+/-268,40.5%,+/-6.7
Population 35 to 44 years,"9,502",+/-225,(X),(X),"4,521",+/-128,(X),(X),"4,981",+/-169,(X),(X)
High school graduate or higher,"9,256",+/-230,97.4%,+/-1.1,"4,346",+/-147,96.1%,+/-1.8,"4,910",+/-162,98.6%,+/-1.1
Bachelor's degree or higher,"3,832",+/-404,40.3%,+/-4.2,"1,658",+/-231,36.7%,+/-5.0,"2,174",+/-305,43.6%,+/-6.1
Population 45 to 64 years,"20,495",+/-218,(X),(X),"9,957",+/-172,(X),(X),"10,538",+/-177,(X),(X)
High school graduate or higher,"19,479",+/-277,95.0%,+/-1.0,"9,547",+/-207,95.9%,+/-1.3,"9,932",+/-240,94.2%,+/-1.6
Bachelor's degree or higher,"5,417",+/-571,26.4%,+/-2.7,"2,660",+/-376,26.7%,+/-3.8,"2,757",+/-357,26.2%,+/-3.3
Population 65 years and over,"10,630",+/-109,(X),(X),"4,813",+/-69,(X),(X),"5,817",+/-66,(X),(X)
High school graduate or higher,"9,462",+/-192,89.0%,+/-1.8,"4,308",+/-157,89.5%,+/-3.1,"5,154",+/-144,88.6%,+/-2.4
Bachelor's degree or higher,"1,933",+/-302,18.2%,+/-2.8,"1,197",+/-200,24.9%,+/-4.1,736,+/-174,12.7%,+/-3.0
