RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"14,089",+/-53,(X),(X),"7,004",+/-20,(X),(X),"7,085",+/-39,(X),(X)
High school graduate or higher,"12,688",+/-194,90.1%,+/-1.4,"6,329",+/-114,90.4%,+/-1.6,"6,359",+/-133,89.8%,+/-1.8
Bachelor's degree or higher,"2,183",+/-226,15.5%,+/-1.6,"1,132",+/-162,16.2%,+/-2.3,"1,051",+/-131,14.8%,+/-1.9
"White alone, not Hispanic or Latino","14,020",+/-21,(X),(X),"6,987",+/-21,(X),(X),"7,033",+/-21,(X),(X)
High school graduate or higher,"12,663",+/-189,90.3%,+/-1.3,"6,328",+/-114,90.6%,+/-1.6,"6,335",+/-128,90.1%,+/-1.8
Bachelor's degree or higher,"2,183",+/-226,15.6%,+/-1.6,"1,132",+/-162,16.2%,+/-2.3,"1,051",+/-131,14.9%,+/-1.9
Black alone,95,+/-46,(X),(X),64,+/-47,(X),(X),31,+/-37,(X),(X)
High school graduate or higher,95,+/-46,100.0%,+/-26.5,64,+/-47,100.0%,+/-35.3,31,+/-37,100.0%,+/-51.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-26.5,0,+/-21,0.0%,+/-35.3,0,+/-21,0.0%,+/-51.2
American Indian or Alaska Native alone,29,+/-25,(X),(X),19,+/-17,(X),(X),10,+/-11,(X),(X)
High school graduate or higher,3,+/-5,10.3%,+/-18.1,3,+/-5,15.8%,+/-27.0,0,+/-21,0.0%,+/-90.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-52.9,0,+/-21,0.0%,+/-65.4,0,+/-21,0.0%,+/-90.1
Asian alone,25,+/-25,(X),(X),13,+/-17,(X),(X),12,+/-19,(X),(X)
High school graduate or higher,13,+/-17,52.0%,+/-52.0,13,+/-17,100.0%,+/-79.0,0,+/-21,0.0%,+/-82.3
Bachelor's degree or higher,5,+/-10,20.0%,+/-42.4,5,+/-10,38.5%,+/-61.5,0,+/-21,0.0%,+/-82.3
Native Hawaiian and Other Pacific Islander alone,16,+/-27,(X),(X),16,+/-27,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,16,+/-27,100.0%,+/-71.2,16,+/-27,100.0%,+/-71.2,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-71.2,0,+/-21,0.0%,+/-71.2,0,+/-21,-,**
Some other race alone,172,+/-54,(X),(X),131,+/-38,(X),(X),41,+/-28,(X),(X)
High school graduate or higher,80,+/-54,46.5%,+/-28.4,80,+/-54,61.1%,+/-33.8,0,+/-21,0.0%,+/-44.5
Bachelor's degree or higher,12,+/-17,7.0%,+/-10.6,12,+/-17,9.2%,+/-15.0,0,+/-21,0.0%,+/-44.5
Two or more races,47,+/-34,(X),(X),9,+/-13,(X),(X),38,+/-31,(X),(X)
High school graduate or higher,47,+/-34,100.0%,+/-41.6,9,+/-13,100.0%,+/-95.0,38,+/-31,100.0%,+/-46.2
Bachelor's degree or higher,18,+/-14,38.3%,+/-29.9,4,+/-6,44.4%,+/-37.8,14,+/-13,36.8%,+/-38.2
Hispanic or Latino Origin,244,+/-39,(X),(X),149,+/-26,(X),(X),95,+/-33,(X),(X)
High school graduate or higher,106,+/-59,43.4%,+/-21.0,82,+/-53,55.0%,+/-31.4,24,+/-22,25.3%,+/-19.7
Bachelor's degree or higher,12,+/-17,4.9%,+/-6.9,12,+/-17,8.1%,+/-12.3,0,+/-21,0.0%,+/-26.5
