Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,559",+/-55,(X),(X),811,+/-33,(X),(X),748,+/-41,(X),(X)
Less than high school graduate,324,+/-87,20.8%,+/-5.5,219,+/-68,27.0%,+/-8.4,105,+/-60,14.0%,+/-7.7
High school graduate (includes equivalency),497,+/-121,31.9%,+/-7.9,260,+/-74,32.1%,+/-8.8,237,+/-96,31.7%,+/-12.8
Some college or associate's degree,565,+/-145,36.2%,+/-9.1,252,+/-73,31.1%,+/-9.1,313,+/-131,41.8%,+/-17.6
Bachelor's degree or higher,173,+/-76,11.1%,+/-4.9,80,+/-48,9.9%,+/-5.8,93,+/-53,12.4%,+/-7.1
Population 25 years and over,"14,471",+/-72,(X),(X),"7,240",+/-58,(X),(X),"7,231",+/-46,(X),(X)
Less than 9th grade,464,+/-88,3.2%,+/-0.6,200,+/-65,2.8%,+/-0.9,264,+/-64,3.7%,+/-0.9
"9th to 12th grade, no diploma","1,134",+/-172,7.8%,+/-1.2,558,+/-102,7.7%,+/-1.4,576,+/-120,8.0%,+/-1.7
High school graduate (includes equivalency),"6,306",+/-306,43.6%,+/-2.1,"3,405",+/-227,47.0%,+/-3.1,"2,901",+/-199,40.1%,+/-2.7
"Some college, no degree","2,910",+/-267,20.1%,+/-1.8,"1,393",+/-168,19.2%,+/-2.3,"1,517",+/-170,21.0%,+/-2.4
Associate's degree,"1,493",+/-185,10.3%,+/-1.3,606,+/-111,8.4%,+/-1.5,887,+/-163,12.3%,+/-2.3
Bachelor's degree,"1,315",+/-180,9.1%,+/-1.2,756,+/-128,10.4%,+/-1.8,559,+/-100,7.7%,+/-1.4
Graduate or professional degree,849,+/-170,5.9%,+/-1.2,322,+/-94,4.4%,+/-1.3,527,+/-118,7.3%,+/-1.6
Percent high school graduate or higher,(X),(X),89.0%,+/-1.3,(X),(X),89.5%,+/-1.7,(X),(X),88.4%,+/-1.8
Percent bachelor's degree or higher,(X),(X),15.0%,+/-1.8,(X),(X),14.9%,+/-2.3,(X),(X),15.0%,+/-2.1
Population 25 to 34 years,"2,160",+/-55,(X),(X),"1,133",+/-31,(X),(X),"1,027",+/-36,(X),(X)
High school graduate or higher,"2,020",+/-66,93.5%,+/-3.0,"1,046",+/-49,92.3%,+/-4.0,974,+/-36,94.8%,+/-3.1
Bachelor's degree or higher,494,+/-125,22.9%,+/-5.8,210,+/-66,18.5%,+/-5.8,284,+/-84,27.7%,+/-8.2
Population 35 to 44 years,"2,501",+/-45,(X),(X),"1,252",+/-39,(X),(X),"1,249",+/-23,(X),(X)
High school graduate or higher,"2,253",+/-93,90.1%,+/-3.4,"1,173",+/-62,93.7%,+/-4.1,"1,080",+/-57,86.5%,+/-5.1
Bachelor's degree or higher,446,+/-100,17.8%,+/-4.0,189,+/-68,15.1%,+/-5.5,257,+/-60,20.6%,+/-4.9
Population 45 to 64 years,"6,226",+/-55,(X),(X),"3,179",+/-42,(X),(X),"3,047",+/-28,(X),(X)
High school graduate or higher,"5,651",+/-131,90.8%,+/-1.9,"2,863",+/-88,90.1%,+/-2.6,"2,788",+/-81,91.5%,+/-2.5
Bachelor's degree or higher,834,+/-149,13.4%,+/-2.4,454,+/-102,14.3%,+/-3.2,380,+/-88,12.5%,+/-2.9
Population 65 years and over,"3,584",+/-36,(X),(X),"1,676",+/-24,(X),(X),"1,908",+/-26,(X),(X)
High school graduate or higher,"2,949",+/-109,82.3%,+/-3.0,"1,400",+/-66,83.5%,+/-4.0,"1,549",+/-80,81.2%,+/-4.1
Bachelor's degree or higher,390,+/-105,10.9%,+/-2.9,225,+/-78,13.4%,+/-4.7,165,+/-67,8.6%,+/-3.5
