RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"14,131",+/-56,(X),(X),"7,018",+/-24,(X),(X),"7,113",+/-38,(X),(X)
High school graduate or higher,"12,663",+/-177,89.6%,+/-1.3,"6,328",+/-116,90.2%,+/-1.7,"6,335",+/-130,89.1%,+/-1.8
Bachelor's degree or higher,"2,133",+/-250,15.1%,+/-1.8,"1,059",+/-168,15.1%,+/-2.4,"1,074",+/-150,15.1%,+/-2.1
"White alone, not Hispanic or Latino","14,068",+/-21,(X),(X),"6,999",+/-21,(X),(X),"7,069",+/-21,(X),(X)
High school graduate or higher,"12,649",+/-178,89.9%,+/-1.3,"6,327",+/-116,90.4%,+/-1.7,"6,322",+/-130,89.4%,+/-1.8
Bachelor's degree or higher,"2,133",+/-250,15.2%,+/-1.8,"1,059",+/-168,15.1%,+/-2.4,"1,074",+/-150,15.2%,+/-2.1
Black alone,84,+/-51,(X),(X),46,+/-38,(X),(X),38,+/-35,(X),(X)
High school graduate or higher,84,+/-51,100.0%,+/-29.2,46,+/-38,100.0%,+/-42.0,38,+/-35,100.0%,+/-46.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-29.2,0,+/-21,0.0%,+/-42.0,0,+/-21,0.0%,+/-46.2
American Indian or Alaska Native alone,20,+/-18,(X),(X),14,+/-17,(X),(X),6,+/-7,(X),(X)
High school graduate or higher,4,+/-6,20.0%,+/-32.1,4,+/-6,28.6%,+/-46.6,0,+/-21,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-63.7,0,+/-21,0.0%,+/-76.1,0,+/-21,0.0%,+/-100.0
Asian alone,7,+/-11,(X),(X),7,+/-11,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,7,+/-11,100.0%,+/-100.0,7,+/-11,100.0%,+/-100.0,0,+/-21,-,**
Bachelor's degree or higher,4,+/-10,57.1%,+/-57.1,4,+/-10,57.1%,+/-57.1,0,+/-21,-,**
Native Hawaiian and Other Pacific Islander alone,12,+/-22,(X),(X),12,+/-22,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,12,+/-22,100.0%,+/-82.2,12,+/-22,100.0%,+/-82.2,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-82.3,0,+/-21,0.0%,+/-82.3,0,+/-21,-,**
Some other race alone,194,+/-62,(X),(X),138,+/-45,(X),(X),56,+/-27,(X),(X)
High school graduate or higher,80,+/-50,41.2%,+/-22.8,80,+/-50,58.0%,+/-29.1,0,+/-21,0.0%,+/-38.1
Bachelor's degree or higher,15,+/-21,7.7%,+/-11.3,15,+/-21,10.9%,+/-16.9,0,+/-21,0.0%,+/-38.1
Two or more races,23,+/-18,(X),(X),5,+/-7,(X),(X),18,+/-16,(X),(X)
High school graduate or higher,23,+/-18,100.0%,+/-59.4,5,+/-7,100.0%,+/-100.0,18,+/-16,100.0%,+/-67.2
Bachelor's degree or higher,12,+/-15,52.2%,+/-50.0,0,+/-21,0.0%,+/-100.0,12,+/-15,66.7%,+/-52.9
Hispanic or Latino Origin,264,+/-34,(X),(X),160,+/-31,(X),(X),104,+/-24,(X),(X)
High school graduate or higher,97,+/-49,36.7%,+/-17.1,84,+/-47,52.5%,+/-27.0,13,+/-17,12.5%,+/-15.3
Bachelor's degree or higher,15,+/-21,5.7%,+/-8.2,15,+/-21,9.4%,+/-13.5,0,+/-21,0.0%,+/-24.7
