Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,580",+/-52,(X),(X),820,+/-32,(X),(X),760,+/-42,(X),(X)
Less than high school graduate,368,+/-123,23.3%,+/-7.7,242,+/-84,29.5%,+/-10.3,126,+/-67,16.6%,+/-8.5
High school graduate (includes equivalency),519,+/-144,32.8%,+/-9.1,281,+/-94,34.3%,+/-11.1,238,+/-99,31.3%,+/-13.2
Some college or associate's degree,579,+/-166,36.6%,+/-10.4,250,+/-73,30.5%,+/-9.1,329,+/-130,43.3%,+/-16.6
Bachelor's degree or higher,114,+/-50,7.2%,+/-3.2,47,+/-37,5.7%,+/-4.4,67,+/-36,8.8%,+/-4.9
Population 25 years and over,"14,473",+/-57,(X),(X),"7,256",+/-55,(X),(X),"7,217",+/-55,(X),(X)
Less than 9th grade,437,+/-100,3.0%,+/-0.7,207,+/-63,2.9%,+/-0.9,230,+/-64,3.2%,+/-0.9
"9th to 12th grade, no diploma","1,094",+/-171,7.6%,+/-1.2,535,+/-103,7.4%,+/-1.4,559,+/-115,7.7%,+/-1.6
High school graduate (includes equivalency),"6,367",+/-347,44.0%,+/-2.4,"3,424",+/-244,47.2%,+/-3.4,"2,943",+/-195,40.8%,+/-2.6
"Some college, no degree","2,853",+/-276,19.7%,+/-1.9,"1,289",+/-176,17.8%,+/-2.4,"1,564",+/-176,21.7%,+/-2.4
Associate's degree,"1,504",+/-197,10.4%,+/-1.4,648,+/-134,8.9%,+/-1.8,856,+/-127,11.9%,+/-1.8
Bachelor's degree,"1,435",+/-193,9.9%,+/-1.3,832,+/-139,11.5%,+/-1.9,603,+/-109,8.4%,+/-1.5
Graduate or professional degree,783,+/-124,5.4%,+/-0.9,321,+/-90,4.4%,+/-1.2,462,+/-106,6.4%,+/-1.5
Percent high school graduate or higher,(X),(X),89.4%,+/-1.4,(X),(X),89.8%,+/-1.7,(X),(X),89.1%,+/-1.8
Percent bachelor's degree or higher,(X),(X),15.3%,+/-1.5,(X),(X),15.9%,+/-2.2,(X),(X),14.8%,+/-1.8
Population 25 to 34 years,"2,147",+/-64,(X),(X),"1,118",+/-31,(X),(X),"1,029",+/-47,(X),(X)
High school graduate or higher,"1,977",+/-72,92.1%,+/-2.9,"1,013",+/-49,90.6%,+/-4.3,964,+/-58,93.7%,+/-4.0
Bachelor's degree or higher,470,+/-123,21.9%,+/-5.7,217,+/-66,19.4%,+/-6.0,253,+/-80,24.6%,+/-7.8
Population 35 to 44 years,"2,460",+/-50,(X),(X),"1,233",+/-38,(X),(X),"1,227",+/-26,(X),(X)
High school graduate or higher,"2,201",+/-100,89.5%,+/-4.2,"1,101",+/-70,89.3%,+/-5.2,"1,100",+/-54,89.6%,+/-5.1
Bachelor's degree or higher,455,+/-106,18.5%,+/-4.2,167,+/-61,13.5%,+/-4.9,288,+/-62,23.5%,+/-5.0
Population 45 to 64 years,"6,170",+/-61,(X),(X),"3,165",+/-53,(X),(X),"3,005",+/-26,(X),(X)
High school graduate or higher,"5,631",+/-129,91.3%,+/-1.9,"2,886",+/-87,91.2%,+/-2.4,"2,745",+/-83,91.3%,+/-2.5
Bachelor's degree or higher,862,+/-129,14.0%,+/-2.1,504,+/-82,15.9%,+/-2.6,358,+/-94,11.9%,+/-3.1
Population 65 years and over,"3,696",+/-17,(X),(X),"1,740",+/-17,(X),(X),"1,956",+/-11,(X),(X)
High school graduate or higher,"3,133",+/-106,84.8%,+/-2.9,"1,514",+/-60,87.0%,+/-3.3,"1,619",+/-86,82.8%,+/-4.5
Bachelor's degree or higher,431,+/-101,11.7%,+/-2.7,265,+/-79,15.2%,+/-4.6,166,+/-53,8.5%,+/-2.7
