Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,266",+/-64,(X),(X),"1,207",+/-61,(X),(X),"1,059",+/-36,(X),(X)
Less than high school graduate,360,+/-96,15.9%,+/-4.1,200,+/-83,16.6%,+/-6.5,160,+/-66,15.1%,+/-6.2
High school graduate (includes equivalency),894,+/-144,39.5%,+/-6.1,601,+/-110,49.8%,+/-8.8,293,+/-89,27.7%,+/-8.1
Some college or associate's degree,861,+/-133,38.0%,+/-6.0,343,+/-93,28.4%,+/-7.8,518,+/-91,48.9%,+/-8.8
Bachelor's degree or higher,151,+/-97,6.7%,+/-4.3,63,+/-62,5.2%,+/-5.2,88,+/-62,8.3%,+/-5.8
Population 25 years and over,"18,735",+/-84,(X),(X),"9,033",+/-90,(X),(X),"9,702",+/-57,(X),(X)
Less than 9th grade,366,+/-102,2.0%,+/-0.5,138,+/-55,1.5%,+/-0.6,228,+/-84,2.4%,+/-0.9
"9th to 12th grade, no diploma","1,285",+/-239,6.9%,+/-1.3,683,+/-159,7.6%,+/-1.8,602,+/-142,6.2%,+/-1.5
High school graduate (includes equivalency),"7,565",+/-403,40.4%,+/-2.1,"3,852",+/-284,42.6%,+/-3.0,"3,713",+/-229,38.3%,+/-2.4
"Some college, no degree","4,145",+/-317,22.1%,+/-1.7,"1,894",+/-240,21.0%,+/-2.7,"2,251",+/-250,23.2%,+/-2.6
Associate's degree,"2,115",+/-242,11.3%,+/-1.3,934,+/-181,10.3%,+/-2.0,"1,181",+/-188,12.2%,+/-1.9
Bachelor's degree,"2,219",+/-275,11.8%,+/-1.5,"1,056",+/-172,11.7%,+/-1.9,"1,163",+/-195,12.0%,+/-2.0
Graduate or professional degree,"1,040",+/-190,5.6%,+/-1.0,476,+/-127,5.3%,+/-1.4,564,+/-117,5.8%,+/-1.2
Percent high school graduate or higher,(X),(X),91.2%,+/-1.5,(X),(X),90.9%,+/-1.9,(X),(X),91.4%,+/-1.8
Percent bachelor's degree or higher,(X),(X),17.4%,+/-1.7,(X),(X),17.0%,+/-2.0,(X),(X),17.8%,+/-2.2
Population 25 to 34 years,"3,116",+/-59,(X),(X),"1,564",+/-48,(X),(X),"1,552",+/-41,(X),(X)
High school graduate or higher,"2,901",+/-124,93.1%,+/-3.7,"1,428",+/-79,91.3%,+/-4.1,"1,473",+/-73,94.9%,+/-4.4
Bachelor's degree or higher,777,+/-161,24.9%,+/-5.1,390,+/-109,24.9%,+/-6.9,387,+/-108,24.9%,+/-6.8
Population 35 to 44 years,"3,098",+/-61,(X),(X),"1,553",+/-51,(X),(X),"1,545",+/-41,(X),(X)
High school graduate or higher,"2,931",+/-81,94.6%,+/-2.4,"1,471",+/-44,94.7%,+/-3.4,"1,460",+/-72,94.5%,+/-3.5
Bachelor's degree or higher,544,+/-117,17.6%,+/-3.8,204,+/-78,13.1%,+/-5.0,340,+/-81,22.0%,+/-5.2
Population 45 to 64 years,"7,687",+/-56,(X),(X),"3,819",+/-46,(X),(X),"3,868",+/-38,(X),(X)
High school graduate or higher,"7,138",+/-154,92.9%,+/-1.8,"3,508",+/-110,91.9%,+/-2.5,"3,630",+/-102,93.8%,+/-2.5
Bachelor's degree or higher,"1,282",+/-207,16.7%,+/-2.7,550,+/-122,14.4%,+/-3.2,732,+/-125,18.9%,+/-3.2
Population 65 years and over,"4,834",+/-77,(X),(X),"2,097",+/-68,(X),(X),"2,737",+/-56,(X),(X)
High school graduate or higher,"4,114",+/-156,85.1%,+/-2.9,"1,805",+/-105,86.1%,+/-4.1,"2,309",+/-111,84.4%,+/-3.8
Bachelor's degree or higher,656,+/-132,13.6%,+/-2.7,388,+/-102,18.5%,+/-4.8,268,+/-68,9.8%,+/-2.5
