RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,353",+/-68,(X),(X),"8,833",+/-49,(X),(X),"9,520",+/-45,(X),(X)
High school graduate or higher,"16,710",+/-272,91.0%,+/-1.4,"7,951",+/-193,90.0%,+/-2.0,"8,759",+/-174,92.0%,+/-1.7
Bachelor's degree or higher,"3,257",+/-355,17.7%,+/-1.9,"1,494",+/-214,16.9%,+/-2.4,"1,763",+/-233,18.5%,+/-2.4
"White alone, not Hispanic or Latino","18,182",+/-21,(X),(X),"8,765",+/-21,(X),(X),"9,417",+/-21,(X),(X)
High school graduate or higher,"16,544",+/-255,91.0%,+/-1.4,"7,886",+/-176,90.0%,+/-2.0,"8,658",+/-164,91.9%,+/-1.7
Bachelor's degree or higher,"3,248",+/-353,17.9%,+/-1.9,"1,494",+/-214,17.0%,+/-2.4,"1,754",+/-230,18.6%,+/-2.4
Black alone,59,+/-34,(X),(X),28,+/-25,(X),(X),31,+/-25,(X),(X)
High school graduate or higher,46,+/-28,78.0%,+/-28.6,22,+/-24,78.6%,+/-39.6,24,+/-20,77.4%,+/-48.3
Bachelor's degree or higher,0,+/-21,0.0%,+/-37.0,0,+/-21,0.0%,+/-53.8,0,+/-21,0.0%,+/-51.2
American Indian or Alaska Native alone,128,+/-81,(X),(X),128,+/-81,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,88,+/-64,68.8%,+/-37.4,88,+/-64,68.8%,+/-37.4,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-20.7,0,+/-21,0.0%,+/-20.7,0,+/-21,-,**
Asian alone,93,+/-28,(X),(X),58,+/-32,(X),(X),35,+/-16,(X),(X)
High school graduate or higher,84,+/-30,90.3%,+/-12.8,50,+/-35,86.2%,+/-22.9,34,+/-16,97.1%,+/-7.6
Bachelor's degree or higher,36,+/-29,38.7%,+/-26.4,30,+/-24,51.7%,+/-28.5,6,+/-9,17.1%,+/-26.7
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,87,+/-54,(X),(X),2,+/-4,(X),(X),85,+/-53,(X),(X)
High school graduate or higher,56,+/-50,64.4%,+/-38.5,2,+/-4,100.0%,+/-100.0,54,+/-50,63.5%,+/-39.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-28.4,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-28.9
Two or more races,26,+/-23,(X),(X),13,+/-14,(X),(X),13,+/-18,(X),(X)
High school graduate or higher,22,+/-21,84.6%,+/-27.1,11,+/-12,84.6%,+/-26.2,11,+/-17,84.6%,+/-67.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-55.9,0,+/-21,0.0%,+/-79.0,0,+/-21,0.0%,+/-79.0
Hispanic or Latino Origin,298,+/-51,(X),(X),110,+/-54,(X),(X),188,+/-27,(X),(X)
High school graduate or higher,222,+/-48,74.5%,+/-19.3,67,+/-48,60.9%,+/-41.6,155,+/-42,82.4%,+/-18.1
Bachelor's degree or higher,9,+/-14,3.0%,+/-4.7,0,+/-21,0.0%,+/-23.6,9,+/-14,4.8%,+/-7.3
