RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,374",+/-68,(X),(X),"8,879",+/-59,(X),(X),"9,495",+/-35,(X),(X)
High school graduate or higher,"16,793",+/-290,91.4%,+/-1.5,"8,080",+/-181,91.0%,+/-1.9,"8,713",+/-175,91.8%,+/-1.8
Bachelor's degree or higher,"3,222",+/-319,17.5%,+/-1.7,"1,509",+/-185,17.0%,+/-2.1,"1,713",+/-214,18.0%,+/-2.3
"White alone, not Hispanic or Latino","18,182",+/-21,(X),(X),"8,773",+/-21,(X),(X),"9,409",+/-21,(X),(X)
High school graduate or higher,"16,633",+/-268,91.5%,+/-1.5,"8,003",+/-164,91.2%,+/-1.9,"8,630",+/-171,91.7%,+/-1.8
Bachelor's degree or higher,"3,213",+/-318,17.7%,+/-1.7,"1,509",+/-185,17.2%,+/-2.1,"1,704",+/-213,18.1%,+/-2.3
Black alone,65,+/-36,(X),(X),38,+/-36,(X),(X),27,+/-20,(X),(X)
High school graduate or higher,60,+/-35,92.3%,+/-15.2,33,+/-35,86.8%,+/-26.8,27,+/-20,100.0%,+/-54.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-34.9,0,+/-21,0.0%,+/-46.2,0,+/-21,0.0%,+/-54.8
American Indian or Alaska Native alone,81,+/-62,(X),(X),60,+/-67,(X),(X),21,+/-35,(X),(X)
High school graduate or higher,80,+/-62,98.8%,+/-6.2,60,+/-67,100.0%,+/-36.7,20,+/-34,95.2%,+/-29.4
Bachelor's degree or higher,0,+/-21,0.0%,+/-30.0,0,+/-21,0.0%,+/-36.7,0,+/-21,0.0%,+/-62.2
Asian alone,83,+/-39,(X),(X),32,+/-31,(X),(X),51,+/-27,(X),(X)
High school graduate or higher,72,+/-41,86.7%,+/-15.6,23,+/-33,71.9%,+/-50.4,49,+/-27,96.1%,+/-6.5
Bachelor's degree or higher,37,+/-40,44.6%,+/-34.4,23,+/-33,71.9%,+/-50.4,14,+/-17,27.5%,+/-29.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,114,+/-47,(X),(X),17,+/-19,(X),(X),97,+/-44,(X),(X)
High school graduate or higher,64,+/-46,56.1%,+/-31.2,11,+/-16,64.7%,+/-54.4,53,+/-42,54.6%,+/-32.6
Bachelor's degree or higher,0,+/-21,0.0%,+/-22.9,0,+/-21,0.0%,+/-69.1,0,+/-21,0.0%,+/-26.1
Two or more races,18,+/-20,(X),(X),7,+/-11,(X),(X),11,+/-17,(X),(X)
High school graduate or higher,15,+/-18,83.3%,+/-31.3,5,+/-10,71.4%,+/-42.5,10,+/-17,90.9%,+/-49.6
Bachelor's degree or higher,0,+/-21,0.0%,+/-67.2,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-85.9
Hispanic or Latino Origin,306,+/-56,(X),(X),123,+/-63,(X),(X),183,+/-31,(X),(X)
High school graduate or higher,224,+/-56,73.2%,+/-17.8,88,+/-47,71.5%,+/-27.9,136,+/-40,74.3%,+/-17.9
Bachelor's degree or higher,9,+/-14,2.9%,+/-4.4,0,+/-21,0.0%,+/-21.4,9,+/-14,4.9%,+/-7.3
