Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,276",+/-62,(X),(X),"1,220",+/-61,(X),(X),"1,056",+/-28,(X),(X)
Less than high school graduate,383,+/-95,16.8%,+/-4.0,206,+/-73,16.9%,+/-5.5,177,+/-70,16.8%,+/-6.6
High school graduate (includes equivalency),794,+/-138,34.9%,+/-6.0,531,+/-90,43.5%,+/-7.6,263,+/-83,24.9%,+/-7.8
Some college or associate's degree,989,+/-137,43.5%,+/-6.1,428,+/-90,35.1%,+/-7.4,561,+/-85,53.1%,+/-8.3
Bachelor's degree or higher,110,+/-62,4.8%,+/-2.7,55,+/-46,4.5%,+/-3.8,55,+/-43,5.2%,+/-4.1
Population 25 years and over,"18,746",+/-94,(X),(X),"9,062",+/-90,(X),(X),"9,684",+/-41,(X),(X)
Less than 9th grade,401,+/-86,2.1%,+/-0.5,147,+/-60,1.6%,+/-0.7,254,+/-81,2.6%,+/-0.8
"9th to 12th grade, no diploma","1,339",+/-266,7.1%,+/-1.4,791,+/-195,8.7%,+/-2.2,548,+/-155,5.7%,+/-1.6
High school graduate (includes equivalency),"7,839",+/-390,41.8%,+/-2.1,"3,752",+/-293,41.4%,+/-3.2,"4,087",+/-266,42.2%,+/-2.7
"Some college, no degree","3,943",+/-399,21.0%,+/-2.1,"1,869",+/-240,20.6%,+/-2.6,"2,074",+/-256,21.4%,+/-2.6
Associate's degree,"1,931",+/-287,10.3%,+/-1.5,979,+/-205,10.8%,+/-2.3,952,+/-181,9.8%,+/-1.9
Bachelor's degree,"2,214",+/-282,11.8%,+/-1.5,"1,030",+/-179,11.4%,+/-2.0,"1,184",+/-200,12.2%,+/-2.1
Graduate or professional degree,"1,079",+/-195,5.8%,+/-1.0,494,+/-132,5.5%,+/-1.5,585,+/-131,6.0%,+/-1.4
Percent high school graduate or higher,(X),(X),90.7%,+/-1.4,(X),(X),89.6%,+/-2.1,(X),(X),91.7%,+/-1.7
Percent bachelor's degree or higher,(X),(X),17.6%,+/-1.9,(X),(X),16.8%,+/-2.3,(X),(X),18.3%,+/-2.4
Population 25 to 34 years,"3,120",+/-53,(X),(X),"1,562",+/-36,(X),(X),"1,558",+/-47,(X),(X)
High school graduate or higher,"2,831",+/-164,90.7%,+/-4.9,"1,371",+/-99,87.8%,+/-5.8,"1,460",+/-95,93.7%,+/-5.4
Bachelor's degree or higher,769,+/-184,24.6%,+/-5.9,360,+/-117,23.0%,+/-7.3,409,+/-116,26.3%,+/-7.6
Population 35 to 44 years,"3,085",+/-54,(X),(X),"1,542",+/-42,(X),(X),"1,543",+/-39,(X),(X)
High school graduate or higher,"2,905",+/-101,94.2%,+/-2.5,"1,453",+/-73,94.2%,+/-3.7,"1,452",+/-76,94.1%,+/-3.8
Bachelor's degree or higher,709,+/-162,23.0%,+/-5.2,269,+/-112,17.4%,+/-7.2,440,+/-97,28.5%,+/-6.1
Population 45 to 64 years,"7,835",+/-86,(X),(X),"3,909",+/-76,(X),(X),"3,926",+/-43,(X),(X)
High school graduate or higher,"7,253",+/-138,92.6%,+/-1.8,"3,599",+/-117,92.1%,+/-3.2,"3,654",+/-105,93.1%,+/-2.3
Bachelor's degree or higher,"1,238",+/-190,15.8%,+/-2.4,574,+/-122,14.7%,+/-3.2,664,+/-127,16.9%,+/-3.3
Population 65 years and over,"4,706",+/-82,(X),(X),"2,049",+/-71,(X),(X),"2,657",+/-46,(X),(X)
High school graduate or higher,"4,017",+/-127,85.4%,+/-2.2,"1,701",+/-109,83.0%,+/-4.5,"2,316",+/-90,87.2%,+/-3.2
Bachelor's degree or higher,577,+/-116,12.3%,+/-2.5,321,+/-86,15.7%,+/-4.1,256,+/-75,9.6%,+/-2.9
