Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,606,+/-4,(X),(X),314,+/-4,(X),(X),292,+/-16,(X),(X)
Less than high school graduate,140,+/-60,23.1%,+/-9.9,88,+/-40,28.0%,+/-12.7,52,+/-38,17.8%,+/-12.9
High school graduate (includes equivalency),228,+/-70,37.6%,+/-11.6,81,+/-38,25.8%,+/-12.0,147,+/-56,50.3%,+/-19.2
Some college or associate's degree,201,+/-56,33.2%,+/-9.2,132,+/-45,42.0%,+/-14.4,69,+/-41,23.6%,+/-14.1
Bachelor's degree or higher,37,+/-37,6.1%,+/-6.1,13,+/-18,4.1%,+/-5.9,24,+/-32,8.2%,+/-10.8
Population 25 years and over,"5,933",+/-18,(X),(X),"2,920",+/-31,(X),(X),"3,013",+/-38,(X),(X)
Less than 9th grade,239,+/-91,4.0%,+/-1.5,139,+/-56,4.8%,+/-1.9,100,+/-54,3.3%,+/-1.8
"9th to 12th grade, no diploma",426,+/-94,7.2%,+/-1.6,227,+/-61,7.8%,+/-2.1,199,+/-59,6.6%,+/-2.0
High school graduate (includes equivalency),"2,601",+/-218,43.8%,+/-3.6,"1,282",+/-132,43.9%,+/-4.6,"1,319",+/-130,43.8%,+/-4.3
"Some college, no degree","1,019",+/-124,17.2%,+/-2.1,457,+/-98,15.7%,+/-3.3,562,+/-111,18.7%,+/-3.6
Associate's degree,542,+/-120,9.1%,+/-2.0,227,+/-70,7.8%,+/-2.4,315,+/-80,10.5%,+/-2.7
Bachelor's degree,737,+/-139,12.4%,+/-2.3,442,+/-98,15.1%,+/-3.3,295,+/-71,9.8%,+/-2.4
Graduate or professional degree,369,+/-83,6.2%,+/-1.4,146,+/-43,5.0%,+/-1.5,223,+/-66,7.4%,+/-2.2
Percent high school graduate or higher,(X),(X),88.8%,+/-2.6,(X),(X),87.5%,+/-2.9,(X),(X),90.1%,+/-3.2
Percent bachelor's degree or higher,(X),(X),18.6%,+/-2.8,(X),(X),20.1%,+/-3.5,(X),(X),17.2%,+/-3.1
Population 25 to 34 years,857,+/-40,(X),(X),401,+/-4,(X),(X),456,+/-40,(X),(X)
High school graduate or higher,768,+/-53,89.6%,+/-4.3,341,+/-34,85.0%,+/-8.5,427,+/-41,93.6%,+/-3.5
Bachelor's degree or higher,85,+/-59,9.9%,+/-6.9,36,+/-27,9.0%,+/-6.7,49,+/-35,10.7%,+/-7.8
Population 35 to 44 years,984,+/-10,(X),(X),504,+/-7,(X),(X),480,+/-8,(X),(X)
High school graduate or higher,929,+/-28,94.4%,+/-2.8,479,+/-14,95.0%,+/-3.0,450,+/-21,93.8%,+/-4.2
Bachelor's degree or higher,244,+/-87,24.8%,+/-8.9,115,+/-49,22.8%,+/-9.9,129,+/-46,26.9%,+/-9.6
Population 45 to 64 years,"2,532",+/-31,(X),(X),"1,318",+/-28,(X),(X),"1,214",+/-13,(X),(X)
High school graduate or higher,"2,286",+/-89,90.3%,+/-3.6,"1,169",+/-53,88.7%,+/-4.2,"1,117",+/-55,92.0%,+/-4.3
Bachelor's degree or higher,475,+/-104,18.8%,+/-4.1,267,+/-75,20.3%,+/-5.8,208,+/-61,17.1%,+/-4.9
Population 65 years and over,"1,560",+/-34,(X),(X),697,+/-21,(X),(X),863,+/-28,(X),(X)
High school graduate or higher,"1,285",+/-84,82.4%,+/-5.1,565,+/-43,81.1%,+/-6.5,720,+/-58,83.4%,+/-6.0
Bachelor's degree or higher,302,+/-73,19.4%,+/-4.6,170,+/-51,24.4%,+/-7.1,132,+/-37,15.3%,+/-4.4
