Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,601,+/-9,(X),(X),311,+/-9,(X),(X),290,+/-2,(X),(X)
Less than high school graduate,130,+/-57,21.6%,+/-9.6,85,+/-32,27.3%,+/-10.4,45,+/-38,15.5%,+/-12.9
High school graduate (includes equivalency),239,+/-68,39.8%,+/-11.3,95,+/-44,30.5%,+/-13.8,144,+/-52,49.7%,+/-18.0
Some college or associate's degree,220,+/-57,36.6%,+/-9.5,124,+/-41,39.9%,+/-13.3,96,+/-47,33.1%,+/-16.2
Bachelor's degree or higher,12,+/-14,2.0%,+/-2.4,7,+/-12,2.3%,+/-4.0,5,+/-9,1.7%,+/-3.0
Population 25 years and over,"5,913",+/-19,(X),(X),"2,911",+/-39,(X),(X),"3,002",+/-46,(X),(X)
Less than 9th grade,185,+/-61,3.1%,+/-1.0,108,+/-45,3.7%,+/-1.5,77,+/-34,2.6%,+/-1.1
"9th to 12th grade, no diploma",349,+/-87,5.9%,+/-1.5,184,+/-53,6.3%,+/-1.8,165,+/-54,5.5%,+/-1.8
High school graduate (includes equivalency),"2,554",+/-220,43.2%,+/-3.7,"1,254",+/-135,43.1%,+/-4.8,"1,300",+/-133,43.3%,+/-4.4
"Some college, no degree","1,087",+/-130,18.4%,+/-2.2,555,+/-102,19.1%,+/-3.5,532,+/-99,17.7%,+/-3.2
Associate's degree,581,+/-115,9.8%,+/-2.0,216,+/-62,7.4%,+/-2.1,365,+/-83,12.2%,+/-2.8
Bachelor's degree,801,+/-173,13.5%,+/-2.9,454,+/-106,15.6%,+/-3.6,347,+/-91,11.6%,+/-3.1
Graduate or professional degree,356,+/-101,6.0%,+/-1.7,140,+/-48,4.8%,+/-1.6,216,+/-78,7.2%,+/-2.6
Percent high school graduate or higher,(X),(X),91.0%,+/-1.7,(X),(X),90.0%,+/-2.3,(X),(X),91.9%,+/-2.2
Percent bachelor's degree or higher,(X),(X),19.6%,+/-3.7,(X),(X),20.4%,+/-4.1,(X),(X),18.8%,+/-4.1
Population 25 to 34 years,853,+/-45,(X),(X),400,+/-2,(X),(X),453,+/-45,(X),(X)
High school graduate or higher,793,+/-52,93.0%,+/-3.4,359,+/-25,89.8%,+/-6.3,434,+/-45,95.8%,+/-3.0
Bachelor's degree or higher,118,+/-63,13.8%,+/-7.4,48,+/-27,12.0%,+/-6.8,70,+/-40,15.5%,+/-8.9
Population 35 to 44 years,953,+/-10,(X),(X),490,+/-8,(X),(X),463,+/-6,(X),(X)
High school graduate or higher,910,+/-25,95.5%,+/-2.7,467,+/-13,95.3%,+/-3.0,443,+/-20,95.7%,+/-4.3
Bachelor's degree or higher,245,+/-101,25.7%,+/-10.6,101,+/-59,20.6%,+/-12.1,144,+/-51,31.1%,+/-11.1
Population 45 to 64 years,"2,503",+/-24,(X),(X),"1,289",+/-20,(X),(X),"1,214",+/-15,(X),(X)
High school graduate or higher,"2,297",+/-54,91.8%,+/-2.4,"1,162",+/-38,90.1%,+/-3.6,"1,135",+/-39,93.5%,+/-3.0
Bachelor's degree or higher,490,+/-118,19.6%,+/-4.7,271,+/-73,21.0%,+/-5.7,219,+/-79,18.0%,+/-6.4
Population 65 years and over,"1,604",+/-32,(X),(X),732,+/-35,(X),(X),872,+/-28,(X),(X)
High school graduate or higher,"1,379",+/-66,86.0%,+/-3.9,631,+/-41,86.2%,+/-5.0,748,+/-51,85.8%,+/-4.9
Bachelor's degree or higher,304,+/-79,19.0%,+/-4.8,174,+/-61,23.8%,+/-8.0,130,+/-34,14.9%,+/-3.9
