RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"5,772",+/-16,(X),(X),"2,850",+/-18,(X),(X),"2,922",+/-9,(X),(X)
High school graduate or higher,"5,273",+/-102,91.4%,+/-1.7,"2,589",+/-65,90.8%,+/-2.2,"2,684",+/-66,91.9%,+/-2.2
Bachelor's degree or higher,"1,128",+/-208,19.5%,+/-3.6,570,+/-114,20.0%,+/-4.0,558,+/-120,19.1%,+/-4.1
"White alone, not Hispanic or Latino","5,724",+/-13,(X),(X),"2,822",+/-13,(X),(X),"2,902",+/-16,(X),(X)
High school graduate or higher,"5,256",+/-103,91.8%,+/-1.8,"2,582",+/-64,91.5%,+/-2.2,"2,674",+/-66,92.1%,+/-2.3
Bachelor's degree or higher,"1,127",+/-207,19.7%,+/-3.6,569,+/-114,20.2%,+/-4.0,558,+/-120,19.2%,+/-4.1
Black alone,57,+/-51,(X),(X),0,+/-16,(X),(X),57,+/-51,(X),(X)
High school graduate or higher,57,+/-51,100.0%,+/-37.7,0,+/-16,-,**,57,+/-51,100.0%,+/-37.7
Bachelor's degree or higher,0,+/-16,0.0%,+/-37.7,0,+/-16,-,**,0,+/-16,0.0%,+/-37.7
American Indian or Alaska Native alone,12,+/-18,(X),(X),12,+/-18,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,0.0%,+/-82.3,0,+/-16,0.0%,+/-82.3,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-82.3,0,+/-16,0.0%,+/-82.3,0,+/-16,-,**
Asian alone,1,+/-2,(X),(X),0,+/-16,(X),(X),1,+/-2,(X),(X)
High school graduate or higher,1,+/-2,100.0%,+/-100.0,0,+/-16,-,**,1,+/-2,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**,0,+/-16,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,10,+/-13,(X),(X),10,+/-13,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,9,+/-13,90.0%,+/-39.1,9,+/-13,90.0%,+/-39.1,0,+/-16,-,**
Bachelor's degree or higher,9,+/-13,90.0%,+/-39.1,9,+/-13,90.0%,+/-39.1,0,+/-16,-,**
Two or more races,61,+/-40,(X),(X),39,+/-37,(X),(X),22,+/-18,(X),(X)
High school graduate or higher,39,+/-35,63.9%,+/-30.4,21,+/-30,53.8%,+/-45.1,18,+/-18,81.8%,+/-26.9
Bachelor's degree or higher,20,+/-30,32.8%,+/-33.7,15,+/-28,38.5%,+/-47.2,5,+/-9,22.7%,+/-30.5
Hispanic or Latino Origin,49,+/-9,(X),(X),29,+/-12,(X),(X),20,+/-9,(X),(X)
High school graduate or higher,17,+/-18,34.7%,+/-40.8,7,+/-8,24.1%,+/-33.1,10,+/-14,50.0%,+/-50.0
Bachelor's degree or higher,1,+/-4,2.0%,+/-7.7,1,+/-4,3.4%,+/-14.0,0,+/-16,0.0%,+/-63.7
