Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"44,965",+/-110,(X),(X),"25,149",+/-75,(X),(X),"19,816",+/-64,(X),(X)
Less than high school graduate,"1,957",+/-331,4.4%,+/-0.7,871,+/-223,3.5%,+/-0.9,"1,086",+/-218,5.5%,+/-1.1
High school graduate (includes equivalency),"10,572",+/-757,23.5%,+/-1.7,"6,074",+/-560,24.2%,+/-2.2,"4,498",+/-456,22.7%,+/-2.3
Some college or associate's degree,"26,499","+/-1,041",58.9%,+/-2.3,"14,611",+/-711,58.1%,+/-2.8,"11,888",+/-637,60.0%,+/-3.2
Bachelor's degree or higher,"5,937",+/-685,13.2%,+/-1.5,"3,593",+/-510,14.3%,+/-2.0,"2,344",+/-389,11.8%,+/-2.0
Population 25 years and over,"102,561",+/-64,(X),(X),"50,371",+/-64,(X),(X),"52,190",*****,(X),(X)
Less than 9th grade,"2,944",+/-350,2.9%,+/-0.3,"1,679",+/-263,3.3%,+/-0.5,"1,265",+/-238,2.4%,+/-0.5
"9th to 12th grade, no diploma","6,015",+/-648,5.9%,+/-0.6,"2,977",+/-451,5.9%,+/-0.9,"3,038",+/-357,5.8%,+/-0.7
High school graduate (includes equivalency),"26,207",+/-978,25.6%,+/-1.0,"13,148",+/-660,26.1%,+/-1.3,"13,059",+/-693,25.0%,+/-1.3
"Some college, no degree","21,306",+/-981,20.8%,+/-1.0,"10,215",+/-703,20.3%,+/-1.4,"11,091",+/-673,21.3%,+/-1.3
Associate's degree,"8,264",+/-614,8.1%,+/-0.6,"3,742",+/-421,7.4%,+/-0.8,"4,522",+/-445,8.7%,+/-0.9
Bachelor's degree,"21,124",+/-931,20.6%,+/-0.9,"9,701",+/-608,19.3%,+/-1.2,"11,423",+/-656,21.9%,+/-1.3
Graduate or professional degree,"16,701",+/-817,16.3%,+/-0.8,"8,909",+/-495,17.7%,+/-1.0,"7,792",+/-520,14.9%,+/-1.0
Percent high school graduate or higher,(X),(X),91.3%,+/-0.7,(X),(X),90.8%,+/-0.9,(X),(X),91.8%,+/-0.8
Percent bachelor's degree or higher,(X),(X),36.9%,+/-1.1,(X),(X),36.9%,+/-1.5,(X),(X),36.8%,+/-1.4
Population 25 to 34 years,"26,300",+/-141,(X),(X),"13,764",+/-139,(X),(X),"12,536",+/-37,(X),(X)
High school graduate or higher,"24,846",+/-335,94.5%,+/-1.3,"12,798",+/-252,93.0%,+/-1.7,"12,048",+/-174,96.1%,+/-1.3
Bachelor's degree or higher,"11,487",+/-562,43.7%,+/-2.1,"5,783",+/-423,42.0%,+/-3.0,"5,704",+/-351,45.5%,+/-2.8
Population 35 to 44 years,"19,781",+/-245,(X),(X),"10,083",+/-159,(X),(X),"9,698",+/-173,(X),(X)
High school graduate or higher,"17,703",+/-363,89.5%,+/-1.5,"8,859",+/-238,87.9%,+/-2.2,"8,844",+/-247,91.2%,+/-1.7
Bachelor's degree or higher,"7,462",+/-512,37.7%,+/-2.5,"3,548",+/-294,35.2%,+/-2.9,"3,914",+/-339,40.4%,+/-3.5
Population 45 to 64 years,"36,674",+/-201,(X),(X),"17,919",+/-108,(X),(X),"18,755",+/-171,(X),(X)
High school graduate or higher,"33,639",+/-393,91.7%,+/-0.9,"16,304",+/-249,91.0%,+/-1.3,"17,335",+/-279,92.4%,+/-1.2
Bachelor's degree or higher,"12,664",+/-645,34.5%,+/-1.8,"6,074",+/-424,33.9%,+/-2.4,"6,590",+/-402,35.1%,+/-2.2
Population 65 years and over,"19,806",+/-107,(X),(X),"8,605",+/-102,(X),(X),"11,201",+/-25,(X),(X)
High school graduate or higher,"17,414",+/-330,87.9%,+/-1.6,"7,754",+/-219,90.1%,+/-2.3,"9,660",+/-236,86.2%,+/-2.1
Bachelor's degree or higher,"6,212",+/-496,31.4%,+/-2.5,"3,205",+/-272,37.2%,+/-3.2,"3,007",+/-346,26.8%,+/-3.1
