RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"87,809",+/-322,(X),(X),"42,810",+/-203,(X),(X),"44,999",+/-189,(X),(X)
High school graduate or higher,"79,651",+/-690,90.7%,+/-0.8,"38,888",+/-417,90.8%,+/-0.9,"40,763",+/-458,90.6%,+/-1.0
Bachelor's degree or higher,"29,289","+/-1,141",33.4%,+/-1.3,"14,004",+/-661,32.7%,+/-1.6,"15,285",+/-706,34.0%,+/-1.6
"White alone, not Hispanic or Latino","82,748",+/-32,(X),(X),"40,188",+/-13,(X),(X),"42,560",+/-29,(X),(X)
High school graduate or higher,"76,704",+/-576,92.7%,+/-0.7,"37,405",+/-351,93.1%,+/-0.9,"39,299",+/-383,92.3%,+/-0.9
Bachelor's degree or higher,"28,482","+/-1,123",34.4%,+/-1.4,"13,716",+/-654,34.1%,+/-1.6,"14,766",+/-691,34.7%,+/-1.6
Black alone,"3,689",+/-123,(X),(X),"1,877",+/-82,(X),(X),"1,812",+/-81,(X),(X)
High school graduate or higher,"3,283",+/-184,89.0%,+/-3.9,"1,760",+/-112,93.8%,+/-3.5,"1,523",+/-150,84.1%,+/-7.0
Bachelor's degree or higher,867,+/-234,23.5%,+/-6.2,517,+/-170,27.5%,+/-8.7,350,+/-147,19.3%,+/-8.1
American Indian or Alaska Native alone,173,+/-74,(X),(X),58,+/-47,(X),(X),115,+/-64,(X),(X)
High school graduate or higher,117,+/-62,67.6%,+/-22.9,12,+/-14,20.7%,+/-28.8,105,+/-62,91.3%,+/-11.5
Bachelor's degree or higher,38,+/-46,22.0%,+/-24.2,0,+/-27,0.0%,+/-37.4,38,+/-46,33.0%,+/-31.4
Asian alone,"5,467",+/-112,(X),(X),"2,784",+/-70,(X),(X),"2,683",+/-71,(X),(X)
High school graduate or higher,"5,012",+/-243,91.7%,+/-3.9,"2,558",+/-136,91.9%,+/-4.3,"2,454",+/-151,91.5%,+/-4.7
Bachelor's degree or higher,"4,282",+/-311,78.3%,+/-5.5,"2,327",+/-157,83.6%,+/-5.5,"1,955",+/-180,72.9%,+/-6.4
Native Hawaiian and Other Pacific Islander alone,12,+/-22,(X),(X),0,+/-27,(X),(X),12,+/-22,(X),(X)
High school graduate or higher,12,+/-22,100.0%,+/-82.2,0,+/-27,-,**,12,+/-22,100.0%,+/-82.2
Bachelor's degree or higher,12,+/-22,100.0%,+/-82.2,0,+/-27,-,**,12,+/-22,100.0%,+/-82.2
Some other race alone,991,+/-295,(X),(X),553,+/-176,(X),(X),438,+/-173,(X),(X)
High school graduate or higher,589,+/-214,59.4%,+/-12.2,298,+/-121,53.9%,+/-14.6,291,+/-151,66.4%,+/-14.7
Bachelor's degree or higher,118,+/-72,11.9%,+/-6.2,62,+/-51,11.2%,+/-8.6,56,+/-49,12.8%,+/-8.8
Two or more races,"1,186",+/-195,(X),(X),625,+/-131,(X),(X),561,+/-148,(X),(X)
High school graduate or higher,"1,009",+/-193,85.1%,+/-7.8,517,+/-127,82.7%,+/-12.6,492,+/-140,87.7%,+/-9.0
Bachelor's degree or higher,318,+/-109,26.8%,+/-8.1,202,+/-82,32.3%,+/-11.4,116,+/-58,20.7%,+/-9.9
Hispanic or Latino Origin,"6,339",*****,(X),(X),"3,349",*****,(X),(X),"2,990",*****,(X),(X)
High school graduate or higher,"3,764",+/-371,59.4%,+/-5.9,"1,923",+/-238,57.4%,+/-7.1,"1,841",+/-200,61.6%,+/-6.7
Bachelor's degree or higher,974,+/-249,15.4%,+/-3.9,387,+/-120,11.6%,+/-3.6,587,+/-191,19.6%,+/-6.4
