Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"44,284",+/-48,(X),(X),"24,710",+/-48,(X),(X),"19,574",+/-2,(X),(X)
Less than high school graduate,"2,168",+/-405,4.9%,+/-0.9,998,+/-218,4.0%,+/-0.9,"1,170",+/-306,6.0%,+/-1.6
High school graduate (includes equivalency),"10,335",+/-657,23.3%,+/-1.5,"6,203",+/-515,25.1%,+/-2.1,"4,132",+/-456,21.1%,+/-2.3
Some college or associate's degree,"26,504",+/-934,59.9%,+/-2.1,"14,616",+/-721,59.2%,+/-2.9,"11,888",+/-568,60.7%,+/-2.9
Bachelor's degree or higher,"5,277",+/-638,11.9%,+/-1.4,"2,893",+/-495,11.7%,+/-2.0,"2,384",+/-357,12.2%,+/-1.8
Population 25 years and over,"99,327",+/-47,(X),(X),"48,707",+/-48,(X),(X),"50,620",+/-2,(X),(X)
Less than 9th grade,"3,356",+/-445,3.4%,+/-0.4,"1,894",+/-309,3.9%,+/-0.6,"1,462",+/-289,2.9%,+/-0.6
"9th to 12th grade, no diploma","6,298",+/-619,6.3%,+/-0.6,"2,780",+/-384,5.7%,+/-0.8,"3,518",+/-427,6.9%,+/-0.8
High school graduate (includes equivalency),"26,425","+/-1,020",26.6%,+/-1.0,"13,264",+/-665,27.2%,+/-1.4,"13,161",+/-724,26.0%,+/-1.4
"Some college, no degree","20,427",+/-953,20.6%,+/-1.0,"10,134",+/-711,20.8%,+/-1.5,"10,293",+/-656,20.3%,+/-1.3
Associate's degree,"7,897",+/-509,8.0%,+/-0.5,"3,523",+/-399,7.2%,+/-0.8,"4,374",+/-373,8.6%,+/-0.7
Bachelor's degree,"19,647",+/-945,19.8%,+/-1.0,"8,996",+/-529,18.5%,+/-1.1,"10,651",+/-625,21.0%,+/-1.2
Graduate or professional degree,"15,277",+/-678,15.4%,+/-0.7,"8,116",+/-501,16.7%,+/-1.0,"7,161",+/-473,14.1%,+/-0.9
Percent high school graduate or higher,(X),(X),90.3%,+/-0.8,(X),(X),90.4%,+/-1.0,(X),(X),90.2%,+/-1.0
Percent bachelor's degree or higher,(X),(X),35.2%,+/-1.2,(X),(X),35.1%,+/-1.5,(X),(X),35.2%,+/-1.4
Population 25 to 34 years,"25,613",+/-66,(X),(X),"13,437",+/-49,(X),(X),"12,176",+/-40,(X),(X)
High school graduate or higher,"23,797",+/-344,92.9%,+/-1.3,"12,385",+/-207,92.2%,+/-1.5,"11,412",+/-218,93.7%,+/-1.8
Bachelor's degree or higher,"10,704",+/-537,41.8%,+/-2.1,"5,416",+/-376,40.3%,+/-2.8,"5,288",+/-320,43.4%,+/-2.7
Population 35 to 44 years,"19,389",+/-167,(X),(X),"9,825",+/-72,(X),(X),"9,564",+/-153,(X),(X)
High school graduate or higher,"17,261",+/-409,89.0%,+/-2.1,"8,677",+/-283,88.3%,+/-3.0,"8,584",+/-224,89.8%,+/-1.9
Bachelor's degree or higher,"6,800",+/-539,35.1%,+/-2.8,"3,398",+/-310,34.6%,+/-3.2,"3,402",+/-339,35.6%,+/-3.6
Population 45 to 64 years,"36,190",+/-215,(X),(X),"17,683",+/-103,(X),(X),"18,507",+/-189,(X),(X)
High school graduate or higher,"32,996",+/-459,91.2%,+/-1.2,"16,011",+/-275,90.5%,+/-1.6,"16,985",+/-305,91.8%,+/-1.3
Bachelor's degree or higher,"12,428",+/-686,34.3%,+/-1.9,"5,844",+/-390,33.0%,+/-2.2,"6,584",+/-433,35.6%,+/-2.3
Population 65 years and over,"18,135",+/-138,(X),(X),"7,762",+/-90,(X),(X),"10,373",+/-89,(X),(X)
High school graduate or higher,"15,619",+/-364,86.1%,+/-1.9,"6,960",+/-196,89.7%,+/-2.1,"8,659",+/-254,83.5%,+/-2.5
Bachelor's degree or higher,"4,992",+/-407,27.5%,+/-2.2,"2,454",+/-244,31.6%,+/-3.1,"2,538",+/-276,24.5%,+/-2.6
