RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"88,328",+/-391,(X),(X),"43,010",+/-242,(X),(X),"45,318",+/-202,(X),(X)
High school graduate or higher,"80,738",+/-635,91.4%,+/-0.7,"39,242",+/-415,91.2%,+/-0.9,"41,496",+/-389,91.6%,+/-0.8
Bachelor's degree or higher,"29,742","+/-1,206",33.7%,+/-1.3,"14,242",+/-713,33.1%,+/-1.6,"15,500",+/-727,34.2%,+/-1.6
"White alone, not Hispanic or Latino","83,533",+/-117,(X),(X),"40,614",+/-60,(X),(X),"42,919",+/-64,(X),(X)
High school graduate or higher,"77,772",+/-502,93.1%,+/-0.6,"37,870",+/-340,93.2%,+/-0.8,"39,902",+/-353,93.0%,+/-0.8
Bachelor's degree or higher,"28,963","+/-1,156",34.7%,+/-1.4,"14,005",+/-689,34.5%,+/-1.7,"14,958",+/-712,34.9%,+/-1.7
Black alone,"3,867",+/-89,(X),(X),"1,934",+/-72,(X),(X),"1,933",+/-53,(X),(X)
High school graduate or higher,"3,538",+/-142,91.5%,+/-2.9,"1,860",+/-88,96.2%,+/-2.5,"1,678",+/-112,86.8%,+/-5.4
Bachelor's degree or higher,752,+/-261,19.4%,+/-6.6,371,+/-136,19.2%,+/-6.8,381,+/-166,19.7%,+/-8.5
American Indian or Alaska Native alone,144,+/-79,(X),(X),66,+/-55,(X),(X),78,+/-59,(X),(X)
High school graduate or higher,84,+/-61,58.3%,+/-28.3,17,+/-19,25.8%,+/-31.4,67,+/-57,85.9%,+/-23.9
Bachelor's degree or higher,10,+/-16,6.9%,+/-11.5,0,+/-27,0.0%,+/-34.6,10,+/-16,12.8%,+/-21.2
Asian alone,"5,697",+/-94,(X),(X),"2,913",+/-54,(X),(X),"2,784",+/-66,(X),(X)
High school graduate or higher,"5,272",+/-177,92.5%,+/-2.7,"2,694",+/-112,92.5%,+/-3.3,"2,578",+/-109,92.6%,+/-3.3
Bachelor's degree or higher,"4,614",+/-285,81.0%,+/-4.9,"2,445",+/-159,83.9%,+/-5.1,"2,169",+/-165,77.9%,+/-6.1
Native Hawaiian and Other Pacific Islander alone,45,+/-54,(X),(X),0,+/-27,(X),(X),45,+/-54,(X),(X)
High school graduate or higher,45,+/-54,100.0%,+/-42.5,0,+/-27,-,**,45,+/-54,100.0%,+/-42.5
Bachelor's degree or higher,15,+/-27,33.3%,+/-44.9,0,+/-27,-,**,15,+/-27,33.3%,+/-44.9
Some other race alone,"1,594",+/-395,(X),(X),954,+/-240,(X),(X),640,+/-196,(X),(X)
High school graduate or higher,885,+/-317,55.5%,+/-15.3,468,+/-193,49.1%,+/-17.2,417,+/-186,65.2%,+/-17.7
Bachelor's degree or higher,109,+/-79,6.8%,+/-5.2,90,+/-76,9.4%,+/-8.1,19,+/-20,3.0%,+/-3.0
Two or more races,"1,019",+/-164,(X),(X),591,+/-153,(X),(X),428,+/-111,(X),(X)
High school graduate or higher,807,+/-170,79.2%,+/-10.8,439,+/-145,74.3%,+/-18.0,368,+/-97,86.0%,+/-9.5
Bachelor's degree or higher,280,+/-88,27.5%,+/-8.6,167,+/-72,28.3%,+/-13.0,113,+/-52,26.4%,+/-11.1
Hispanic or Latino Origin,"6,492",*****,(X),(X),"3,425",*****,(X),(X),"3,067",*****,(X),(X)
High school graduate or higher,"3,904",+/-397,60.1%,+/-6.1,"1,887",+/-258,55.1%,+/-7.5,"2,017",+/-232,65.8%,+/-7.6
Bachelor's degree or higher,912,+/-207,14.0%,+/-3.2,336,+/-122,9.8%,+/-3.6,576,+/-161,18.8%,+/-5.3
