RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"51,659",+/-170,(X),(X),"24,189",+/-136,(X),(X),"27,470",+/-98,(X),(X)
High school graduate or higher,"45,994",+/-491,89.0%,+/-0.8,"21,352",+/-340,88.3%,+/-1.3,"24,642",+/-330,89.7%,+/-1.1
Bachelor's degree or higher,"10,414",+/-632,20.2%,+/-1.2,"5,063",+/-392,20.9%,+/-1.6,"5,351",+/-397,19.5%,+/-1.4
"White alone, not Hispanic or Latino","50,821",+/-21,(X),(X),"23,882",+/-27,(X),(X),"26,939",+/-21,(X),(X)
High school graduate or higher,"45,281",+/-431,89.1%,+/-0.8,"21,094",+/-321,88.3%,+/-1.3,"24,187",+/-296,89.8%,+/-1.1
Bachelor's degree or higher,"10,227",+/-621,20.1%,+/-1.2,"4,967",+/-394,20.8%,+/-1.6,"5,260",+/-389,19.5%,+/-1.4
Black alone,"3,577",+/-152,(X),(X),"1,801",+/-81,(X),(X),"1,776",+/-135,(X),(X)
High school graduate or higher,"3,101",+/-171,86.7%,+/-4.0,"1,493",+/-135,82.9%,+/-6.5,"1,608",+/-152,90.5%,+/-5.5
Bachelor's degree or higher,291,+/-111,8.1%,+/-3.2,157,+/-87,8.7%,+/-4.8,134,+/-83,7.5%,+/-4.7
American Indian or Alaska Native alone,245,+/-84,(X),(X),129,+/-59,(X),(X),116,+/-65,(X),(X)
High school graduate or higher,227,+/-78,92.7%,+/-9.5,129,+/-59,100.0%,+/-20.6,98,+/-62,84.5%,+/-20.3
Bachelor's degree or higher,11,+/-20,4.5%,+/-7.5,0,+/-27,0.0%,+/-20.6,11,+/-20,9.5%,+/-14.9
Asian alone,656,+/-79,(X),(X),261,+/-64,(X),(X),395,+/-70,(X),(X)
High school graduate or higher,514,+/-104,78.4%,+/-14.4,203,+/-88,77.8%,+/-26.0,311,+/-67,78.7%,+/-9.5
Bachelor's degree or higher,293,+/-99,44.7%,+/-17.2,133,+/-55,51.0%,+/-20.0,160,+/-73,40.5%,+/-19.9
Native Hawaiian and Other Pacific Islander alone,59,+/-59,(X),(X),8,+/-13,(X),(X),51,+/-56,(X),(X)
High school graduate or higher,59,+/-59,100.0%,+/-37.0,8,+/-13,100.0%,+/-100.0,51,+/-56,100.0%,+/-39.9
Bachelor's degree or higher,0,+/-27,0.0%,+/-37.0,0,+/-27,0.0%,+/-100.0,0,+/-27,0.0%,+/-39.9
Some other race alone,392,+/-185,(X),(X),273,+/-170,(X),(X),119,+/-67,(X),(X)
High school graduate or higher,125,+/-81,31.9%,+/-30.3,78,+/-64,28.6%,+/-39.9,47,+/-31,39.5%,+/-25.8
Bachelor's degree or higher,22,+/-24,5.6%,+/-7.5,11,+/-16,4.0%,+/-8.6,11,+/-17,9.2%,+/-14.3
Two or more races,638,+/-158,(X),(X),184,+/-100,(X),(X),454,+/-138,(X),(X)
High school graduate or higher,620,+/-157,97.2%,+/-3.1,166,+/-100,90.2%,+/-12.6,454,+/-138,100.0%,+/-6.4
Bachelor's degree or higher,156,+/-105,24.5%,+/-14.2,38,+/-33,20.7%,+/-21.9,118,+/-105,26.0%,+/-19.1
Hispanic or Latino Origin,"1,360",+/-66,(X),(X),635,+/-56,(X),(X),725,+/-34,(X),(X)
High school graduate or higher,958,+/-202,70.4%,+/-15.6,384,+/-169,60.5%,+/-28.2,574,+/-86,79.2%,+/-11.1
Bachelor's degree or higher,212,+/-97,15.6%,+/-7.4,111,+/-72,17.5%,+/-12.0,101,+/-53,13.9%,+/-7.4
