RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"51,724",+/-159,(X),(X),"24,163",+/-141,(X),(X),"27,561",+/-77,(X),(X)
High school graduate or higher,"45,956",+/-462,88.8%,+/-0.8,"21,320",+/-315,88.2%,+/-1.2,"24,636",+/-277,89.4%,+/-1.0
Bachelor's degree or higher,"10,134",+/-591,19.6%,+/-1.1,"4,818",+/-332,19.9%,+/-1.3,"5,316",+/-381,19.3%,+/-1.4
"White alone, not Hispanic or Latino","50,911",+/-23,(X),(X),"23,901",+/-14,(X),(X),"27,010",+/-20,(X),(X)
High school graduate or higher,"45,296",+/-424,89.0%,+/-0.8,"21,111",+/-290,88.3%,+/-1.2,"24,185",+/-268,89.5%,+/-1.0
Bachelor's degree or higher,"10,000",+/-560,19.6%,+/-1.1,"4,756",+/-318,19.9%,+/-1.3,"5,244",+/-367,19.4%,+/-1.4
Black alone,"3,539",+/-163,(X),(X),"1,777",+/-96,(X),(X),"1,762",+/-130,(X),(X)
High school graduate or higher,"2,977",+/-208,84.1%,+/-4.6,"1,436",+/-126,80.8%,+/-6.4,"1,541",+/-159,87.5%,+/-6.3
Bachelor's degree or higher,250,+/-95,7.1%,+/-2.6,176,+/-93,9.9%,+/-5.2,74,+/-45,4.2%,+/-2.6
American Indian or Alaska Native alone,192,+/-70,(X),(X),108,+/-51,(X),(X),84,+/-50,(X),(X)
High school graduate or higher,174,+/-66,90.6%,+/-12.0,108,+/-51,100.0%,+/-23.9,66,+/-40,78.6%,+/-24.0
Bachelor's degree or higher,12,+/-20,6.3%,+/-9.9,0,+/-27,0.0%,+/-23.9,12,+/-20,14.3%,+/-22.9
Asian alone,578,+/-57,(X),(X),209,+/-49,(X),(X),369,+/-56,(X),(X)
High school graduate or higher,430,+/-88,74.4%,+/-12.1,156,+/-55,74.6%,+/-22.2,274,+/-63,74.3%,+/-10.9
Bachelor's degree or higher,277,+/-86,47.9%,+/-14.7,107,+/-37,51.2%,+/-17.3,170,+/-65,46.1%,+/-17.5
Native Hawaiian and Other Pacific Islander alone,46,+/-50,(X),(X),0,+/-27,(X),(X),46,+/-50,(X),(X)
High school graduate or higher,46,+/-50,100.0%,+/-42.0,0,+/-27,-,**,46,+/-50,100.0%,+/-42.0
Bachelor's degree or higher,5,+/-8,10.9%,+/-21.7,0,+/-27,-,**,5,+/-8,10.9%,+/-21.7
Some other race alone,361,+/-188,(X),(X),271,+/-180,(X),(X),90,+/-42,(X),(X)
High school graduate or higher,94,+/-50,26.0%,+/-25.9,52,+/-44,19.2%,+/-30.5,42,+/-22,46.7%,+/-27.7
Bachelor's degree or higher,21,+/-25,5.8%,+/-8.4,12,+/-20,4.4%,+/-10.4,9,+/-15,10.0%,+/-15.6
Two or more races,590,+/-141,(X),(X),185,+/-94,(X),(X),405,+/-123,(X),(X)
High school graduate or higher,556,+/-134,94.2%,+/-5.1,163,+/-89,88.1%,+/-10.8,393,+/-122,97.0%,+/-4.8
Bachelor's degree or higher,77,+/-48,13.1%,+/-7.7,33,+/-26,17.8%,+/-16.7,44,+/-41,10.9%,+/-9.7
Hispanic or Latino Origin,"1,289",+/-69,(X),(X),589,+/-48,(X),(X),700,+/-48,(X),(X)
High school graduate or higher,867,+/-195,67.3%,+/-15.2,317,+/-162,53.8%,+/-28.9,550,+/-88,78.6%,+/-9.9
Bachelor's degree or higher,161,+/-92,12.5%,+/-7.2,81,+/-60,13.8%,+/-10.7,80,+/-57,11.4%,+/-8.1
