Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,706",+/-182,(X),(X),"3,450",+/-115,(X),(X),"3,256",+/-126,(X),(X)
Less than high school graduate,"1,702",+/-264,25.4%,+/-3.9,903,+/-147,26.2%,+/-4.2,799,+/-215,24.5%,+/-6.5
High school graduate (includes equivalency),"2,213",+/-281,33.0%,+/-4.1,"1,033",+/-181,29.9%,+/-5.2,"1,180",+/-209,36.2%,+/-6.0
Some college or associate's degree,"2,323",+/-269,34.6%,+/-3.9,"1,220",+/-197,35.4%,+/-5.3,"1,103",+/-168,33.9%,+/-5.3
Bachelor's degree or higher,468,+/-154,7.0%,+/-2.3,294,+/-119,8.5%,+/-3.5,174,+/-93,5.3%,+/-2.8
Population 25 years and over,"57,030",+/-177,(X),(X),"26,713",+/-130,(X),(X),"30,317",+/-149,(X),(X)
Less than 9th grade,"1,994",+/-314,3.5%,+/-0.5,"1,175",+/-275,4.4%,+/-1.0,819,+/-149,2.7%,+/-0.5
"9th to 12th grade, no diploma","4,803",+/-432,8.4%,+/-0.8,"2,303",+/-301,8.6%,+/-1.1,"2,500",+/-268,8.2%,+/-0.9
High school graduate (includes equivalency),"20,735",+/-732,36.4%,+/-1.3,"9,284",+/-474,34.8%,+/-1.8,"11,451",+/-531,37.8%,+/-1.8
"Some college, no degree","13,773",+/-648,24.2%,+/-1.1,"6,565",+/-399,24.6%,+/-1.5,"7,208",+/-493,23.8%,+/-1.6
Associate's degree,"4,949",+/-413,8.7%,+/-0.7,"2,240",+/-272,8.4%,+/-1.0,"2,709",+/-294,8.9%,+/-1.0
Bachelor's degree,"6,923",+/-470,12.1%,+/-0.8,"3,374",+/-278,12.6%,+/-1.1,"3,549",+/-335,11.7%,+/-1.1
Graduate or professional degree,"3,853",+/-385,6.8%,+/-0.7,"1,772",+/-233,6.6%,+/-0.9,"2,081",+/-262,6.9%,+/-0.9
Percent high school graduate or higher,(X),(X),88.1%,+/-0.9,(X),(X),87.0%,+/-1.4,(X),(X),89.1%,+/-1.0
Percent bachelor's degree or higher,(X),(X),18.9%,+/-1.0,(X),(X),19.3%,+/-1.3,(X),(X),18.6%,+/-1.3
Population 25 to 34 years,"9,517",+/-224,(X),(X),"4,567",+/-148,(X),(X),"4,950",+/-158,(X),(X)
High school graduate or higher,"8,389",+/-283,88.1%,+/-2.2,"3,852",+/-194,84.3%,+/-3.7,"4,537",+/-201,91.7%,+/-2.5
Bachelor's degree or higher,"1,759",+/-246,18.5%,+/-2.6,833,+/-162,18.2%,+/-3.6,926,+/-167,18.7%,+/-3.5
Population 35 to 44 years,"9,865",+/-173,(X),(X),"4,786",+/-103,(X),(X),"5,079",+/-141,(X),(X)
High school graduate or higher,"9,026",+/-257,91.5%,+/-2.2,"4,255",+/-168,88.9%,+/-3.1,"4,771",+/-158,93.9%,+/-2.2
Bachelor's degree or higher,"2,188",+/-228,22.2%,+/-2.3,868,+/-130,18.1%,+/-2.7,"1,320",+/-170,26.0%,+/-3.4
Population 45 to 64 years,"23,072",+/-120,(X),(X),"11,106",+/-83,(X),(X),"11,966",+/-83,(X),(X)
High school graduate or higher,"20,825",+/-260,90.3%,+/-1.1,"9,942",+/-195,89.5%,+/-1.8,"10,883",+/-202,90.9%,+/-1.6
Bachelor's degree or higher,"4,724",+/-390,20.5%,+/-1.7,"2,357",+/-250,21.2%,+/-2.3,"2,367",+/-242,19.8%,+/-2.0
Population 65 years and over,"14,576",+/-74,(X),(X),"6,254",+/-48,(X),(X),"8,322",+/-61,(X),(X)
High school graduate or higher,"11,993",+/-325,82.3%,+/-2.2,"5,186",+/-169,82.9%,+/-2.8,"6,807",+/-242,81.8%,+/-2.8
Bachelor's degree or higher,"2,105",+/-259,14.4%,+/-1.8,"1,088",+/-146,17.4%,+/-2.3,"1,017",+/-180,12.2%,+/-2.2
