Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"40,108",+/-100,(X),(X),"20,217",+/-95,(X),(X),"19,891",+/-42,(X),(X)
Less than high school graduate,"1,577",+/-364,3.9%,+/-0.9,894,+/-255,4.4%,+/-1.3,683,+/-224,3.4%,+/-1.1
High school graduate (includes equivalency),"7,005",+/-738,17.5%,+/-1.8,"3,573",+/-495,17.7%,+/-2.4,"3,432",+/-495,17.3%,+/-2.5
Some college or associate's degree,"26,158",+/-994,65.2%,+/-2.5,"13,651",+/-762,67.5%,+/-3.8,"12,507",+/-577,62.9%,+/-2.9
Bachelor's degree or higher,"5,368",+/-652,13.4%,+/-1.6,"2,099",+/-500,10.4%,+/-2.5,"3,269",+/-401,16.4%,+/-2.0
Population 25 years and over,"79,416",+/-101,(X),(X),"38,883",+/-104,(X),(X),"40,533",+/-72,(X),(X)
Less than 9th grade,"1,862",+/-348,2.3%,+/-0.4,"1,055",+/-230,2.7%,+/-0.6,807,+/-208,2.0%,+/-0.5
"9th to 12th grade, no diploma","4,209",+/-473,5.3%,+/-0.6,"1,975",+/-307,5.1%,+/-0.8,"2,234",+/-326,5.5%,+/-0.8
High school graduate (includes equivalency),"17,718",+/-749,22.3%,+/-0.9,"8,635",+/-517,22.2%,+/-1.3,"9,083",+/-515,22.4%,+/-1.3
"Some college, no degree","14,429",+/-708,18.2%,+/-0.9,"7,030",+/-469,18.1%,+/-1.2,"7,399",+/-533,18.3%,+/-1.3
Associate's degree,"5,479",+/-567,6.9%,+/-0.7,"2,435",+/-346,6.3%,+/-0.9,"3,044",+/-416,7.5%,+/-1.0
Bachelor's degree,"17,699",+/-753,22.3%,+/-0.9,"8,721",+/-572,22.4%,+/-1.5,"8,978",+/-508,22.1%,+/-1.3
Graduate or professional degree,"18,020",+/-831,22.7%,+/-1.0,"9,032",+/-496,23.2%,+/-1.3,"8,988",+/-590,22.2%,+/-1.5
Percent high school graduate or higher,(X),(X),92.4%,+/-0.8,(X),(X),92.2%,+/-1.0,(X),(X),92.5%,+/-1.0
Percent bachelor's degree or higher,(X),(X),45.0%,+/-1.2,(X),(X),45.7%,+/-1.6,(X),(X),44.3%,+/-1.7
Population 25 to 34 years,"20,670",+/-214,(X),(X),"10,831",+/-191,(X),(X),"9,839",+/-132,(X),(X)
High school graduate or higher,"19,622",+/-358,94.9%,+/-1.4,"10,195",+/-299,94.1%,+/-2.0,"9,427",+/-205,95.8%,+/-1.4
Bachelor's degree or higher,"11,161",+/-572,54.0%,+/-2.7,"5,518",+/-398,50.9%,+/-3.6,"5,643",+/-375,57.4%,+/-3.9
Population 35 to 44 years,"14,462",+/-251,(X),(X),"7,389",+/-218,(X),(X),"7,073",+/-141,(X),(X)
High school graduate or higher,"13,497",+/-229,93.3%,+/-1.9,"6,772",+/-197,91.6%,+/-3.2,"6,725",+/-187,95.1%,+/-1.7
Bachelor's degree or higher,"6,945",+/-472,48.0%,+/-3.4,"3,281",+/-302,44.4%,+/-4.5,"3,664",+/-326,51.8%,+/-4.5
Population 45 to 64 years,"28,664",+/-211,(X),(X),"13,904",+/-144,(X),(X),"14,760",+/-165,(X),(X)
High school graduate or higher,"26,765",+/-349,93.4%,+/-1.0,"12,971",+/-226,93.3%,+/-1.3,"13,794",+/-262,93.5%,+/-1.4
Bachelor's degree or higher,"11,644",+/-552,40.6%,+/-1.9,"5,792",+/-301,41.7%,+/-2.1,"5,852",+/-402,39.6%,+/-2.7
Population 65 years and over,"15,620",+/-122,(X),(X),"6,759",+/-71,(X),(X),"8,861",+/-85,(X),(X)
High school graduate or higher,"13,461",+/-328,86.2%,+/-2.0,"5,915",+/-194,87.5%,+/-2.7,"7,546",+/-236,85.2%,+/-2.5
Bachelor's degree or higher,"5,969",+/-420,38.2%,+/-2.6,"3,162",+/-290,46.8%,+/-4.2,"2,807",+/-266,31.7%,+/-3.0
