RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"72,255",+/-286,(X),(X),"35,287",+/-193,(X),(X),"36,968",+/-150,(X),(X)
High school graduate or higher,"66,784",+/-584,92.4%,+/-0.8,"32,519",+/-385,92.2%,+/-1.0,"34,265",+/-395,92.7%,+/-1.0
Bachelor's degree or higher,"31,650","+/-1,019",43.8%,+/-1.4,"15,758",+/-674,44.7%,+/-1.9,"15,892",+/-661,43.0%,+/-1.8
"White alone, not Hispanic or Latino","70,966",+/-64,(X),(X),"34,568",+/-59,(X),(X),"36,398",+/-22,(X),(X)
High school graduate or higher,"65,638",+/-545,92.5%,+/-0.8,"31,872",+/-373,92.2%,+/-1.1,"33,766",+/-339,92.8%,+/-0.9
Bachelor's degree or higher,"30,944",+/-999,43.6%,+/-1.4,"15,396",+/-663,44.5%,+/-1.9,"15,548",+/-642,42.7%,+/-1.8
Black alone,"2,154",+/-218,(X),(X),"1,208",+/-110,(X),(X),946,+/-157,(X),(X)
High school graduate or higher,"1,937",+/-224,89.9%,+/-4.8,"1,082",+/-121,89.6%,+/-5.8,855,+/-158,90.4%,+/-7.3
Bachelor's degree or higher,867,+/-207,40.3%,+/-7.8,530,+/-154,43.9%,+/-10.8,337,+/-110,35.6%,+/-9.7
American Indian or Alaska Native alone,434,+/-313,(X),(X),205,+/-190,(X),(X),229,+/-143,(X),(X)
High school graduate or higher,255,+/-137,58.8%,+/-24.1,125,+/-115,61.0%,+/-16.8,130,+/-78,56.8%,+/-39.3
Bachelor's degree or higher,20,+/-25,4.6%,+/-7.2,15,+/-24,7.3%,+/-15.6,5,+/-9,2.2%,+/-4.6
Asian alone,"3,984",+/-174,(X),(X),"2,038",+/-119,(X),(X),"1,946",+/-110,(X),(X)
High school graduate or higher,"3,783",+/-236,95.0%,+/-2.9,"1,978",+/-137,97.1%,+/-2.4,"1,805",+/-152,92.8%,+/-4.3
Bachelor's degree or higher,"3,162",+/-239,79.4%,+/-4.7,"1,618",+/-153,79.4%,+/-6.3,"1,544",+/-166,79.3%,+/-5.9
Native Hawaiian and Other Pacific Islander alone,61,+/-52,(X),(X),48,+/-50,(X),(X),13,+/-18,(X),(X)
High school graduate or higher,48,+/-50,78.7%,+/-31.4,48,+/-50,100.0%,+/-41.1,0,+/-27,0.0%,+/-79.0
Bachelor's degree or higher,48,+/-50,78.7%,+/-31.4,48,+/-50,100.0%,+/-41.1,0,+/-27,0.0%,+/-79.0
Some other race alone,484,+/-148,(X),(X),290,+/-120,(X),(X),194,+/-80,(X),(X)
High school graduate or higher,410,+/-146,84.7%,+/-14.3,243,+/-108,83.8%,+/-21.1,167,+/-79,86.1%,+/-16.3
Bachelor's degree or higher,132,+/-82,27.3%,+/-17.4,63,+/-68,21.7%,+/-23.1,69,+/-45,35.6%,+/-20.3
Two or more races,"1,334",+/-293,(X),(X),551,+/-163,(X),(X),783,+/-196,(X),(X)
High school graduate or higher,"1,216",+/-289,91.2%,+/-6.0,491,+/-154,89.1%,+/-8.7,725,+/-188,92.6%,+/-6.8
Bachelor's degree or higher,555,+/-173,41.6%,+/-9.0,123,+/-65,22.3%,+/-11.1,432,+/-150,55.2%,+/-12.7
Hispanic or Latino Origin,"2,149",*****,(X),(X),"1,220",+/-55,(X),(X),929,+/-54,(X),(X)
High school graduate or higher,"1,743",+/-198,81.1%,+/-9.2,"1,011",+/-104,82.9%,+/-8.6,732,+/-143,78.8%,+/-14.1
Bachelor's degree or higher,866,+/-254,40.3%,+/-11.8,431,+/-179,35.3%,+/-14.9,435,+/-140,46.8%,+/-13.9
