Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"39,718",+/-70,(X),(X),"19,960",+/-50,(X),(X),"19,758",+/-51,(X),(X)
Less than high school graduate,"1,640",+/-338,4.1%,+/-0.9,876,+/-267,4.4%,+/-1.3,764,+/-220,3.9%,+/-1.1
High school graduate (includes equivalency),"6,754",+/-610,17.0%,+/-1.5,"3,535",+/-441,17.7%,+/-2.2,"3,219",+/-414,16.3%,+/-2.1
Some college or associate's degree,"25,952",+/-920,65.3%,+/-2.3,"13,489",+/-690,67.6%,+/-3.5,"12,463",+/-680,63.1%,+/-3.4
Bachelor's degree or higher,"5,372",+/-660,13.5%,+/-1.7,"2,060",+/-442,10.3%,+/-2.2,"3,312",+/-494,16.8%,+/-2.5
Population 25 years and over,"80,706",+/-69,(X),(X),"39,627",+/-80,(X),(X),"41,079",+/-74,(X),(X)
Less than 9th grade,"1,808",+/-314,2.2%,+/-0.4,"1,007",+/-205,2.5%,+/-0.5,801,+/-192,1.9%,+/-0.5
"9th to 12th grade, no diploma","4,465",+/-538,5.5%,+/-0.7,"2,134",+/-365,5.4%,+/-0.9,"2,331",+/-332,5.7%,+/-0.8
High school graduate (includes equivalency),"18,280",+/-828,22.7%,+/-1.0,"8,731",+/-561,22.0%,+/-1.4,"9,549",+/-533,23.2%,+/-1.3
"Some college, no degree","14,304",+/-920,17.7%,+/-1.1,"7,014",+/-563,17.7%,+/-1.4,"7,290",+/-620,17.7%,+/-1.5
Associate's degree,"5,415",+/-610,6.7%,+/-0.8,"2,586",+/-405,6.5%,+/-1.0,"2,829",+/-357,6.9%,+/-0.9
Bachelor's degree,"18,497",+/-854,22.9%,+/-1.1,"9,201",+/-521,23.2%,+/-1.3,"9,296",+/-580,22.6%,+/-1.4
Graduate or professional degree,"17,937",+/-807,22.2%,+/-1.0,"8,954",+/-576,22.6%,+/-1.5,"8,983",+/-545,21.9%,+/-1.3
Percent high school graduate or higher,(X),(X),92.2%,+/-0.7,(X),(X),92.1%,+/-0.9,(X),(X),92.4%,+/-0.9
Percent bachelor's degree or higher,(X),(X),45.1%,+/-1.3,(X),(X),45.8%,+/-1.8,(X),(X),44.5%,+/-1.6
Population 25 to 34 years,"20,995",+/-213,(X),(X),"11,135",+/-162,(X),(X),"9,860",+/-105,(X),(X)
High school graduate or higher,"19,847",+/-335,94.5%,+/-1.3,"10,435",+/-250,93.7%,+/-1.9,"9,412",+/-162,95.5%,+/-1.4
Bachelor's degree or higher,"11,096",+/-629,52.9%,+/-2.9,"5,523",+/-372,49.6%,+/-3.3,"5,573",+/-370,56.5%,+/-3.7
Population 35 to 44 years,"14,515",+/-233,(X),(X),"7,433",+/-189,(X),(X),"7,082",+/-148,(X),(X)
High school graduate or higher,"13,622",+/-271,93.8%,+/-1.4,"6,901",+/-209,92.8%,+/-2.1,"6,721",+/-176,94.9%,+/-1.5
Bachelor's degree or higher,"6,986",+/-454,48.1%,+/-3.0,"3,351",+/-337,45.1%,+/-4.3,"3,635",+/-263,51.3%,+/-3.8
Population 45 to 64 years,"29,039",+/-179,(X),(X),"14,042",+/-135,(X),(X),"14,997",+/-138,(X),(X)
High school graduate or higher,"26,966",+/-349,92.9%,+/-1.1,"12,988",+/-199,92.5%,+/-1.4,"13,978",+/-280,93.2%,+/-1.5
Bachelor's degree or higher,"12,209",+/-624,42.0%,+/-2.1,"6,028",+/-379,42.9%,+/-2.7,"6,181",+/-371,41.2%,+/-2.5
Population 65 years and over,"16,157",+/-108,(X),(X),"7,017",+/-77,(X),(X),"9,140",+/-73,(X),(X)
High school graduate or higher,"13,998",+/-288,86.6%,+/-1.7,"6,162",+/-193,87.8%,+/-2.5,"7,836",+/-192,85.7%,+/-1.9
Bachelor's degree or higher,"6,143",+/-384,38.0%,+/-2.3,"3,253",+/-248,46.4%,+/-3.6,"2,890",+/-256,31.6%,+/-2.8
