Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,102",+/-72,(X),(X),533,+/-39,(X),(X),569,+/-50,(X),(X)
Less than high school graduate,320,+/-104,29.0%,+/-9.7,193,+/-80,36.2%,+/-15.8,127,+/-59,22.3%,+/-10.4
High school graduate (includes equivalency),328,+/-112,29.8%,+/-9.4,189,+/-83,35.5%,+/-14.0,139,+/-55,24.4%,+/-9.7
Some college or associate's degree,373,+/-94,33.8%,+/-8.8,132,+/-59,24.8%,+/-11.2,241,+/-67,42.4%,+/-11.9
Bachelor's degree or higher,81,+/-55,7.4%,+/-4.8,19,+/-21,3.6%,+/-4.0,62,+/-47,10.9%,+/-7.9
Population 25 years and over,"9,843",+/-77,(X),(X),"4,937",+/-41,(X),(X),"4,906",+/-56,(X),(X)
Less than 9th grade,361,+/-117,3.7%,+/-1.2,132,+/-52,2.7%,+/-1.1,229,+/-95,4.7%,+/-1.9
"9th to 12th grade, no diploma","1,015",+/-183,10.3%,+/-1.9,502,+/-112,10.2%,+/-2.3,513,+/-127,10.5%,+/-2.6
High school graduate (includes equivalency),"4,873",+/-238,49.5%,+/-2.4,"2,554",+/-189,51.7%,+/-3.9,"2,319",+/-174,47.3%,+/-3.5
"Some college, no degree","1,957",+/-214,19.9%,+/-2.2,933,+/-122,18.9%,+/-2.5,"1,024",+/-176,20.9%,+/-3.5
Associate's degree,684,+/-179,6.9%,+/-1.8,307,+/-97,6.2%,+/-2.0,377,+/-123,7.7%,+/-2.5
Bachelor's degree,637,+/-155,6.5%,+/-1.6,336,+/-115,6.8%,+/-2.3,301,+/-87,6.1%,+/-1.8
Graduate or professional degree,316,+/-93,3.2%,+/-0.9,173,+/-68,3.5%,+/-1.4,143,+/-49,2.9%,+/-1.0
Percent high school graduate or higher,(X),(X),86.0%,+/-2.3,(X),(X),87.2%,+/-2.5,(X),(X),84.9%,+/-3.5
Percent bachelor's degree or higher,(X),(X),9.7%,+/-1.6,(X),(X),10.3%,+/-2.4,(X),(X),9.1%,+/-2.1
Population 25 to 34 years,"1,607",+/-76,(X),(X),863,+/-65,(X),(X),744,+/-51,(X),(X)
High school graduate or higher,"1,463",+/-79,91.0%,+/-4.2,800,+/-73,92.7%,+/-3.9,663,+/-46,89.1%,+/-6.0
Bachelor's degree or higher,242,+/-101,15.1%,+/-6.0,145,+/-89,16.8%,+/-9.4,97,+/-47,13.0%,+/-6.3
Population 35 to 44 years,"1,658",+/-61,(X),(X),863,+/-53,(X),(X),795,+/-35,(X),(X)
High school graduate or higher,"1,456",+/-81,87.8%,+/-4.8,727,+/-55,84.2%,+/-7.3,729,+/-56,91.7%,+/-5.6
Bachelor's degree or higher,100,+/-49,6.0%,+/-2.9,50,+/-37,5.8%,+/-4.2,50,+/-26,6.3%,+/-3.3
Population 45 to 64 years,"4,155",+/-34,(X),(X),"2,119",+/-25,(X),(X),"2,036",+/-31,(X),(X)
High school graduate or higher,"3,572",+/-132,86.0%,+/-3.0,"1,861",+/-74,87.8%,+/-3.4,"1,711",+/-112,84.0%,+/-5.1
Bachelor's degree or higher,331,+/-106,8.0%,+/-2.5,185,+/-77,8.7%,+/-3.6,146,+/-55,7.2%,+/-2.7
Population 65 years and over,"2,423",+/-35,(X),(X),"1,092",+/-6,(X),(X),"1,331",+/-33,(X),(X)
High school graduate or higher,"1,976",+/-124,81.6%,+/-4.8,915,+/-68,83.8%,+/-6.2,"1,061",+/-91,79.7%,+/-6.4
Bachelor's degree or higher,280,+/-81,11.6%,+/-3.3,129,+/-50,11.8%,+/-4.6,151,+/-57,11.3%,+/-4.2
