Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,113",+/-72,(X),(X),514,+/-23,(X),(X),599,+/-69,(X),(X)
Less than high school graduate,276,+/-82,24.8%,+/-7.3,164,+/-51,31.9%,+/-10.2,112,+/-62,18.7%,+/-10.4
High school graduate (includes equivalency),398,+/-121,35.8%,+/-10.7,218,+/-77,42.4%,+/-14.6,180,+/-83,30.1%,+/-13.4
Some college or associate's degree,296,+/-100,26.6%,+/-9.2,98,+/-50,19.1%,+/-9.4,198,+/-85,33.1%,+/-14.7
Bachelor's degree or higher,143,+/-85,12.8%,+/-7.3,34,+/-28,6.6%,+/-5.5,109,+/-77,18.2%,+/-12.0
Population 25 years and over,"9,859",+/-70,(X),(X),"4,972",+/-51,(X),(X),"4,887",+/-61,(X),(X)
Less than 9th grade,334,+/-85,3.4%,+/-0.9,154,+/-48,3.1%,+/-1.0,180,+/-70,3.7%,+/-1.4
"9th to 12th grade, no diploma","1,036",+/-218,10.5%,+/-2.2,584,+/-144,11.7%,+/-2.9,452,+/-116,9.2%,+/-2.4
High school graduate (includes equivalency),"4,492",+/-292,45.6%,+/-3.0,"2,364",+/-218,47.5%,+/-4.4,"2,128",+/-179,43.5%,+/-3.6
"Some college, no degree","2,042",+/-234,20.7%,+/-2.4,881,+/-153,17.7%,+/-3.1,"1,161",+/-177,23.8%,+/-3.6
Associate's degree,874,+/-209,8.9%,+/-2.1,465,+/-139,9.4%,+/-2.8,409,+/-125,8.4%,+/-2.6
Bachelor's degree,744,+/-177,7.5%,+/-1.8,393,+/-135,7.9%,+/-2.7,351,+/-105,7.2%,+/-2.2
Graduate or professional degree,337,+/-118,3.4%,+/-1.2,131,+/-60,2.6%,+/-1.2,206,+/-91,4.2%,+/-1.9
Percent high school graduate or higher,(X),(X),86.1%,+/-2.4,(X),(X),85.2%,+/-2.9,(X),(X),87.1%,+/-2.7
Percent bachelor's degree or higher,(X),(X),11.0%,+/-2.1,(X),(X),10.5%,+/-3.0,(X),(X),11.4%,+/-2.9
Population 25 to 34 years,"1,644",+/-71,(X),(X),863,+/-52,(X),(X),781,+/-56,(X),(X)
High school graduate or higher,"1,468",+/-72,89.3%,+/-3.7,781,+/-65,90.5%,+/-5.5,687,+/-50,88.0%,+/-5.0
Bachelor's degree or higher,248,+/-104,15.1%,+/-6.3,110,+/-73,12.7%,+/-8.3,138,+/-78,17.7%,+/-10.0
Population 35 to 44 years,"1,663",+/-67,(X),(X),890,+/-53,(X),(X),773,+/-45,(X),(X)
High school graduate or higher,"1,342",+/-122,80.7%,+/-7.3,660,+/-80,74.2%,+/-10.0,682,+/-71,88.2%,+/-7.6
Bachelor's degree or higher,120,+/-62,7.2%,+/-3.7,61,+/-42,6.9%,+/-4.7,59,+/-35,7.6%,+/-4.4
Population 45 to 64 years,"4,082",+/-37,(X),(X),"2,085",+/-32,(X),(X),"1,997",+/-33,(X),(X)
High school graduate or higher,"3,567",+/-126,87.4%,+/-3.0,"1,812",+/-73,86.9%,+/-3.4,"1,755",+/-81,87.9%,+/-3.6
Bachelor's degree or higher,364,+/-103,8.9%,+/-2.5,179,+/-83,8.6%,+/-4.0,185,+/-68,9.3%,+/-3.4
Population 65 years and over,"2,470",+/-12,(X),(X),"1,134",+/-6,(X),(X),"1,336",+/-9,(X),(X)
High school graduate or higher,"2,112",+/-96,85.5%,+/-3.8,981,+/-55,86.5%,+/-4.9,"1,131",+/-76,84.7%,+/-5.7
Bachelor's degree or higher,349,+/-125,14.1%,+/-5.1,174,+/-82,15.3%,+/-7.2,175,+/-78,13.1%,+/-5.8
