RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"9,625",+/-80,(X),(X),"4,813",+/-69,(X),(X),"4,812",+/-39,(X),(X)
High school graduate or higher,"8,278",+/-216,86.0%,+/-2.3,"4,202",+/-123,87.3%,+/-2.6,"4,076",+/-171,84.7%,+/-3.5
Bachelor's degree or higher,860,+/-149,8.9%,+/-1.5,445,+/-100,9.2%,+/-2.1,415,+/-95,8.6%,+/-2.0
"White alone, not Hispanic or Latino","9,297",+/-11,(X),(X),"4,645",+/-11,(X),(X),"4,652",+/-18,(X),(X)
High school graduate or higher,"8,093",+/-206,87.0%,+/-2.2,"4,122",+/-113,88.7%,+/-2.4,"3,971",+/-162,85.4%,+/-3.5
Bachelor's degree or higher,849,+/-141,9.1%,+/-1.5,434,+/-94,9.3%,+/-2.0,415,+/-95,8.9%,+/-2.0
Black alone,30,+/-31,(X),(X),9,+/-11,(X),(X),21,+/-29,(X),(X)
High school graduate or higher,30,+/-31,100.0%,+/-52.0,9,+/-11,100.0%,+/-95.0,21,+/-29,100.0%,+/-62.2
Bachelor's degree or higher,21,+/-29,70.0%,+/-50.3,0,+/-18,0.0%,+/-95.0,21,+/-29,100.0%,+/-62.2
American Indian or Alaska Native alone,22,+/-24,(X),(X),5,+/-10,(X),(X),17,+/-24,(X),(X)
High school graduate or higher,17,+/-24,77.3%,+/-53.8,0,+/-18,0.0%,+/-100.0,17,+/-24,100.0%,+/-69.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-60.7,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-69.1
Asian alone,16,+/-13,(X),(X),2,+/-5,(X),(X),14,+/-13,(X),(X)
High school graduate or higher,16,+/-13,100.0%,+/-71.2,2,+/-5,100.0%,+/-100.0,14,+/-13,100.0%,+/-76.1
Bachelor's degree or higher,2,+/-5,12.5%,+/-30.3,2,+/-5,100.0%,+/-100.0,0,+/-18,0.0%,+/-76.1
Native Hawaiian and Other Pacific Islander alone,16,+/-29,(X),(X),6,+/-12,(X),(X),10,+/-17,(X),(X)
High school graduate or higher,16,+/-29,100.0%,+/-71.2,6,+/-12,100.0%,+/-100.0,10,+/-17,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-71.2,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-90.1
Some other race alone,83,+/-78,(X),(X),77,+/-75,(X),(X),6,+/-9,(X),(X)
High school graduate or higher,74,+/-75,89.2%,+/-18.9,74,+/-75,96.1%,+/-11.7,0,+/-18,0.0%,+/-100.0
Bachelor's degree or higher,56,+/-75,67.5%,+/-41.3,56,+/-75,72.7%,+/-40.8,0,+/-18,0.0%,+/-100.0
Two or more races,51,+/-26,(X),(X),25,+/-20,(X),(X),26,+/-19,(X),(X)
High school graduate or higher,36,+/-27,70.6%,+/-30.6,10,+/-12,40.0%,+/-42.0,26,+/-19,100.0%,+/-55.9
Bachelor's degree or higher,14,+/-14,27.5%,+/-18.7,6,+/-9,24.0%,+/-34.5,8,+/-10,30.8%,+/-29.7
Hispanic or Latino Origin,413,+/-58,(X),(X),247,+/-33,(X),(X),166,+/-40,(X),(X)
High school graduate or higher,256,+/-73,62.0%,+/-16.0,151,+/-60,61.1%,+/-22.6,105,+/-42,63.3%,+/-20.7
Bachelor's degree or higher,67,+/-74,16.2%,+/-17.3,67,+/-74,27.1%,+/-28.4,0,+/-18,0.0%,+/-16.5
