RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"9,583",+/-75,(X),(X),"4,816",+/-43,(X),(X),"4,767",+/-55,(X),(X)
High school graduate or higher,"8,330",+/-220,86.9%,+/-2.4,"4,176",+/-132,86.7%,+/-2.9,"4,154",+/-138,87.1%,+/-2.7
Bachelor's degree or higher,"1,021",+/-202,10.7%,+/-2.1,480,+/-136,10.0%,+/-2.8,541,+/-140,11.3%,+/-3.0
"White alone, not Hispanic or Latino","9,251",+/-18,(X),(X),"4,634",+/-18,(X),(X),"4,617",+/-18,(X),(X)
High school graduate or higher,"8,166",+/-218,88.3%,+/-2.4,"4,095",+/-130,88.4%,+/-2.8,"4,071",+/-125,88.2%,+/-2.7
Bachelor's degree or higher,"1,010",+/-199,10.9%,+/-2.1,469,+/-134,10.1%,+/-2.9,541,+/-140,11.7%,+/-3.0
Black alone,9,+/-10,(X),(X),9,+/-10,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,9,+/-10,100.0%,+/-95.0,9,+/-10,100.0%,+/-95.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-95.0,0,+/-18,0.0%,+/-95.0,0,+/-18,-,**
American Indian or Alaska Native alone,15,+/-19,(X),(X),6,+/-10,(X),(X),9,+/-14,(X),(X)
High school graduate or higher,4,+/-10,26.7%,+/-48.4,0,+/-18,0.0%,+/-100.0,4,+/-10,44.4%,+/-55.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-73.6,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-95.0
Asian alone,35,+/-31,(X),(X),0,+/-18,(X),(X),35,+/-31,(X),(X)
High school graduate or higher,35,+/-31,100.0%,+/-48.2,0,+/-18,-,**,35,+/-31,100.0%,+/-48.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-48.2,0,+/-18,-,**,0,+/-18,0.0%,+/-48.2
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,122,+/-58,(X),(X),102,+/-48,(X),(X),20,+/-18,(X),(X)
High school graduate or higher,55,+/-51,45.1%,+/-35.2,49,+/-50,48.0%,+/-40.5,6,+/-8,30.0%,+/-35.6
Bachelor's degree or higher,44,+/-49,36.1%,+/-36.0,44,+/-49,43.1%,+/-41.1,0,+/-18,0.0%,+/-63.7
Two or more races,95,+/-60,(X),(X),39,+/-45,(X),(X),56,+/-41,(X),(X)
High school graduate or higher,56,+/-41,58.9%,+/-34.4,0,+/-18,0.0%,+/-45.6,56,+/-41,100.0%,+/-38.1
Bachelor's degree or higher,16,+/-19,16.8%,+/-19.3,0,+/-18,0.0%,+/-45.6,16,+/-19,28.6%,+/-30.7
Hispanic or Latino Origin,473,+/-52,(X),(X),284,+/-23,(X),(X),189,+/-52,(X),(X)
High school graduate or higher,238,+/-76,50.3%,+/-13.0,130,+/-62,45.8%,+/-21.9,108,+/-58,57.1%,+/-23.3
Bachelor's degree or higher,55,+/-50,11.6%,+/-10.2,55,+/-50,19.4%,+/-17.6,0,+/-18,0.0%,+/-14.6
