Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,538",+/-72,(X),(X),"1,912",+/-47,(X),(X),"1,626",+/-57,(X),(X)
Less than high school graduate,"2,169",+/-157,61.3%,+/-4.7,"1,236",+/-98,64.6%,+/-5.2,933,+/-120,57.4%,+/-7.7
High school graduate (includes equivalency),663,+/-144,18.7%,+/-4.0,366,+/-81,19.1%,+/-4.1,297,+/-112,18.3%,+/-6.9
Some college or associate's degree,669,+/-146,18.9%,+/-4.0,297,+/-82,15.5%,+/-4.3,372,+/-117,22.9%,+/-6.9
Bachelor's degree or higher,37,+/-32,1.0%,+/-0.9,13,+/-16,0.7%,+/-0.9,24,+/-27,1.5%,+/-1.6
Population 25 years and over,"22,347",+/-76,(X),(X),"10,973",+/-77,(X),(X),"11,374",+/-80,(X),(X)
Less than 9th grade,"6,445",+/-379,28.8%,+/-1.7,"3,296",+/-261,30.0%,+/-2.3,"3,149",+/-216,27.7%,+/-1.9
"9th to 12th grade, no diploma","1,750",+/-238,7.8%,+/-1.1,897,+/-184,8.2%,+/-1.7,853,+/-166,7.5%,+/-1.5
High school graduate (includes equivalency),"7,478",+/-390,33.5%,+/-1.7,"3,603",+/-249,32.8%,+/-2.3,"3,875",+/-335,34.1%,+/-2.9
"Some college, no degree","3,147",+/-386,14.1%,+/-1.7,"1,546",+/-243,14.1%,+/-2.2,"1,601",+/-251,14.1%,+/-2.2
Associate's degree,"1,316",+/-215,5.9%,+/-1.0,445,+/-117,4.1%,+/-1.1,871,+/-191,7.7%,+/-1.7
Bachelor's degree,"1,556",+/-246,7.0%,+/-1.1,864,+/-166,7.9%,+/-1.5,692,+/-153,6.1%,+/-1.4
Graduate or professional degree,655,+/-143,2.9%,+/-0.6,322,+/-85,2.9%,+/-0.8,333,+/-98,2.9%,+/-0.9
Percent high school graduate or higher,(X),(X),63.3%,+/-1.9,(X),(X),61.8%,+/-2.8,(X),(X),64.8%,+/-2.0
Percent bachelor's degree or higher,(X),(X),9.9%,+/-1.4,(X),(X),10.8%,+/-1.8,(X),(X),9.0%,+/-1.7
Population 25 to 34 years,"4,605",+/-155,(X),(X),"2,296",+/-99,(X),(X),"2,309",+/-76,(X),(X)
High school graduate or higher,"2,398",+/-315,52.1%,+/-6.1,"1,189",+/-176,51.8%,+/-6.7,"1,209",+/-167,52.4%,+/-6.8
Bachelor's degree or higher,359,+/-138,7.8%,+/-3.0,167,+/-80,7.3%,+/-3.4,192,+/-91,8.3%,+/-3.9
Population 35 to 44 years,"4,261",+/-98,(X),(X),"2,179",+/-71,(X),(X),"2,082",+/-50,(X),(X)
High school graduate or higher,"2,394",+/-208,56.2%,+/-4.7,"1,238",+/-136,56.8%,+/-5.9,"1,156",+/-132,55.5%,+/-6.2
Bachelor's degree or higher,466,+/-143,10.9%,+/-3.3,210,+/-80,9.6%,+/-3.7,256,+/-86,12.3%,+/-4.0
Population 45 to 64 years,"8,463",+/-134,(X),(X),"4,146",+/-79,(X),(X),"4,317",+/-93,(X),(X)
High school graduate or higher,"5,834",+/-268,68.9%,+/-3.1,"2,702",+/-161,65.2%,+/-4.0,"3,132",+/-165,72.6%,+/-3.7
Bachelor's degree or higher,802,+/-174,9.5%,+/-2.1,455,+/-114,11.0%,+/-2.8,347,+/-107,8.0%,+/-2.5
Population 65 years and over,"5,018",+/-63,(X),(X),"2,352",+/-39,(X),(X),"2,666",+/-36,(X),(X)
High school graduate or higher,"3,526",+/-214,70.3%,+/-4.3,"1,651",+/-138,70.2%,+/-6.0,"1,875",+/-147,70.3%,+/-5.4
Bachelor's degree or higher,584,+/-174,11.6%,+/-3.5,354,+/-97,15.1%,+/-4.2,230,+/-115,8.6%,+/-4.3
