RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,319",+/-113,(X),(X),"10,477",+/-60,(X),(X),"10,842",+/-68,(X),(X)
High school graduate or higher,"13,465",+/-471,63.2%,+/-2.2,"6,585",+/-277,62.9%,+/-2.6,"6,880",+/-288,63.5%,+/-2.6
Bachelor's degree or higher,"2,064",+/-270,9.7%,+/-1.3,"1,025",+/-158,9.8%,+/-1.5,"1,039",+/-158,9.6%,+/-1.5
"White alone, not Hispanic or Latino","20,805",+/-24,(X),(X),"10,206",+/-24,(X),(X),"10,599",+/-24,(X),(X)
High school graduate or higher,"13,187",+/-455,63.4%,+/-2.2,"6,436",+/-274,63.1%,+/-2.7,"6,751",+/-276,63.7%,+/-2.6
Bachelor's degree or higher,"2,030",+/-265,9.8%,+/-1.3,"1,014",+/-152,9.9%,+/-1.5,"1,016",+/-154,9.6%,+/-1.5
Black alone,3,+/-5,(X),(X),3,+/-5,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,3,+/-5,100.0%,+/-100.0,3,+/-5,100.0%,+/-100.0,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**
American Indian or Alaska Native alone,18,+/-19,(X),(X),11,+/-15,(X),(X),7,+/-7,(X),(X)
High school graduate or higher,13,+/-14,72.2%,+/-30.1,8,+/-13,72.7%,+/-62.5,5,+/-7,71.4%,+/-51.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-67.2,0,+/-24,0.0%,+/-85.9,0,+/-24,0.0%,+/-100.0
Asian alone,77,+/-34,(X),(X),22,+/-24,(X),(X),55,+/-23,(X),(X)
High school graduate or higher,55,+/-23,71.4%,+/-25.2,22,+/-24,100.0%,+/-60.7,33,+/-33,60.0%,+/-48.5
Bachelor's degree or higher,55,+/-23,71.4%,+/-25.2,22,+/-24,100.0%,+/-60.7,33,+/-33,60.0%,+/-48.5
Native Hawaiian and Other Pacific Islander alone,9,+/-12,(X),(X),9,+/-12,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,9,+/-12,100.0%,+/-95.0,9,+/-12,100.0%,+/-95.0,0,+/-24,-,**
Bachelor's degree or higher,9,+/-12,100.0%,+/-95.0,9,+/-12,100.0%,+/-95.0,0,+/-24,-,**
Some other race alone,20,+/-24,(X),(X),15,+/-20,(X),(X),5,+/-8,(X),(X)
High school graduate or higher,17,+/-21,85.0%,+/-30.4,12,+/-19,80.0%,+/-49.7,5,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-63.7,0,+/-24,0.0%,+/-73.6,0,+/-24,0.0%,+/-100.0
Two or more races,216,+/-81,(X),(X),84,+/-44,(X),(X),132,+/-52,(X),(X)
High school graduate or higher,86,+/-32,39.8%,+/-16.9,31,+/-22,36.9%,+/-24.3,55,+/-24,41.7%,+/-19.0
Bachelor's degree or higher,2,+/-3,0.9%,+/-1.4,1,+/-3,1.2%,+/-3.2,1,+/-2,0.8%,+/-1.4
Hispanic or Latino Origin,598,+/-65,(X),(X),318,+/-38,(X),(X),280,+/-55,(X),(X)
High school graduate or higher,295,+/-121,49.3%,+/-16.0,161,+/-60,50.6%,+/-15.7,134,+/-73,47.9%,+/-19.8
Bachelor's degree or higher,34,+/-38,5.7%,+/-6.5,11,+/-22,3.5%,+/-6.6,23,+/-32,8.2%,+/-11.7
