Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,770,+/-35,(X),(X),391,+/-21,(X),(X),379,+/-25,(X),(X)
Less than high school graduate,145,+/-65,18.8%,+/-8.3,91,+/-48,23.3%,+/-12.0,54,+/-45,14.2%,+/-11.6
High school graduate (includes equivalency),183,+/-75,23.8%,+/-9.3,110,+/-58,28.1%,+/-14.8,73,+/-44,19.3%,+/-11.5
Some college or associate's degree,372,+/-94,48.3%,+/-12.6,174,+/-58,44.5%,+/-15.0,198,+/-57,52.2%,+/-15.7
Bachelor's degree or higher,70,+/-50,9.1%,+/-6.4,16,+/-18,4.1%,+/-4.6,54,+/-47,14.2%,+/-12.2
Population 25 years and over,"7,129",+/-48,(X),(X),"3,518",+/-39,(X),(X),"3,611",+/-53,(X),(X)
Less than 9th grade,321,+/-107,4.5%,+/-1.5,168,+/-70,4.8%,+/-2.0,153,+/-72,4.2%,+/-2.0
"9th to 12th grade, no diploma",792,+/-158,11.1%,+/-2.2,377,+/-100,10.7%,+/-2.8,415,+/-94,11.5%,+/-2.6
High school graduate (includes equivalency),"3,052",+/-205,42.8%,+/-2.9,"1,602",+/-132,45.5%,+/-3.9,"1,450",+/-154,40.2%,+/-4.3
"Some college, no degree","1,252",+/-174,17.6%,+/-2.4,524,+/-108,14.9%,+/-3.0,728,+/-146,20.2%,+/-4.0
Associate's degree,901,+/-158,12.6%,+/-2.2,462,+/-93,13.1%,+/-2.6,439,+/-103,12.2%,+/-2.8
Bachelor's degree,459,+/-102,6.4%,+/-1.4,201,+/-68,5.7%,+/-1.9,258,+/-79,7.1%,+/-2.2
Graduate or professional degree,352,+/-102,4.9%,+/-1.4,184,+/-62,5.2%,+/-1.8,168,+/-63,4.7%,+/-1.8
Percent high school graduate or higher,(X),(X),84.4%,+/-2.7,(X),(X),84.5%,+/-3.5,(X),(X),84.3%,+/-3.3
Percent bachelor's degree or higher,(X),(X),11.4%,+/-2.3,(X),(X),10.9%,+/-2.8,(X),(X),11.8%,+/-2.8
Population 25 to 34 years,"1,092",+/-36,(X),(X),554,+/-21,(X),(X),538,+/-28,(X),(X)
High school graduate or higher,957,+/-87,87.6%,+/-7.1,495,+/-55,89.4%,+/-8.5,462,+/-64,85.9%,+/-10.7
Bachelor's degree or higher,190,+/-76,17.4%,+/-6.9,61,+/-39,11.0%,+/-7.1,129,+/-63,24.0%,+/-11.7
Population 35 to 44 years,"1,227",+/-41,(X),(X),628,+/-32,(X),(X),599,+/-33,(X),(X)
High school graduate or higher,"1,085",+/-72,88.4%,+/-4.9,539,+/-58,85.8%,+/-8.3,546,+/-45,91.2%,+/-5.5
Bachelor's degree or higher,214,+/-84,17.4%,+/-6.9,109,+/-59,17.4%,+/-9.2,105,+/-46,17.5%,+/-7.8
Population 45 to 64 years,"3,067",+/-58,(X),(X),"1,548",+/-33,(X),(X),"1,519",+/-44,(X),(X)
High school graduate or higher,"2,665",+/-105,86.9%,+/-3.1,"1,316",+/-72,85.0%,+/-4.6,"1,349",+/-70,88.8%,+/-3.8
Bachelor's degree or higher,300,+/-86,9.8%,+/-2.8,161,+/-58,10.4%,+/-3.8,139,+/-52,9.2%,+/-3.5
Population 65 years and over,"1,743",+/-17,(X),(X),788,+/-18,(X),(X),955,+/-17,(X),(X)
High school graduate or higher,"1,309",+/-117,75.1%,+/-6.8,623,+/-60,79.1%,+/-7.7,686,+/-75,71.8%,+/-7.8
Bachelor's degree or higher,107,+/-53,6.1%,+/-3.0,54,+/-37,6.9%,+/-4.7,53,+/-37,5.5%,+/-3.9
