Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,783,+/-45,(X),(X),408,+/-52,(X),(X),375,+/-21,(X),(X)
Less than high school graduate,127,+/-76,16.2%,+/-9.8,71,+/-47,17.4%,+/-12.0,56,+/-48,14.9%,+/-13.1
High school graduate (includes equivalency),203,+/-92,25.9%,+/-11.2,143,+/-79,35.0%,+/-17.6,60,+/-45,16.0%,+/-11.7
Some college or associate's degree,394,+/-103,50.3%,+/-13.0,178,+/-69,43.6%,+/-16.3,216,+/-69,57.6%,+/-18.3
Bachelor's degree or higher,59,+/-50,7.5%,+/-6.3,16,+/-19,3.9%,+/-4.7,43,+/-47,11.5%,+/-12.5
Population 25 years and over,"7,106",+/-53,(X),(X),"3,520",+/-51,(X),(X),"3,586",+/-12,(X),(X)
Less than 9th grade,270,+/-117,3.8%,+/-1.6,118,+/-65,3.4%,+/-1.8,152,+/-79,4.2%,+/-2.2
"9th to 12th grade, no diploma",900,+/-150,12.7%,+/-2.1,454,+/-108,12.9%,+/-3.1,446,+/-98,12.4%,+/-2.7
High school graduate (includes equivalency),"3,037",+/-239,42.7%,+/-3.4,"1,546",+/-163,43.9%,+/-4.7,"1,491",+/-164,41.6%,+/-4.6
"Some college, no degree","1,195",+/-212,16.8%,+/-3.0,546,+/-132,15.5%,+/-3.7,649,+/-154,18.1%,+/-4.3
Associate's degree,922,+/-194,13.0%,+/-2.7,496,+/-120,14.1%,+/-3.3,426,+/-117,11.9%,+/-3.3
Bachelor's degree,457,+/-102,6.4%,+/-1.4,194,+/-77,5.5%,+/-2.2,263,+/-66,7.3%,+/-1.8
Graduate or professional degree,325,+/-83,4.6%,+/-1.2,166,+/-61,4.7%,+/-1.8,159,+/-53,4.4%,+/-1.5
Percent high school graduate or higher,(X),(X),83.5%,+/-2.7,(X),(X),83.8%,+/-3.4,(X),(X),83.3%,+/-3.3
Percent bachelor's degree or higher,(X),(X),11.0%,+/-2.0,(X),(X),10.2%,+/-3.0,(X),(X),11.8%,+/-2.3
Population 25 to 34 years,"1,123",+/-81,(X),(X),571,+/-58,(X),(X),552,+/-46,(X),(X)
High school graduate or higher,997,+/-108,88.8%,+/-5.9,529,+/-71,92.6%,+/-7.4,468,+/-74,84.8%,+/-9.4
Bachelor's degree or higher,215,+/-70,19.1%,+/-6.3,56,+/-39,9.8%,+/-6.9,159,+/-60,28.8%,+/-10.9
Population 35 to 44 years,"1,186",+/-33,(X),(X),620,+/-29,(X),(X),566,+/-19,(X),(X)
High school graduate or higher,"1,050",+/-82,88.5%,+/-5.8,529,+/-71,85.3%,+/-9.9,521,+/-44,92.0%,+/-7.0
Bachelor's degree or higher,212,+/-85,17.9%,+/-7.1,120,+/-65,19.4%,+/-10.3,92,+/-44,16.3%,+/-7.8
Population 45 to 64 years,"2,978",+/-40,(X),(X),"1,514",+/-27,(X),(X),"1,464",+/-31,(X),(X)
High school graduate or higher,"2,586",+/-102,86.8%,+/-3.3,"1,269",+/-77,83.8%,+/-4.6,"1,317",+/-62,90.0%,+/-4.3
Bachelor's degree or higher,286,+/-75,9.6%,+/-2.5,148,+/-61,9.8%,+/-4.0,138,+/-43,9.4%,+/-2.9
Population 65 years and over,"1,819",+/-17,(X),(X),815,+/-18,(X),(X),"1,004",+/-17,(X),(X)
High school graduate or higher,"1,303",+/-126,71.6%,+/-7.0,621,+/-70,76.2%,+/-8.6,682,+/-86,67.9%,+/-8.5
Bachelor's degree or higher,69,+/-40,3.8%,+/-2.2,36,+/-27,4.4%,+/-3.4,33,+/-29,3.3%,+/-2.9
