RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"6,952",+/-18,(X),(X),"3,450",+/-18,(X),(X),"3,502",+/-18,(X),(X)
High school graduate or higher,"5,795",+/-183,83.4%,+/-2.6,"2,881",+/-119,83.5%,+/-3.4,"2,914",+/-118,83.2%,+/-3.3
Bachelor's degree or higher,765,+/-142,11.0%,+/-2.0,352,+/-101,10.2%,+/-2.9,413,+/-82,11.8%,+/-2.3
"White alone, not Hispanic or Latino","6,942",+/-18,(X),(X),"3,450",+/-18,(X),(X),"3,492",+/-18,(X),(X)
High school graduate or higher,"5,785",+/-183,83.3%,+/-2.6,"2,881",+/-119,83.5%,+/-3.4,"2,904",+/-114,83.2%,+/-3.3
Bachelor's degree or higher,755,+/-139,10.9%,+/-2.0,352,+/-101,10.2%,+/-2.9,403,+/-78,11.5%,+/-2.2
Black alone,56,+/-66,(X),(X),20,+/-23,(X),(X),36,+/-58,(X),(X)
High school graduate or higher,53,+/-65,94.6%,+/-13.4,17,+/-23,85.0%,+/-35.6,36,+/-58,100.0%,+/-47.5
Bachelor's degree or higher,15,+/-22,26.8%,+/-45.9,7,+/-16,35.0%,+/-65.0,8,+/-17,22.2%,+/-68.2
American Indian or Alaska Native alone,14,+/-20,(X),(X),8,+/-15,(X),(X),6,+/-13,(X),(X)
High school graduate or higher,9,+/-15,64.3%,+/-53.4,8,+/-15,100.0%,+/-100.0,1,+/-3,16.7%,+/-50.7
Bachelor's degree or higher,1,+/-3,7.1%,+/-17.5,0,+/-18,0.0%,+/-100.0,1,+/-3,16.7%,+/-50.7
Asian alone,20,+/-27,(X),(X),0,+/-18,(X),(X),20,+/-27,(X),(X)
High school graduate or higher,15,+/-21,75.0%,+/-30.1,0,+/-18,-,**,15,+/-21,75.0%,+/-30.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-63.7,0,+/-18,-,**,0,+/-18,0.0%,+/-63.7
Native Hawaiian and Other Pacific Islander alone,25,+/-58,(X),(X),25,+/-58,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,25,+/-58,100.0%,+/-57.0,25,+/-58,100.0%,+/-57.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-57.0,0,+/-18,-,**
Some other race alone,3,+/-7,(X),(X),3,+/-7,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,3,+/-7,100.0%,+/-100.0,3,+/-7,100.0%,+/-100.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**
Two or more races,36,+/-33,(X),(X),14,+/-26,(X),(X),22,+/-23,(X),(X)
High school graduate or higher,36,+/-33,100.0%,+/-47.5,14,+/-26,100.0%,+/-76.1,22,+/-23,100.0%,+/-60.7
Bachelor's degree or higher,1,+/-2,2.8%,+/-8.3,1,+/-2,7.1%,+/-51.2,0,+/-18,0.0%,+/-60.7
Hispanic or Latino Origin,13,+/-21,(X),(X),3,+/-7,(X),(X),10,+/-18,(X),(X)
High school graduate or higher,13,+/-21,100.0%,+/-79.0,3,+/-7,100.0%,+/-100.0,10,+/-18,100.0%,+/-90.1
Bachelor's degree or higher,10,+/-18,76.9%,+/-53.5,0,+/-18,0.0%,+/-100.0,10,+/-18,100.0%,+/-90.1
