Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,248",+/-90,(X),(X),"1,694",+/-60,(X),(X),"1,554",+/-53,(X),(X)
Less than high school graduate,422,+/-129,13.0%,+/-4.1,205,+/-88,12.1%,+/-5.3,217,+/-85,14.0%,+/-5.6
High school graduate (includes equivalency),"1,232",+/-182,37.9%,+/-5.4,724,+/-126,42.7%,+/-7.2,508,+/-103,32.7%,+/-6.4
Some college or associate's degree,"1,405",+/-190,43.3%,+/-5.5,626,+/-119,37.0%,+/-6.8,779,+/-123,50.1%,+/-7.5
Bachelor's degree or higher,189,+/-113,5.8%,+/-3.5,139,+/-93,8.2%,+/-5.5,50,+/-34,3.2%,+/-2.2
Population 25 years and over,"21,971",+/-98,(X),(X),"10,529",+/-86,(X),(X),"11,442",+/-71,(X),(X)
Less than 9th grade,764,+/-167,3.5%,+/-0.8,413,+/-125,3.9%,+/-1.2,351,+/-94,3.1%,+/-0.8
"9th to 12th grade, no diploma","1,885",+/-236,8.6%,+/-1.1,752,+/-146,7.1%,+/-1.4,"1,133",+/-197,9.9%,+/-1.7
High school graduate (includes equivalency),"9,229",+/-465,42.0%,+/-2.1,"4,633",+/-366,44.0%,+/-3.5,"4,596",+/-274,40.2%,+/-2.4
"Some college, no degree","4,375",+/-330,19.9%,+/-1.5,"2,273",+/-226,21.6%,+/-2.2,"2,102",+/-208,18.4%,+/-1.8
Associate's degree,"1,698",+/-239,7.7%,+/-1.1,532,+/-131,5.1%,+/-1.2,"1,166",+/-189,10.2%,+/-1.7
Bachelor's degree,"2,433",+/-250,11.1%,+/-1.1,"1,142",+/-183,10.8%,+/-1.7,"1,291",+/-194,11.3%,+/-1.7
Graduate or professional degree,"1,587",+/-288,7.2%,+/-1.3,784,+/-248,7.4%,+/-2.3,803,+/-153,7.0%,+/-1.3
Percent high school graduate or higher,(X),(X),87.9%,+/-1.3,(X),(X),88.9%,+/-1.9,(X),(X),87.0%,+/-1.8
Percent bachelor's degree or higher,(X),(X),18.3%,+/-1.7,(X),(X),18.3%,+/-2.7,(X),(X),18.3%,+/-1.9
Population 25 to 34 years,"3,352",+/-92,(X),(X),"1,695",+/-63,(X),(X),"1,657",+/-60,(X),(X)
High school graduate or higher,"3,074",+/-111,91.7%,+/-3.1,"1,607",+/-73,94.8%,+/-2.8,"1,467",+/-93,88.5%,+/-5.6
Bachelor's degree or higher,800,+/-157,23.9%,+/-4.7,312,+/-99,18.4%,+/-5.8,488,+/-119,29.5%,+/-7.3
Population 35 to 44 years,"3,614",+/-88,(X),(X),"1,800",+/-62,(X),(X),"1,814",+/-52,(X),(X)
High school graduate or higher,"3,306",+/-124,91.5%,+/-2.9,"1,682",+/-83,93.4%,+/-3.5,"1,624",+/-76,89.5%,+/-4.0
Bachelor's degree or higher,686,+/-139,19.0%,+/-3.8,390,+/-111,21.7%,+/-5.9,296,+/-88,16.3%,+/-5.0
Population 45 to 64 years,"8,757",+/-96,(X),(X),"4,357",+/-72,(X),(X),"4,400",+/-69,(X),(X)
High school graduate or higher,"7,809",+/-220,89.2%,+/-2.4,"3,883",+/-130,89.1%,+/-2.7,"3,926",+/-151,89.2%,+/-3.3
Bachelor's degree or higher,"1,342",+/-268,15.3%,+/-3.1,693,+/-231,15.9%,+/-5.3,649,+/-113,14.8%,+/-2.6
Population 65 years and over,"6,248",+/-33,(X),(X),"2,677",+/-36,(X),(X),"3,571",+/-22,(X),(X)
High school graduate or higher,"5,133",+/-173,82.2%,+/-2.7,"2,192",+/-129,81.9%,+/-4.5,"2,941",+/-116,82.4%,+/-3.2
Bachelor's degree or higher,"1,192",+/-188,19.1%,+/-3.0,531,+/-98,19.8%,+/-3.6,661,+/-140,18.5%,+/-3.9
