RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,366",+/-101,(X),(X),"10,160",+/-76,(X),(X),"11,206",+/-59,(X),(X)
High school graduate or higher,"18,902",+/-275,88.5%,+/-1.3,"8,976",+/-182,88.3%,+/-1.7,"9,926",+/-176,88.6%,+/-1.5
Bachelor's degree or higher,"4,081",+/-479,19.1%,+/-2.2,"2,011",+/-354,19.8%,+/-3.5,"2,070",+/-244,18.5%,+/-2.2
"White alone, not Hispanic or Latino","21,134",+/-30,(X),(X),"9,996",+/-14,(X),(X),"11,138",+/-16,(X),(X)
High school graduate or higher,"18,741",+/-263,88.7%,+/-1.2,"8,861",+/-167,88.6%,+/-1.7,"9,880",+/-173,88.7%,+/-1.5
Bachelor's degree or higher,"4,043",+/-472,19.1%,+/-2.2,"1,988",+/-348,19.9%,+/-3.5,"2,055",+/-244,18.5%,+/-2.2
Black alone,105,+/-81,(X),(X),67,+/-65,(X),(X),38,+/-35,(X),(X)
High school graduate or higher,78,+/-64,74.3%,+/-27.5,67,+/-65,100.0%,+/-34.3,11,+/-18,28.9%,+/-58.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-24.5,0,+/-24,0.0%,+/-34.3,0,+/-24,0.0%,+/-46.2
American Indian or Alaska Native alone,184,+/-69,(X),(X),135,+/-62,(X),(X),49,+/-32,(X),(X)
High school graduate or higher,149,+/-67,81.0%,+/-13.2,117,+/-59,86.7%,+/-11.2,32,+/-28,65.3%,+/-36.2
Bachelor's degree or higher,13,+/-19,7.1%,+/-10.2,0,+/-24,0.0%,+/-19.8,13,+/-19,26.5%,+/-35.1
Asian alone,70,+/-58,(X),(X),37,+/-32,(X),(X),33,+/-31,(X),(X)
High school graduate or higher,62,+/-54,88.6%,+/-21.7,37,+/-32,100.0%,+/-46.8,25,+/-26,75.8%,+/-38.1
Bachelor's degree or higher,40,+/-43,57.1%,+/-41.0,27,+/-28,73.0%,+/-40.7,13,+/-19,39.4%,+/-45.5
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,178,+/-74,(X),(X),95,+/-44,(X),(X),83,+/-58,(X),(X)
High school graduate or higher,110,+/-76,61.8%,+/-30.0,64,+/-32,67.4%,+/-28.0,46,+/-57,55.4%,+/-52.7
Bachelor's degree or higher,0,+/-24,0.0%,+/-15.5,0,+/-24,0.0%,+/-26.5,0,+/-24,0.0%,+/-29.5
Two or more races,158,+/-74,(X),(X),95,+/-54,(X),(X),63,+/-32,(X),(X)
High school graduate or higher,144,+/-72,91.1%,+/-10.1,90,+/-53,94.7%,+/-9.7,54,+/-31,85.7%,+/-20.6
Bachelor's degree or higher,17,+/-20,10.8%,+/-12.9,9,+/-17,9.5%,+/-17.9,8,+/-11,12.7%,+/-17.8
Hispanic or Latino Origin,398,+/-55,(X),(X),256,+/-55,(X),(X),142,+/-39,(X),(X)
High school graduate or higher,254,+/-82,63.8%,+/-21.1,171,+/-50,66.8%,+/-18.7,83,+/-63,58.5%,+/-36.1
Bachelor's degree or higher,38,+/-57,9.5%,+/-14.1,23,+/-39,9.0%,+/-14.9,15,+/-27,10.6%,+/-17.7
